Plot Title: 21737478,,,,
#,datetime,do.mgl,temp,status
362,9/27/2024 12:05,7.43,70.02,s
363,9/27/2024 12:10,7.39,70.09,
364,9/27/2024 12:15,7.37,70.09,
365,9/27/2024 12:20,7.36,70.12,
366,9/27/2024 12:25,7.36,70.12,
367,9/27/2024 12:30,7.35,70.16,
368,9/27/2024 12:35,7.35,70.16,
369,9/27/2024 12:40,7.34,70.16,
370,9/27/2024 12:45,7.35,70.12,
371,9/27/2024 12:50,7.35,70.12,
372,9/27/2024 12:55,7.34,70.12,
373,9/27/2024 13:00,7.33,70.12,
374,9/27/2024 13:05,7.33,70.12,
375,9/27/2024 13:10,7.32,70.12,
376,9/27/2024 13:15,7.32,70.12,
377,9/27/2024 13:20,7.33,70.12,
378,9/27/2024 13:25,7.33,70.12,
379,9/27/2024 13:30,7.33,70.12,
380,9/27/2024 13:35,7.32,70.12,
381,9/27/2024 13:40,7.34,70.12,
382,9/27/2024 13:45,7.31,70.12,
383,9/27/2024 13:50,7.29,70.12,
384,9/27/2024 13:55,7.31,70.12,
385,9/27/2024 14:00,7.31,70.12,
386,9/27/2024 14:05,7.29,70.12,
387,9/27/2024 14:10,7.27,70.12,
388,9/27/2024 14:15,7.25,70.09,
389,9/27/2024 14:20,7.24,70.09,
390,9/27/2024 14:25,7.25,70.09,
391,9/27/2024 14:30,7.27,70.09,
392,9/27/2024 14:35,7.26,70.09,
393,9/27/2024 14:40,7.27,70.12,
394,9/27/2024 14:45,7.25,70.12,
395,9/27/2024 14:50,7.22,70.12,
396,9/27/2024 14:55,7.18,70.16,
397,9/27/2024 15:00,7.15,70.16,
398,9/27/2024 15:05,7.15,70.16,
399,9/27/2024 15:10,7.15,70.2,
400,9/27/2024 15:15,7.13,70.2,
401,9/27/2024 15:20,7.11,70.23,
402,9/27/2024 15:25,7.16,70.23,
403,9/27/2024 15:30,7.16,70.27,
404,9/27/2024 15:35,7.21,70.27,
405,9/27/2024 15:40,7.2,70.27,
406,9/27/2024 15:45,7.18,70.3,
407,9/27/2024 15:50,7.17,70.3,
408,9/27/2024 15:55,7.17,70.3,
409,9/27/2024 16:00,7.16,70.3,
410,9/27/2024 16:05,7.16,70.34,
411,9/27/2024 16:10,7.15,70.34,
412,9/27/2024 16:15,7.17,70.34,
413,9/27/2024 16:20,7.2,70.34,
414,9/27/2024 16:25,7.22,70.34,
415,9/27/2024 16:30,7.2,70.38,
416,9/27/2024 16:35,7.2,70.38,
417,9/27/2024 16:40,7.2,70.38,
418,9/27/2024 16:45,7.2,70.38,
419,9/27/2024 16:50,7.18,70.38,
420,9/27/2024 16:55,7.18,70.38,
421,9/27/2024 17:00,7.18,70.38,
422,9/27/2024 17:05,7.18,70.38,
423,9/27/2024 17:10,7.17,70.38,
424,9/27/2024 17:15,7.16,70.38,
425,9/27/2024 17:20,7.16,70.41,
426,9/27/2024 17:25,7.15,70.41,
427,9/27/2024 17:30,7.15,70.41,
428,9/27/2024 17:35,7.13,70.41,
429,9/27/2024 17:40,7.14,70.41,
430,9/27/2024 17:45,7.13,70.45,
431,9/27/2024 17:50,7.11,70.45,
432,9/27/2024 17:55,7.12,70.45,
433,9/27/2024 18:00,7.11,70.45,
434,9/27/2024 18:05,7.65,70.45,s
435,9/27/2024 18:10,7.65,70.45,
436,9/27/2024 18:15,7.65,70.45,
437,9/27/2024 18:20,7.64,70.45,
438,9/27/2024 18:25,7.65,70.41,
439,9/27/2024 18:30,7.65,70.41,
440,9/27/2024 18:35,7.64,70.45,
441,9/27/2024 18:40,7.64,70.45,
442,9/27/2024 18:45,7.64,70.45,
443,9/27/2024 18:50,7.64,70.41,
444,9/27/2024 18:55,7.64,70.45,
445,9/27/2024 19:00,7.65,70.41,
446,9/27/2024 19:05,7.64,70.41,
447,9/27/2024 19:10,7.64,70.41,
448,9/27/2024 19:15,7.64,70.41,
449,9/27/2024 19:20,7.64,70.41,
450,9/27/2024 19:25,7.63,70.45,
451,9/27/2024 19:30,7.63,70.41,
452,9/27/2024 19:35,7.61,70.41,
453,9/27/2024 19:40,7.61,70.41,
454,9/27/2024 19:45,7.61,70.45,
455,9/27/2024 19:50,7.59,70.45,
456,9/27/2024 19:55,7.58,70.45,
457,9/27/2024 20:00,7.6,70.41,
458,9/27/2024 20:05,7.6,70.41,
459,9/27/2024 20:10,7.63,70.41,
460,9/27/2024 20:15,7.6,70.41,
461,9/27/2024 20:20,7.58,70.41,
