"Plot Title: 20819386"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 20819386, SEN S/N: 20819386)","Temp, °F (LGR S/N: 20819386, SEN S/N: 20819386)","Coupler Attached (LGR S/N: 20819386)","Host Connected (LGR S/N: 20819386)","Stopped (LGR S/N: 20819386)","End Of File (LGR S/N: 20819386)"
1,09/11/24 06:00:00 AM,9.30,67.71,,,,
2,09/11/24 06:05:00 AM,9.34,66.81,,,,
3,09/11/24 06:10:00 AM,9.41,65.91,,,,
4,09/11/24 06:15:00 AM,9.48,65.01,,,,
5,09/11/24 06:20:00 AM,9.56,64.11,,,,
6,09/11/24 06:25:00 AM,9.60,63.00,,,,
7,09/11/24 06:30:00 AM,9.63,61.74,,,,
8,09/11/24 06:35:00 AM,9.80,60.48,,,,
9,09/11/24 06:40:00 AM,9.92,59.32,,,,
10,09/11/24 06:45:00 AM,10.06,58.21,,,,
11,09/11/24 06:50:00 AM,10.22,57.38,,,,
12,09/11/24 06:55:00 AM,10.35,56.77,,,,
13,09/11/24 07:00:00 AM,10.41,56.23,,,,
14,09/11/24 07:05:00 AM,10.48,55.80,,,,
15,09/11/24 07:10:00 AM,10.65,55.62,,,,
16,09/11/24 07:15:00 AM,10.71,55.65,,,,
17,09/11/24 07:20:00 AM,10.70,55.80,,,,
18,09/11/24 07:25:00 AM,10.68,55.94,,,,
19,09/11/24 07:30:00 AM,10.69,56.08,,,,
20,09/11/24 07:35:00 AM,10.69,56.23,,,,
21,09/11/24 07:40:00 AM,10.69,56.34,,,,
22,09/11/24 07:45:00 AM,10.69,56.52,,,,
23,09/11/24 07:50:00 AM,10.70,56.80,,,,
24,09/11/24 07:55:00 AM,10.63,57.16,,,,
25,09/11/24 08:00:00 AM,10.62,57.42,,,,
26,09/11/24 08:05:00 AM,10.58,57.70,,,,
27,09/11/24 08:10:00 AM,10.54,57.96,,,,
28,09/11/24 08:15:00 AM,10.49,58.17,,,,
29,09/11/24 08:20:00 AM,10.48,58.46,,,,
30,09/11/24 08:25:00 AM,10.47,58.71,,,,
31,09/11/24 08:30:00 AM,10.45,59.04,,,,
32,09/11/24 08:35:00 AM,10.42,59.54,,,,
33,09/11/24 08:40:00 AM,10.36,59.97,,,,
34,09/11/24 08:45:00 AM,10.32,60.37,,,,
35,09/11/24 08:50:00 AM,10.31,60.73,,,,
36,09/11/24 08:55:00 AM,10.26,61.16,,,,
37,09/11/24 09:00:00 AM,10.22,61.59,,,,
38,09/11/24 09:05:00 AM,10.20,62.06,,,,
39,09/11/24 09:10:00 AM,10.17,62.53,,,,
40,09/11/24 09:15:00 AM,10.13,63.03,,,,
41,09/11/24 09:20:00 AM,10.08,63.46,,,,
42,09/11/24 09:25:00 AM,10.03,63.93,,,,
43,09/11/24 09:30:00 AM,9.96,64.36,,,,
44,09/11/24 09:35:00 AM,9.91,64.80,,,,
45,09/11/24 09:40:00 AM,9.87,65.23,,,,
46,09/11/24 09:45:00 AM,9.82,65.77,,,,
47,09/11/24 09:50:00 AM,9.75,66.42,,,,
48,09/11/24 09:55:00 AM,9.69,67.03,,,,
49,09/11/24 10:00:00 AM,9.62,67.46,,,,
50,09/11/24 10:05:00 AM,9.56,67.60,,,,
51,09/11/24 10:10:00 AM,9.50,67.68,,,,
52,09/11/24 10:15:00 AM,9.46,67.71,,,,
53,09/11/24 10:20:00 AM,9.45,67.86,,,,
54,09/11/24 10:25:00 AM,9.43,68.22,,,,
55,09/11/24 10:30:00 AM,9.41,68.61,,,,
56,09/11/24 10:35:00 AM,9.39,69.15,,,,
57,09/11/24 10:40:00 AM,9.36,69.69,,,,
58,09/11/24 10:45:00 AM,9.32,70.30,,,,
59,09/11/24 10:50:00 AM,9.28,70.88,,,,
60,09/11/24 10:55:00 AM,9.22,71.49,,,,
61,09/11/24 11:00:00 AM,9.18,72.14,,,,
62,09/11/24 11:05:00 AM,9.13,72.82,,,,
63,09/11/24 11:10:00 AM,9.06,73.65,,,,
64,09/11/24 11:15:00 AM,8.99,74.41,,,,
65,09/11/24 11:20:00 AM,8.89,74.44,,,,
66,09/11/24 11:25:00 AM,8.86,74.01,,,,
67,09/11/24 11:30:00 AM,8.91,73.47,,,,
68,09/11/24 11:35:00 AM,8.68,73.18,,,,
69,09/11/24 11:40:00 AM,7.86,72.68,,,,
70,09/11/24 11:45:00 AM,7.52,72.36,,,,
71,09/11/24 11:50:00 AM,7.52,72.21,,,,
72,09/11/24 11:55:00 AM,7.52,72.10,,,,
73,09/11/24 12:00:00 PM,7.51,72.03,,,,
74,09/11/24 12:05:00 PM,6.22,71.89,,,,
75,09/11/24 12:10:00 PM,6.21,71.82,,,,
76,09/11/24 12:15:00 PM,6.21,71.82,,,,
77,09/11/24 12:20:00 PM,6.22,71.78,,,,
78,09/11/24 12:25:00 PM,6.22,71.78,,,,
79,09/11/24 12:30:00 PM,6.22,71.74,,,,
80,09/11/24 12:35:00 PM,6.22,71.74,,,,
81,09/11/24 12:40:00 PM,6.22,71.74,,,,
82,09/11/24 12:45:00 PM,6.22,71.74,,,,
83,09/11/24 12:50:00 PM,6.22,71.74,,,,
84,09/11/24 12:55:00 PM,6.21,71.74,,,,
85,09/11/24 01:00:00 PM,6.22,71.74,,,,
86,09/11/24 01:05:00 PM,6.22,71.74,,,,
87,09/11/24 01:10:00 PM,6.21,71.74,,,,
88,09/11/24 01:15:00 PM,6.21,71.74,,,,
89,09/11/24 01:20:00 PM,6.22,71.74,,,,
90,09/11/24 01:25:00 PM,6.21,71.74,,,,
91,09/11/24 01:30:00 PM,6.22,71.74,,,,
92,09/11/24 01:35:00 PM,6.23,71.74,,,,
93,09/11/24 01:40:00 PM,6.21,71.74,,,,
94,09/11/24 01:45:00 PM,6.21,71.71,,,,
95,09/11/24 01:50:00 PM,6.21,71.71,,,,
96,09/11/24 01:55:00 PM,6.21,71.71,,,,
97,09/11/24 02:00:00 PM,6.20,71.71,,,,
98,09/11/24 02:05:00 PM,6.20,71.71,,,,
99,09/11/24 02:10:00 PM,6.20,71.71,,,,
100,09/11/24 02:15:00 PM,6.20,71.71,,,,
101,09/11/24 02:20:00 PM,6.20,71.71,,,,
102,09/11/24 02:25:00 PM,6.20,71.71,,,,
103,09/11/24 02:30:00 PM,6.20,71.71,,,,
104,09/11/24 02:35:00 PM,6.20,71.71,,,,
105,09/11/24 02:40:00 PM,6.20,71.71,,,,
106,09/11/24 02:45:00 PM,6.20,71.71,,,,
107,09/11/24 02:50:00 PM,6.19,71.71,,,,
108,09/11/24 02:55:00 PM,6.19,71.71,,,,
109,09/11/24 03:00:00 PM,6.20,71.71,,,,
110,09/11/24 03:05:00 PM,6.19,71.71,,,,
111,09/11/24 03:10:00 PM,6.19,71.71,,,,
112,09/11/24 03:15:00 PM,6.19,71.71,,,,
113,09/11/24 03:20:00 PM,6.20,71.71,,,,
114,09/11/24 03:25:00 PM,6.19,71.71,,,,
115,09/11/24 03:30:00 PM,6.20,71.71,,,,
116,09/11/24 03:35:00 PM,6.19,71.71,,,,
117,09/11/24 03:40:00 PM,6.19,71.71,,,,
118,09/11/24 03:45:00 PM,6.19,71.71,,,,
119,09/11/24 03:50:00 PM,6.19,71.71,,,,
120,09/11/24 03:55:00 PM,6.19,71.71,,,,
121,09/11/24 04:00:00 PM,6.19,71.71,,,,
122,09/11/24 04:05:00 PM,6.19,71.71,,,,
123,09/11/24 04:10:00 PM,6.18,71.71,,,,
124,09/11/24 04:15:00 PM,6.19,71.71,,,,
125,09/11/24 04:20:00 PM,6.19,71.71,,,,
126,09/11/24 04:25:00 PM,6.18,71.71,,,,
127,09/11/24 04:30:00 PM,6.19,71.71,,,,
128,09/11/24 04:35:00 PM,6.19,71.71,,,,
129,09/11/24 04:40:00 PM,6.18,71.71,,,,
130,09/11/24 04:45:00 PM,6.18,71.71,,,,
131,09/11/24 04:50:00 PM,6.19,71.71,,,,
132,09/11/24 04:55:00 PM,6.19,71.71,,,,
133,09/11/24 05:00:00 PM,6.17,71.71,,,,
134,09/11/24 05:05:00 PM,6.17,71.71,,,,
135,09/11/24 05:10:00 PM,6.18,71.71,,,,
136,09/11/24 05:15:00 PM,6.17,71.71,,,,
137,09/11/24 05:20:00 PM,6.17,71.71,,,,
138,09/11/24 05:25:00 PM,6.17,71.71,,,,
139,09/11/24 05:30:00 PM,6.15,71.71,,,,
140,09/11/24 05:35:00 PM,6.15,71.71,,,,
141,09/11/24 05:40:00 PM,6.15,71.71,,,,
142,09/11/24 05:45:00 PM,6.12,71.71,,,,
143,09/11/24 05:50:00 PM,6.11,71.71,,,,
144,09/11/24 05:55:00 PM,6.11,71.71,,,,
145,09/11/24 06:00:00 PM,6.12,71.71,,,,
146,09/11/24 06:05:00 PM,6.18,71.71,,,,
147,09/11/24 06:10:00 PM,6.18,71.71,,,,
148,09/11/24 06:15:00 PM,6.18,71.71,,,,
149,09/11/24 06:20:00 PM,6.18,71.71,,,,
150,09/11/24 06:25:00 PM,6.17,71.74,,,,
151,09/11/24 06:30:00 PM,6.17,71.74,,,,
152,09/11/24 06:35:00 PM,6.15,71.71,,,,
153,09/11/24 06:40:00 PM,6.17,71.71,,,,
154,09/11/24 06:45:00 PM,6.15,71.71,,,,
155,09/11/24 06:50:00 PM,6.15,71.71,,,,
156,09/11/24 06:55:00 PM,6.14,71.71,,,,
157,09/11/24 07:00:00 PM,6.14,71.71,,,,
158,09/11/24 07:05:00 PM,6.14,71.71,,,,
159,09/11/24 07:10:00 PM,6.13,71.71,,,,
160,09/11/24 07:15:00 PM,6.14,71.71,,,,
161,09/11/24 07:20:00 PM,6.13,71.71,,,,
162,09/11/24 07:25:00 PM,6.13,71.71,,,,
163,09/11/24 07:30:00 PM,6.13,71.71,,,,
164,09/11/24 07:35:00 PM,6.13,71.71,,,,
165,09/11/24 07:40:00 PM,6.13,71.71,,,,
166,09/11/24 07:45:00 PM,6.13,71.71,,,,
167,09/11/24 07:50:00 PM,6.13,71.71,,,,
168,09/11/24 07:55:00 PM,6.11,71.71,,,,
169,09/11/24 08:00:00 PM,6.12,71.71,,,,
170,09/11/24 08:05:00 PM,6.12,71.71,,,,
171,09/11/24 08:10:00 PM,6.12,71.71,,,,
172,09/11/24 08:15:00 PM,6.12,71.71,,,,
173,09/11/24 08:20:00 PM,6.12,71.71,,,,
174,09/11/24 08:25:00 PM,6.12,71.71,,,,
175,09/11/24 08:30:00 PM,6.12,71.71,,,,
176,09/11/24 08:35:00 PM,6.12,71.71,,,,
177,09/11/24 08:40:00 PM,6.12,71.71,,,,
178,09/11/24 08:45:00 PM,6.12,71.71,,,,
179,09/11/24 08:50:00 PM,6.12,71.71,,,,
180,09/11/24 08:55:00 PM,6.11,71.71,,,,
181,09/11/24 09:00:00 PM,6.11,71.71,,,,
182,09/11/24 09:05:00 PM,6.12,71.71,,,,
183,09/11/24 09:10:00 PM,6.12,71.71,,,,
184,09/11/24 09:15:00 PM,6.12,71.71,,,,
185,09/11/24 09:20:00 PM,6.13,71.71,,,,
186,09/11/24 09:25:00 PM,6.12,71.71,,,,
187,09/11/24 09:30:00 PM,6.11,71.71,,,,
188,09/11/24 09:35:00 PM,6.11,71.71,,,,
189,09/11/24 09:40:00 PM,6.11,71.71,,,,
190,09/11/24 09:45:00 PM,6.12,71.71,,,,
191,09/11/24 09:50:00 PM,6.10,71.71,,,,
192,09/11/24 09:55:00 PM,6.11,71.71,,,,
193,09/11/24 10:00:00 PM,6.11,71.71,,,,
194,09/11/24 10:05:00 PM,6.11,71.71,,,,
195,09/11/24 10:10:00 PM,6.11,71.71,,,,
196,09/11/24 10:15:00 PM,6.11,71.71,,,,
197,09/11/24 10:20:00 PM,6.11,71.71,,,,
198,09/11/24 10:25:00 PM,6.10,71.71,,,,
199,09/11/24 10:30:00 PM,6.11,71.71,,,,
200,09/11/24 10:35:00 PM,6.11,71.71,,,,
201,09/11/24 10:40:00 PM,6.10,71.71,,,,
202,09/11/24 10:45:00 PM,6.10,71.71,,,,
203,09/11/24 10:50:00 PM,6.10,71.71,,,,
204,09/11/24 10:55:00 PM,6.10,71.71,,,,
205,09/11/24 11:00:00 PM,6.10,71.71,,,,
206,09/11/24 11:05:00 PM,6.09,71.71,,,,
207,09/11/24 11:10:00 PM,6.10,71.71,,,,
208,09/11/24 11:15:00 PM,6.10,71.71,,,,
209,09/11/24 11:20:00 PM,6.09,71.71,,,,
210,09/11/24 11:25:00 PM,6.09,71.71,,,,
211,09/11/24 11:30:00 PM,6.09,71.71,,,,
212,09/11/24 11:35:00 PM,6.09,71.71,,,,
213,09/11/24 11:40:00 PM,6.09,71.71,,,,
214,09/11/24 11:45:00 PM,6.09,71.71,,,,
215,09/11/24 11:50:00 PM,6.09,71.71,,,,
216,09/11/24 11:55:00 PM,6.09,71.71,,,,
217,09/12/24 12:00:00 AM,6.09,71.71,,,,
218,09/12/24 12:05:00 AM,5.81,71.71,,,,
219,09/12/24 12:10:00 AM,5.81,71.67,,,,
220,09/12/24 12:15:00 AM,5.81,71.67,,,,
221,09/12/24 12:20:00 AM,5.81,71.67,,,,
222,09/12/24 12:25:00 AM,5.81,71.67,,,,
223,09/12/24 12:30:00 AM,5.81,71.67,,,,
224,09/12/24 12:35:00 AM,5.81,71.67,,,,
225,09/12/24 12:40:00 AM,5.81,71.67,,,,
226,09/12/24 12:45:00 AM,5.81,71.67,,,,
227,09/12/24 12:50:00 AM,5.80,71.67,,,,
228,09/12/24 12:55:00 AM,5.80,71.67,,,,
229,09/12/24 01:00:00 AM,5.80,71.67,,,,
230,09/12/24 01:05:00 AM,5.80,71.67,,,,
231,09/12/24 01:10:00 AM,5.80,71.67,,,,
232,09/12/24 01:15:00 AM,5.80,71.67,,,,
233,09/12/24 01:20:00 AM,5.81,71.67,,,,
234,09/12/24 01:25:00 AM,5.80,71.67,,,,
235,09/12/24 01:30:00 AM,5.80,71.67,,,,
236,09/12/24 01:35:00 AM,5.80,71.67,,,,
237,09/12/24 01:40:00 AM,5.78,71.67,,,,
238,09/12/24 01:45:00 AM,5.78,71.67,,,,
239,09/12/24 01:50:00 AM,5.78,71.67,,,,
240,09/12/24 01:55:00 AM,5.77,71.67,,,,
241,09/12/24 02:00:00 AM,5.77,71.67,,,,
242,09/12/24 02:05:00 AM,5.77,71.67,,,,
243,09/12/24 02:10:00 AM,5.77,71.67,,,,
244,09/12/24 02:15:00 AM,5.76,71.67,,,,
245,09/12/24 02:20:00 AM,5.75,71.67,,,,
246,09/12/24 02:25:00 AM,5.75,71.67,,,,
247,09/12/24 02:30:00 AM,5.75,71.67,,,,
248,09/12/24 02:35:00 AM,5.75,71.67,,,,
249,09/12/24 02:40:00 AM,5.74,71.67,,,,
250,09/12/24 02:45:00 AM,5.74,71.67,,,,
251,09/12/24 02:50:00 AM,5.75,71.67,,,,
252,09/12/24 02:55:00 AM,5.74,71.67,,,,
253,09/12/24 03:00:00 AM,5.74,71.67,,,,
254,09/12/24 03:05:00 AM,5.73,71.67,,,,
255,09/12/24 03:10:00 AM,5.74,71.67,,,,
256,09/12/24 03:15:00 AM,5.74,71.67,,,,
257,09/12/24 03:20:00 AM,5.74,71.67,,,,
258,09/12/24 03:25:00 AM,5.74,71.67,,,,
259,09/12/24 03:30:00 AM,5.74,71.67,,,,
260,09/12/24 03:35:00 AM,5.74,71.67,,,,
261,09/12/24 03:40:00 AM,5.74,71.67,,,,
262,09/12/24 03:45:00 AM,5.74,71.67,,,,
263,09/12/24 03:50:00 AM,5.74,71.67,,,,
264,09/12/24 03:55:00 AM,5.74,71.67,,,,
265,09/12/24 04:00:00 AM,5.74,71.67,,,,
266,09/12/24 04:05:00 AM,5.73,71.67,,,,
267,09/12/24 04:10:00 AM,5.73,71.67,,,,
268,09/12/24 04:15:00 AM,5.72,71.67,,,,
269,09/12/24 04:20:00 AM,5.71,71.67,,,,
270,09/12/24 04:25:00 AM,5.71,71.67,,,,
271,09/12/24 04:30:00 AM,5.71,71.67,,,,
272,09/12/24 04:35:00 AM,5.72,71.67,,,,
273,09/12/24 04:40:00 AM,5.71,71.67,,,,
274,09/12/24 04:45:00 AM,5.71,71.67,,,,
275,09/12/24 04:50:00 AM,5.72,71.67,,,,
276,09/12/24 04:55:00 AM,5.71,71.67,,,,
277,09/12/24 05:00:00 AM,5.71,71.67,,,,
278,09/12/24 05:05:00 AM,5.70,71.67,,,,
279,09/12/24 05:10:00 AM,5.71,71.67,,,,
280,09/12/24 05:15:00 AM,5.71,71.67,,,,
281,09/12/24 05:20:00 AM,5.71,71.67,,,,
282,09/12/24 05:25:00 AM,5.71,71.67,,,,
283,09/12/24 05:30:00 AM,5.71,71.67,,,,
284,09/12/24 05:35:00 AM,5.72,71.67,,,,
285,09/12/24 05:40:00 AM,5.73,71.67,,,,
286,09/12/24 05:45:00 AM,5.73,71.67,,,,
287,09/12/24 05:50:00 AM,5.73,71.67,,,,
288,09/12/24 05:55:00 AM,5.72,71.67,,,,
289,09/12/24 06:00:00 AM,5.73,71.67,,,,
290,09/12/24 06:05:00 AM,6.06,71.67,,,,
291,09/12/24 06:10:00 AM,6.05,71.67,,,,
292,09/12/24 06:15:00 AM,6.03,71.71,,,,
293,09/12/24 06:20:00 AM,6.05,71.67,,,,
294,09/12/24 06:25:00 AM,6.06,71.71,,,,
295,09/12/24 06:30:00 AM,6.06,71.67,,,,
296,09/12/24 06:35:00 AM,6.05,71.67,,,,
297,09/12/24 06:40:00 AM,6.02,71.67,,,,
298,09/12/24 06:45:00 AM,6.02,71.67,,,,
299,09/12/24 06:50:00 AM,6.03,71.67,,,,
300,09/12/24 06:55:00 AM,6.03,71.67,,,,
301,09/12/24 07:00:00 AM,6.03,71.67,,,,
302,09/12/24 07:05:00 AM,6.02,71.67,,,,
303,09/12/24 07:10:00 AM,6.02,71.67,,,,
304,09/12/24 07:15:00 AM,6.02,71.67,,,,
305,09/12/24 07:20:00 AM,6.01,71.67,,,,
306,09/12/24 07:25:00 AM,6.01,71.67,,,,
307,09/12/24 07:30:00 AM,6.01,71.67,,,,
308,09/12/24 07:35:00 AM,6.01,71.67,,,,
309,09/12/24 07:40:00 AM,6.01,71.67,,,,
310,09/12/24 07:45:00 AM,6.01,71.67,,,,
311,09/12/24 07:50:00 AM,6.01,71.67,,,,
312,09/12/24 07:55:00 AM,6.00,71.67,,,,
313,09/12/24 08:00:00 AM,5.98,71.67,,,,
314,09/12/24 08:05:00 AM,5.93,71.67,,,,
315,09/12/24 08:10:00 AM,5.88,71.67,,,,
316,09/12/24 08:15:00 AM,5.88,71.67,,,,
317,09/12/24 08:20:00 AM,5.88,71.67,,,,
318,09/12/24 08:25:00 AM,5.87,71.67,,,,
319,09/12/24 08:30:00 AM,5.88,71.67,,,,
320,09/12/24 08:35:00 AM,5.87,71.67,,,,
321,09/12/24 08:40:00 AM,5.86,71.67,,,,
322,09/12/24 08:45:00 AM,5.85,71.67,,,,
323,09/12/24 08:50:00 AM,5.85,71.67,,,,
324,09/12/24 08:55:00 AM,5.86,71.67,,,,
325,09/12/24 09:00:00 AM,5.78,71.67,,,,
326,09/12/24 09:05:00 AM,5.77,71.67,,,,
327,09/12/24 09:10:00 AM,5.77,71.67,,,,
328,09/12/24 09:15:00 AM,5.78,71.67,,,,
329,09/12/24 09:20:00 AM,5.77,71.67,,,,
330,09/12/24 09:25:00 AM,5.77,71.67,,,,
331,09/12/24 09:30:00 AM,5.76,71.67,,,,
332,09/12/24 09:35:00 AM,5.76,71.67,,,,
333,09/12/24 09:40:00 AM,5.77,71.67,,,,
334,09/12/24 09:45:00 AM,5.76,71.67,,,,
335,09/12/24 09:50:00 AM,5.76,71.67,,,,
336,09/12/24 09:55:00 AM,5.75,71.67,,,,
337,09/12/24 10:00:00 AM,5.74,71.67,,,,
338,09/12/24 10:05:00 AM,5.75,71.67,,,,
339,09/12/24 10:10:00 AM,5.74,71.67,,,,
340,09/12/24 10:15:00 AM,5.74,71.67,,,,
341,09/12/24 10:20:00 AM,5.78,71.67,,,,
342,09/12/24 10:25:00 AM,5.80,71.67,,,,
343,09/12/24 10:30:00 AM,5.89,71.67,,,,
344,09/12/24 10:35:00 AM,5.84,71.67,,,,
345,09/12/24 10:40:00 AM,5.83,71.67,,,,
346,09/12/24 10:45:00 AM,5.86,71.67,,,,
347,09/12/24 10:50:00 AM,5.89,71.67,,,,
348,09/12/24 10:55:00 AM,5.93,71.67,,,,
349,09/12/24 11:00:00 AM,5.84,71.67,,,,
350,09/12/24 11:05:00 AM,5.76,71.67,,,,
351,09/12/24 11:10:00 AM,5.70,71.67,,,,
352,09/12/24 11:15:00 AM,5.73,71.67,,,,
353,09/12/24 11:20:00 AM,5.73,71.67,,,,
354,09/12/24 11:25:00 AM,5.70,71.67,,,,
355,09/12/24 11:30:00 AM,5.77,71.67,,,,
356,09/12/24 11:35:00 AM,5.68,71.67,,,,
357,09/12/24 11:40:00 AM,5.71,71.67,,,,
358,09/12/24 11:45:00 AM,5.71,71.67,,,,
359,09/12/24 11:50:00 AM,5.68,71.67,,,,
360,09/12/24 11:55:00 AM,5.68,71.67,,,,
361,09/12/24 12:00:00 PM,5.67,71.67,,,,
362,09/12/24 12:05:00 PM,5.71,71.67,,,,
363,09/12/24 12:10:00 PM,5.69,71.67,,,,
364,09/12/24 12:15:00 PM,5.69,71.67,,,,
365,09/12/24 12:20:00 PM,5.69,71.67,,,,
366,09/12/24 12:25:00 PM,5.68,71.67,,,,
367,09/12/24 12:30:00 PM,5.64,71.67,,,,
368,09/12/24 12:35:00 PM,5.65,71.67,,,,
369,09/12/24 12:40:00 PM,5.65,71.67,,,,
370,09/12/24 12:45:00 PM,5.67,71.67,,,,
371,09/12/24 12:50:00 PM,5.64,71.67,,,,
372,09/12/24 12:55:00 PM,5.64,71.67,,,,
373,09/12/24 01:00:00 PM,5.61,71.67,,,,
374,09/12/24 01:05:00 PM,5.60,71.67,,,,
375,09/12/24 01:10:00 PM,5.62,71.67,,,,
376,09/12/24 01:15:00 PM,5.61,71.67,,,,
377,09/12/24 01:20:00 PM,5.60,71.67,,,,
378,09/12/24 01:25:00 PM,5.60,71.67,,,,
379,09/12/24 01:30:00 PM,5.60,71.64,,,,
380,09/12/24 01:35:00 PM,5.60,71.64,,,,
381,09/12/24 01:40:00 PM,5.59,71.64,,,,
382,09/12/24 01:45:00 PM,5.59,71.67,,,,
383,09/12/24 01:50:00 PM,5.59,71.64,,,,
384,09/12/24 01:55:00 PM,5.56,71.64,,,,
385,09/12/24 02:00:00 PM,5.49,71.64,,,,
386,09/12/24 02:05:00 PM,5.51,71.64,,,,
387,09/12/24 02:10:00 PM,5.48,71.67,,,,
388,09/12/24 02:15:00 PM,5.47,71.64,,,,
389,09/12/24 02:20:00 PM,5.47,71.64,,,,
390,09/12/24 02:25:00 PM,5.46,71.64,,,,
391,09/12/24 02:30:00 PM,5.46,71.64,,,,
392,09/12/24 02:35:00 PM,5.47,71.64,,,,
393,09/12/24 02:40:00 PM,5.47,71.64,,,,
394,09/12/24 02:45:00 PM,5.46,71.64,,,,
395,09/12/24 02:50:00 PM,5.45,71.64,,,,
396,09/12/24 02:55:00 PM,5.45,71.64,,,,
397,09/12/24 03:00:00 PM,5.45,71.64,,,,
398,09/12/24 03:05:00 PM,5.45,71.64,,,,
399,09/12/24 03:10:00 PM,5.45,71.64,,,,
400,09/12/24 03:15:00 PM,5.45,71.64,,,,
401,09/12/24 03:20:00 PM,5.46,71.64,,,,
402,09/12/24 03:25:00 PM,5.43,71.64,,,,
403,09/12/24 03:30:00 PM,5.43,71.64,,,,
404,09/12/24 03:35:00 PM,5.43,71.64,,,,
405,09/12/24 03:40:00 PM,5.49,71.64,,,,
406,09/12/24 03:45:00 PM,5.43,71.64,,,,
407,09/12/24 03:50:00 PM,5.44,71.64,,,,
408,09/12/24 03:55:00 PM,5.42,71.64,,,,
409,09/12/24 04:00:00 PM,5.51,71.64,,,,
410,09/12/24 04:05:00 PM,5.55,71.64,,,,
411,09/12/24 04:10:00 PM,5.52,71.64,,,,
412,09/12/24 04:15:00 PM,5.53,71.64,,,,
413,09/12/24 04:20:00 PM,5.53,71.64,,,,
414,09/12/24 04:25:00 PM,5.52,71.64,,,,
415,09/12/24 04:30:00 PM,5.51,71.64,,,,
416,09/12/24 04:35:00 PM,5.49,71.64,,,,
417,09/12/24 04:40:00 PM,5.47,71.64,,,,
418,09/12/24 04:45:00 PM,5.47,71.64,,,,
419,09/12/24 04:50:00 PM,5.47,71.64,,,,
420,09/12/24 04:55:00 PM,5.46,71.64,,,,
421,09/12/24 05:00:00 PM,5.43,71.64,,,,
422,09/12/24 05:05:00 PM,5.45,71.64,,,,
423,09/12/24 05:10:00 PM,5.43,71.64,,,,
424,09/12/24 05:15:00 PM,5.40,71.64,,,,
425,09/12/24 05:20:00 PM,5.40,71.64,,,,
426,09/12/24 05:25:00 PM,5.40,71.64,,,,
427,09/12/24 05:30:00 PM,5.40,71.64,,,,
428,09/12/24 05:35:00 PM,5.39,71.64,,,,
429,09/12/24 05:40:00 PM,5.39,71.64,,,,
