"Plot Title: 21839977"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21839977, SEN S/N: 21839977)","Temp, °F (LGR S/N: 21839977, SEN S/N: 21839977)","Coupler Attached (LGR S/N: 21839977)","Host Connected (LGR S/N: 21839977)","Stopped (LGR S/N: 21839977)","End Of File (LGR S/N: 21839977)"
1,09/11/24 06:00:00 AM,9.34,66.85,,,,
2,09/11/24 06:05:00 AM,9.42,65.77,,,,
3,09/11/24 06:10:00 AM,9.50,64.69,,,,
4,09/11/24 06:15:00 AM,9.60,63.64,,,,
5,09/11/24 06:20:00 AM,9.70,62.64,,,,
6,09/11/24 06:25:00 AM,9.77,61.56,,,,
7,09/11/24 06:30:00 AM,9.84,60.37,,,,
8,09/11/24 06:35:00 AM,10.01,59.22,,,,
9,09/11/24 06:40:00 AM,10.12,58.17,,,,
10,09/11/24 06:45:00 AM,10.26,57.16,,,,
11,09/11/24 06:50:00 AM,10.41,56.37,,,,
12,09/11/24 06:55:00 AM,10.50,55.87,,,,
13,09/11/24 07:00:00 AM,10.57,55.40,,,,
14,09/11/24 07:05:00 AM,10.64,55.04,,,,
15,09/11/24 07:10:00 AM,10.78,54.90,,,,
16,09/11/24 07:15:00 AM,10.82,55.00,,,,
17,09/11/24 07:20:00 AM,10.80,55.22,,,,
18,09/11/24 07:25:00 AM,10.80,55.47,,,,
19,09/11/24 07:30:00 AM,10.76,55.69,,,,
20,09/11/24 07:35:00 AM,10.73,55.90,,,,
21,09/11/24 07:40:00 AM,10.72,56.08,,,,
22,09/11/24 07:45:00 AM,10.72,56.34,,,,
23,09/11/24 07:50:00 AM,10.73,56.70,,,,
24,09/11/24 07:55:00 AM,10.65,57.13,,,,
25,09/11/24 08:00:00 AM,10.59,57.49,,,,
26,09/11/24 08:05:00 AM,10.55,57.81,,,,
27,09/11/24 08:10:00 AM,10.52,58.14,,,,
28,09/11/24 08:15:00 AM,10.46,58.42,,,,
29,09/11/24 08:20:00 AM,10.42,58.71,,,,
30,09/11/24 08:25:00 AM,10.40,59.04,,,,
31,09/11/24 08:30:00 AM,10.39,59.40,,,,
32,09/11/24 08:35:00 AM,10.35,59.90,,,,
33,09/11/24 08:40:00 AM,10.29,60.37,,,,
34,09/11/24 08:45:00 AM,10.23,60.80,,,,
35,09/11/24 08:50:00 AM,10.21,61.23,,,,
36,09/11/24 08:55:00 AM,10.17,61.66,,,,
37,09/11/24 09:00:00 AM,10.12,62.10,,,,
38,09/11/24 09:05:00 AM,10.10,62.60,,,,
39,09/11/24 09:10:00 AM,10.09,63.10,,,,
40,09/11/24 09:15:00 AM,10.03,63.61,,,,
41,09/11/24 09:20:00 AM,9.96,64.04,,,,
42,09/11/24 09:25:00 AM,9.92,64.44,,,,
43,09/11/24 09:30:00 AM,9.88,64.80,,,,
44,09/11/24 09:35:00 AM,9.86,65.41,,,,
45,09/11/24 09:40:00 AM,9.82,66.13,,,,
46,09/11/24 09:45:00 AM,9.75,66.92,,,,
47,09/11/24 09:50:00 AM,9.65,67.75,,,,
48,09/11/24 09:55:00 AM,9.58,68.43,,,,
49,09/11/24 10:00:00 AM,9.50,68.97,,,,
50,09/11/24 10:05:00 AM,9.39,69.22,,,,
51,09/11/24 10:10:00 AM,9.33,69.22,,,,
52,09/11/24 10:15:00 AM,9.31,69.15,,,,
53,09/11/24 10:20:00 AM,9.30,69.15,,,,
54,09/11/24 10:25:00 AM,9.30,69.15,,,,
55,09/11/24 10:30:00 AM,9.30,69.22,,,,
56,09/11/24 10:35:00 AM,9.30,69.33,,,,
57,09/11/24 10:40:00 AM,9.32,69.48,,,,
58,09/11/24 10:45:00 AM,9.27,69.73,,,,
59,09/11/24 10:50:00 AM,9.26,70.05,,,,
60,09/11/24 10:55:00 AM,9.22,70.38,,,,
61,09/11/24 11:00:00 AM,9.22,70.77,,,,
62,09/11/24 11:05:00 AM,9.21,71.28,,,,
63,09/11/24 11:10:00 AM,9.14,72.03,,,,
64,09/11/24 11:15:00 AM,9.02,72.68,,,,
65,09/11/24 11:20:00 AM,8.93,72.64,,,,
66,09/11/24 11:25:00 AM,8.92,72.10,,,,
67,09/11/24 11:30:00 AM,8.97,71.46,,,,
68,09/11/24 11:35:00 AM,8.99,70.99,,,,
69,09/11/24 11:40:00 AM,8.15,71.46,,,,
70,09/11/24 11:45:00 AM,7.89,71.74,,,,
71,09/11/24 11:50:00 AM,7.77,71.78,,,,
72,09/11/24 11:55:00 AM,7.77,71.78,,,,
73,09/11/24 12:00:00 PM,7.76,71.78,,,,
74,09/11/24 12:05:00 PM,7.52,71.67,,,,
75,09/11/24 12:10:00 PM,7.52,71.67,,,,
76,09/11/24 12:15:00 PM,7.52,71.67,,,,
77,09/11/24 12:20:00 PM,7.52,71.64,,,,
78,09/11/24 12:25:00 PM,7.52,71.64,,,,
79,09/11/24 12:30:00 PM,7.53,71.64,,,,
80,09/11/24 12:35:00 PM,7.52,71.64,,,,
81,09/11/24 12:40:00 PM,7.52,71.64,,,,
