Plot Title: 22224701,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224701, SEN S/N: 22224701)","Temp, °F (LGR S/N: 22224701, SEN S/N: 22224701)",Coupler Attached (LGR S/N: 22224701),Host Connected (LGR S/N: 22224701),Coupler Detached (LGR S/N: 22224701),Stopped (LGR S/N: 22224701),End Of File (LGR S/N: 22224701)
1,5/23/2025 21:00,10.58,58.53,,,,,
2,5/23/2025 21:05,10.58,58.6,,,,,
3,5/23/2025 21:10,10.58,58.68,,,,,
4,5/23/2025 21:15,10.57,58.68,,,,,
5,5/23/2025 21:20,10.57,58.68,,,,,
6,5/23/2025 21:25,10.56,58.68,,,,,
7,5/23/2025 21:30,10.56,58.64,,,,,
8,5/23/2025 21:35,10.56,58.64,,,,,
9,5/23/2025 21:40,10.57,58.64,,,,,
10,5/23/2025 21:45,10.56,58.64,,,,,
11,5/23/2025 21:50,10.56,58.64,,,,,
12,5/23/2025 21:55,10.54,58.57,,,,,
13,5/23/2025 22:00,10.54,58.5,,,,,
14,5/23/2025 22:05,10.54,58.42,,,,,
15,5/23/2025 22:10,10.56,58.39,,,,,
16,5/23/2025 22:15,10.54,58.39,,,,,
17,5/23/2025 22:20,10.54,58.39,,,,,
18,5/23/2025 22:25,10.53,58.39,,,,,
19,5/23/2025 22:30,10.54,58.35,,,,,
20,5/23/2025 22:35,10.53,58.32,,,,,
21,5/23/2025 22:40,10.55,58.28,,,,,
22,5/23/2025 22:45,10.53,58.24,,,,,
23,5/23/2025 22:50,10.55,58.21,,,,,
24,5/23/2025 22:55,10.56,58.21,,,,,
25,5/23/2025 23:00,10.57,58.17,,,,,
26,5/23/2025 23:05,10.57,58.17,,,,,
27,5/23/2025 23:10,10.57,58.14,,,,,
28,5/23/2025 23:15,10.59,58.14,,,,,
29,5/23/2025 23:20,10.57,58.14,,,,,
30,5/23/2025 23:25,10.59,58.14,,,,,
31,5/23/2025 23:30,10.59,58.14,,,,,
32,5/23/2025 23:35,10.59,58.14,,,,,
33,5/23/2025 23:40,10.59,58.14,,,,,
34,5/23/2025 23:45,10.59,58.14,,,,,
35,5/23/2025 23:50,10.59,58.14,,,,,
36,5/23/2025 23:55,10.59,58.14,,,,,
37,5/24/2025 0:00,10.59,58.17,,,,,
38,5/24/2025 0:05,10.6,58.17,,,,,
39,5/24/2025 0:10,10.59,58.17,,,,,
40,5/24/2025 0:15,10.59,58.17,,,,,
41,5/24/2025 0:20,10.59,58.17,,,,,
42,5/24/2025 0:25,10.6,58.17,,,,,
43,5/24/2025 0:30,10.59,58.17,,,,,
44,5/24/2025 0:35,10.59,58.17,,,,,
45,5/24/2025 0:40,10.59,58.17,,,,,
46,5/24/2025 0:45,10.59,58.17,,,,,
47,5/24/2025 0:50,10.59,58.17,,,,,
48,5/24/2025 0:55,10.59,58.17,,,,,
49,5/24/2025 1:00,10.58,58.14,,,,,
50,5/24/2025 1:05,10.59,58.14,,,,,
51,5/24/2025 1:10,10.59,58.14,,,,,
52,5/24/2025 1:15,10.59,58.14,,,,,
53,5/24/2025 1:20,10.6,58.1,,,,,
54,5/24/2025 1:25,10.59,58.1,,,,,
55,5/24/2025 1:30,10.57,58.1,,,,,
56,5/24/2025 1:35,10.55,58.06,,,,,
57,5/24/2025 1:40,10.56,58.06,,,,,
58,5/24/2025 1:45,10.55,58.06,,,,,
59,5/24/2025 1:50,10.55,58.03,,,,,
60,5/24/2025 1:55,10.55,58.03,,,,,
61,5/24/2025 2:00,10.56,58.03,,,,,
62,5/24/2025 2:05,10.55,58.03,,,,,
63,5/24/2025 2:10,10.55,58.03,,,,,
64,5/24/2025 2:15,10.54,58.03,,,,,
65,5/24/2025 2:20,10.52,58.03,,,,,
66,5/24/2025 2:25,10.52,58.03,,,,,
67,5/24/2025 2:30,10.5,57.99,,,,,
68,5/24/2025 2:35,10.51,57.99,,,,,
69,5/24/2025 2:40,10.52,57.99,,,,,
70,5/24/2025 2:45,10.51,57.99,,,,,
71,5/24/2025 2:50,10.51,57.99,,,,,
72,5/24/2025 2:55,10.52,57.99,,,,,
73,5/24/2025 3:00,10.49,57.99,,,,,
74,5/24/2025 3:05,10.48,57.99,,,,,
75,5/24/2025 3:10,10.47,57.96,,,,,
76,5/24/2025 3:15,10.44,57.96,,,,,
77,5/24/2025 3:20,10.42,57.92,,,,,
78,5/24/2025 3:25,10.41,57.92,,,,,
79,5/24/2025 3:30,10.38,57.88,,,,,
80,5/24/2025 3:35,10.37,57.88,,,,,
81,5/24/2025 3:40,10.36,57.88,,,,,
82,5/24/2025 3:45,10.35,57.85,,,,,
83,5/24/2025 3:50,10.35,57.88,,,,,
84,5/24/2025 3:55,10.35,57.88,,,,,
85,5/24/2025 4:00,10.37,57.88,,,,,
86,5/24/2025 4:05,10.39,57.92,,,,,
87,5/24/2025 4:10,10.39,57.92,,,,,
88,5/24/2025 4:15,10.39,57.92,,,,,
89,5/24/2025 4:20,10.41,57.92,,,,,
90,5/24/2025 4:25,10.43,57.92,,,,,
91,5/24/2025 4:30,10.43,57.92,,,,,
92,5/24/2025 4:35,10.44,57.92,,,,,
93,5/24/2025 4:40,10.44,57.92,,,,,
94,5/24/2025 4:45,10.43,57.92,,,,,
95,5/24/2025 4:50,10.42,57.92,,,,,
96,5/24/2025 4:55,10.43,57.92,,,,,
97,5/24/2025 5:00,10.39,57.92,,,,,
98,5/24/2025 5:05,10.38,57.88,,,,,
99,5/24/2025 5:10,10.37,57.88,,,,,
100,5/24/2025 5:15,10.37,57.88,,,,,
101,5/24/2025 5:20,10.37,57.92,,,,,
102,5/24/2025 5:25,10.35,57.88,,,,,
103,5/24/2025 5:30,10.33,57.92,,,,,
104,5/24/2025 5:35,10.27,57.92,,,,,
105,5/24/2025 5:40,10.27,57.92,,,,,
106,5/24/2025 5:45,10.24,57.92,,,,,
107,5/24/2025 5:50,10.21,57.92,,,,,
108,5/24/2025 5:55,10.2,57.92,,,,,
109,5/24/2025 6:00,10.2,57.92,,,,,
110,5/24/2025 6:05,10.17,57.92,,,,,
111,5/24/2025 6:10,10.17,57.92,,,,,
112,5/24/2025 6:15,10.16,57.92,,,,,
113,5/24/2025 6:20,10.15,57.92,,,,,
114,5/24/2025 6:25,10.16,57.92,,,,,
115,5/24/2025 6:30,10.15,57.92,,,,,
116,5/24/2025 6:35,10.18,57.92,,,,,
117,5/24/2025 6:40,10.19,57.92,,,,,
118,5/24/2025 6:45,10.2,57.92,,,,,
119,5/24/2025 6:50,10.23,57.92,,,,,
120,5/24/2025 6:55,10.23,57.96,,,,,
121,5/24/2025 7:00,10.24,57.96,,,,,
122,5/24/2025 7:05,10.24,57.96,,,,,
123,5/24/2025 7:10,10.23,57.99,,,,,
124,5/24/2025 7:15,10.2,57.99,,,,,
125,5/24/2025 7:20,10.2,57.99,,,,,
126,5/24/2025 7:25,10.19,57.99,,,,,
127,5/24/2025 7:30,10.18,58.03,,,,,
128,5/24/2025 7:35,10.15,58.03,,,,,
129,5/24/2025 7:40,10.16,58.03,,,,,
130,5/24/2025 7:45,10.16,58.03,,,,,
131,5/24/2025 7:50,10.15,58.03,,,,,
132,5/24/2025 7:55,10.16,58.03,,,,,
133,5/24/2025 8:00,10.16,58.03,,,,,
134,5/24/2025 8:05,10.14,58.03,,,,,
135,5/24/2025 8:10,10.15,58.03,,,,,
136,5/24/2025 8:15,10.15,58.03,,,,,
137,5/24/2025 8:20,10.14,58.03,,,,,
138,5/24/2025 8:25,10.14,58.03,,,,,
139,5/24/2025 8:30,10.12,58.03,,,,,
140,5/24/2025 8:35,10.12,58.03,,,,,
141,5/24/2025 8:40,10.1,58.03,,,,,
142,5/24/2025 8:45,10.11,58.03,,,,,
143,5/24/2025 8:50,10.09,58.03,,,,,
144,5/24/2025 8:55,10.09,58.06,,,,,
145,5/24/2025 9:00,10.09,58.03,,,,,
146,5/24/2025 9:05,10.08,58.03,,,,,
147,5/24/2025 9:10,10.09,58.03,,,,,
148,5/24/2025 9:15,10.07,58.03,,,,,
149,5/24/2025 9:20,10.07,58.03,,,,,
150,5/24/2025 9:25,10.06,58.03,,,,,
151,5/24/2025 9:30,10.06,58.03,,,,,
152,5/24/2025 9:35,10.06,57.99,,,,,
153,5/24/2025 9:40,10.05,57.99,,,,,
154,5/24/2025 9:45,10.05,57.99,,,,,
155,5/24/2025 9:50,10.07,57.96,,,,,
156,5/24/2025 9:55,10.07,57.96,,,,,
157,5/24/2025 10:00,10.06,57.96,,,,,
158,5/24/2025 10:05,10.06,57.92,,,,,
159,5/24/2025 10:10,10.05,57.92,,,,,
160,5/24/2025 10:15,10.04,57.92,,,,,
161,5/24/2025 10:20,10.04,57.92,,,,,
162,5/24/2025 10:25,10.04,57.88,,,,,
163,5/24/2025 10:30,10.05,57.88,,,,,
164,5/24/2025 10:35,10.07,57.88,,,,,
165,5/24/2025 10:40,10.06,57.88,,,,,
166,5/24/2025 10:45,10.08,57.85,,,,,
167,5/24/2025 10:50,10.07,57.85,,,,,
168,5/24/2025 10:55,10.07,57.81,,,,,
169,5/24/2025 11:00,10.04,57.78,,,,,
170,5/24/2025 11:05,10.01,57.78,,,,,
171,5/24/2025 11:10,9.98,57.74,,,,,
172,5/24/2025 11:15,9.98,57.74,,,,,
173,5/24/2025 11:20,9.97,57.7,,,,,
174,5/24/2025 11:25,10.01,57.7,,,,,
175,5/24/2025 11:30,9.99,57.7,,,,,
176,5/24/2025 11:35,10.01,57.67,,,,,
177,5/24/2025 11:40,10.02,57.67,,,,,
178,5/24/2025 11:45,10.02,57.67,,,,,
179,5/24/2025 11:50,10.02,57.63,,,,,
180,5/24/2025 11:55,10.03,57.63,,,,,
181,5/24/2025 12:00,10.04,57.63,,,,,
182,5/24/2025 12:05,10.05,57.63,,,,,
183,5/24/2025 12:10,10.06,57.63,,,,,
184,5/24/2025 12:15,10.05,57.63,,,,,
185,5/24/2025 12:20,10.06,57.63,,,,,
186,5/24/2025 12:25,10.06,57.63,,,,,
187,5/24/2025 12:30,10.05,57.63,,,,,
188,5/24/2025 12:35,10.05,57.63,,,,,
189,5/24/2025 12:40,10.06,57.63,,,,,
190,5/24/2025 12:45,10.05,57.63,,,,,
191,5/24/2025 12:50,10.04,57.63,,,,,
192,5/24/2025 12:55,10.03,57.63,,,,,
193,5/24/2025 13:00,10.02,57.63,,,,,
194,5/24/2025 13:05,10.03,57.63,,,,,
195,5/24/2025 13:10,10.01,57.63,,,,,
196,5/24/2025 13:15,9.99,57.63,,,,,
197,5/24/2025 13:20,9.99,57.6,,,,,
198,5/24/2025 13:25,9.99,57.63,,,,,
199,5/24/2025 13:30,9.99,57.63,,,,,
200,5/24/2025 13:35,9.98,57.63,,,,,
201,5/24/2025 13:40,9.96,57.63,,,,,
202,5/24/2025 13:45,9.97,57.63,,,,,
203,5/24/2025 13:50,9.98,57.63,,,,,
204,5/24/2025 13:55,9.98,57.63,,,,,
205,5/24/2025 14:00,9.99,57.67,,,,,
206,5/24/2025 14:05,9.99,57.67,,,,,
207,5/24/2025 14:10,10,57.67,,,,,
208,5/24/2025 14:15,10.01,57.7,,,,,
209,5/24/2025 14:20,10.02,57.7,,,,,
210,5/24/2025 14:25,10.01,57.7,,,,,
211,5/24/2025 14:30,10.01,57.7,,,,,
212,5/24/2025 14:35,10.02,57.7,,,,,
213,5/24/2025 14:40,10,57.7,,,,,
214,5/24/2025 14:45,10.01,57.7,,,,,
215,5/24/2025 14:50,10,57.7,,,,,
216,5/24/2025 14:55,9.97,57.7,,,,,
217,5/24/2025 15:00,9.97,57.7,,,,,
218,5/24/2025 15:05,9.96,57.7,,,,,
219,5/24/2025 15:10,9.96,57.7,,,,,
220,5/24/2025 15:15,9.97,57.7,,,,,
221,5/24/2025 15:20,9.97,57.7,,,,,
222,5/24/2025 15:25,9.98,57.7,,,,,
223,5/24/2025 15:30,9.98,57.7,,,,,
224,5/24/2025 15:35,9.99,57.74,,,,,
225,5/24/2025 15:40,10.01,57.74,,,,,
226,5/24/2025 15:45,10.01,57.74,,,,,
227,5/24/2025 15:50,10,57.74,,,,,
228,5/24/2025 15:55,9.97,57.78,,,,,
229,5/24/2025 16:00,9.95,57.78,,,,,
230,5/24/2025 16:05,9.96,57.81,,,,,
231,5/24/2025 16:10,9.95,57.81,,,,,
232,5/24/2025 16:15,9.94,57.81,,,,,
233,5/24/2025 16:20,9.95,57.78,,,,,
234,5/24/2025 16:25,9.95,57.78,,,,,
235,5/24/2025 16:30,9.93,57.78,,,,,
236,5/24/2025 16:35,9.96,57.81,,,,,
237,5/24/2025 16:40,9.94,57.81,,,,,
238,5/24/2025 16:45,9.95,57.81,,,,,
239,5/24/2025 16:50,9.96,57.85,,,,,
240,5/24/2025 16:55,9.94,57.85,,,,,
241,5/24/2025 17:00,9.92,57.85,,,,,
242,5/24/2025 17:05,9.92,57.85,,,,,
243,5/24/2025 17:10,9.93,57.88,,,,,
244,5/24/2025 17:15,9.91,57.88,,,,,
245,5/24/2025 17:20,9.89,57.88,,,,,
246,5/24/2025 17:25,9.89,57.85,,,,,
247,5/24/2025 17:30,9.9,57.88,,,,,
248,5/24/2025 17:35,9.92,57.88,,,,,
249,5/24/2025 17:40,9.93,57.92,,,,,
250,5/24/2025 17:45,9.96,57.92,,,,,
251,5/24/2025 17:50,9.97,57.92,,,,,
252,5/24/2025 17:55,9.98,57.96,,,,,
253,5/24/2025 18:00,9.99,57.96,,,,,
254,5/24/2025 18:05,9.97,57.96,,,,,
255,5/24/2025 18:10,9.97,57.99,,,,,
256,5/24/2025 18:15,9.96,57.99,,,,,
257,5/24/2025 18:20,9.97,58.03,,,,,
258,5/24/2025 18:25,9.98,58.03,,,,,
259,5/24/2025 18:30,9.98,58.03,,,,,
260,5/24/2025 18:35,10.02,58.06,,,,,
261,5/24/2025 18:40,10.03,58.1,,,,,
262,5/24/2025 18:45,10.05,58.14,,,,,
263,5/24/2025 18:50,10.04,58.14,,,,,
264,5/24/2025 18:55,10.05,58.17,,,,,
265,5/24/2025 19:00,10.03,58.17,,,,,
266,5/24/2025 19:05,10.02,58.17,,,,,
267,5/24/2025 19:10,10.02,58.17,,,,,
268,5/24/2025 19:15,10,58.17,,,,,
269,5/24/2025 19:20,10.01,58.17,,,,,
270,5/24/2025 19:25,9.97,58.17,,,,,
271,5/24/2025 19:30,9.98,58.17,,,,,
272,5/24/2025 19:35,9.97,58.21,,,,,
273,5/24/2025 19:40,9.96,58.21,,,,,
274,5/24/2025 19:45,9.97,58.21,,,,,
275,5/24/2025 19:50,9.96,58.21,,,,,
276,5/24/2025 19:55,9.94,58.24,,,,,
277,5/24/2025 20:00,9.93,58.24,,,,,
278,5/24/2025 20:05,9.94,58.28,,,,,
279,5/24/2025 20:10,9.94,58.28,,,,,
280,5/24/2025 20:15,9.93,58.28,,,,,
281,5/24/2025 20:20,9.92,58.32,,,,,
282,5/24/2025 20:25,9.92,58.32,,,,,
283,5/24/2025 20:30,9.92,58.32,,,,,
284,5/24/2025 20:35,9.91,58.35,,,,,
285,5/24/2025 20:40,9.91,58.32,,,,,
286,5/24/2025 20:45,9.93,58.32,,,,,
287,5/24/2025 20:50,9.92,58.32,,,,,
288,5/24/2025 20:55,9.93,58.35,,,,,
289,5/24/2025 21:00,9.92,58.32,,,,,
290,5/24/2025 21:05,9.91,58.32,,,,,
291,5/24/2025 21:10,9.92,58.32,,,,,
292,5/24/2025 21:15,9.93,58.32,,,,,
293,5/24/2025 21:20,9.93,58.28,,,,,
294,5/24/2025 21:25,9.91,58.28,,,,,
295,5/24/2025 21:30,9.92,58.28,,,,,
296,5/24/2025 21:35,9.92,58.24,,,,,
297,5/24/2025 21:40,9.93,58.24,,,,,
298,5/24/2025 21:45,9.95,58.24,,,,,
299,5/24/2025 21:50,9.95,58.24,,,,,
300,5/24/2025 21:55,9.98,58.24,,,,,
301,5/24/2025 22:00,9.98,58.24,,,,,
302,5/24/2025 22:05,9.98,58.24,,,,,
303,5/24/2025 22:10,9.98,58.24,,,,,
304,5/24/2025 22:15,9.96,58.21,,,,,
305,5/24/2025 22:20,9.95,58.21,,,,,
306,5/24/2025 22:25,9.95,58.17,,,,,
307,5/24/2025 22:30,9.93,58.17,,,,,
308,5/24/2025 22:35,9.92,58.14,,,,,
309,5/24/2025 22:40,9.91,58.14,,,,,
310,5/24/2025 22:45,9.89,58.1,,,,,
311,5/24/2025 22:50,9.88,58.1,,,,,
312,5/24/2025 22:55,9.87,58.06,,,,,
313,5/24/2025 23:00,9.87,58.06,,,,,
314,5/24/2025 23:05,9.87,58.03,,,,,
315,5/24/2025 23:10,9.87,57.99,,,,,
316,5/24/2025 23:15,9.88,57.99,,,,,
317,5/24/2025 23:20,9.9,57.96,,,,,
318,5/24/2025 23:25,9.92,57.96,,,,,
319,5/24/2025 23:30,9.89,57.96,,,,,
320,5/24/2025 23:35,9.91,57.92,,,,,
321,5/24/2025 23:40,9.91,57.92,,,,,
322,5/24/2025 23:45,9.91,57.88,,,,,
323,5/24/2025 23:50,9.89,57.88,,,,,
324,5/24/2025 23:55,9.91,57.88,,,,,
325,5/25/2025 0:00,9.91,57.85,,,,,
326,5/25/2025 0:05,9.91,57.85,,,,,
327,5/25/2025 0:10,9.91,57.85,,,,,
328,5/25/2025 0:15,9.91,57.81,,,,,
329,5/25/2025 0:20,9.91,57.81,,,,,
330,5/25/2025 0:25,9.91,57.81,,,,,
331,5/25/2025 0:30,9.92,57.78,,,,,
332,5/25/2025 0:35,9.9,57.78,,,,,
333,5/25/2025 0:40,9.89,57.78,,,,,
334,5/25/2025 0:45,9.89,57.78,,,,,
335,5/25/2025 0:50,9.9,57.74,,,,,
336,5/25/2025 0:55,9.89,57.74,,,,,
337,5/25/2025 1:00,9.88,57.74,,,,,
338,5/25/2025 1:05,9.91,57.74,,,,,
339,5/25/2025 1:10,9.89,57.74,,,,,
340,5/25/2025 1:15,9.9,57.7,,,,,
341,5/25/2025 1:20,9.88,57.7,,,,,
342,5/25/2025 1:25,9.88,57.7,,,,,
343,5/25/2025 1:30,9.87,57.7,,,,,
344,5/25/2025 1:35,9.87,57.7,,,,,
345,5/25/2025 1:40,9.86,57.7,,,,,
346,5/25/2025 1:45,9.87,57.7,,,,,
347,5/25/2025 1:50,9.87,57.7,,,,,
348,5/25/2025 1:55,9.87,57.7,,,,,
349,5/25/2025 2:00,9.85,57.7,,,,,
350,5/25/2025 2:05,9.85,57.67,,,,,
351,5/25/2025 2:10,9.84,57.67,,,,,
352,5/25/2025 2:15,9.83,57.67,,,,,
353,5/25/2025 2:20,9.82,57.67,,,,,
354,5/25/2025 2:25,9.83,57.67,,,,,
355,5/25/2025 2:30,9.82,57.67,,,,,
