Plot Title: 22224705,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224705, SEN S/N: 22224705)","Temp, °F (LGR S/N: 22224705, SEN S/N: 22224705)",Coupler Attached (LGR S/N: 22224705),Host Connected (LGR S/N: 22224705),Stopped (LGR S/N: 22224705),End Of File (LGR S/N: 22224705)
1,5/23/2025 21:00,10.54,58.46,,,,
2,5/23/2025 21:05,10.54,58.53,,,,
3,5/23/2025 21:10,10.53,58.6,,,,
4,5/23/2025 21:15,10.53,58.64,,,,
5,5/23/2025 21:20,10.54,58.64,,,,
6,5/23/2025 21:25,10.51,58.64,,,,
7,5/23/2025 21:30,10.52,58.64,,,,
8,5/23/2025 21:35,10.51,58.64,,,,
9,5/23/2025 21:40,10.51,58.64,,,,
10,5/23/2025 21:45,10.53,58.64,,,,
11,5/23/2025 21:50,10.49,58.6,,,,
12,5/23/2025 21:55,10.48,58.5,,,,
13,5/23/2025 22:00,10.47,58.42,,,,
14,5/23/2025 22:05,10.49,58.42,,,,
15,5/23/2025 22:10,10.51,58.39,,,,
16,5/23/2025 22:15,10.5,58.39,,,,
17,5/23/2025 22:20,10.51,58.39,,,,
18,5/23/2025 22:25,10.51,58.39,,,,
19,5/23/2025 22:30,10.5,58.35,,,,
20,5/23/2025 22:35,10.5,58.28,,,,
21,5/23/2025 22:40,10.5,58.24,,,,
22,5/23/2025 22:45,10.49,58.21,,,,
23,5/23/2025 22:50,10.49,58.17,,,,
24,5/23/2025 22:55,10.52,58.17,,,,
25,5/23/2025 23:00,10.52,58.17,,,,
26,5/23/2025 23:05,10.53,58.17,,,,
27,5/23/2025 23:10,10.55,58.17,,,,
28,5/23/2025 23:15,10.54,58.17,,,,
29,5/23/2025 23:20,10.57,58.17,,,,
30,5/23/2025 23:25,10.57,58.17,,,,
31,5/23/2025 23:30,10.58,58.17,,,,
32,5/23/2025 23:35,10.55,58.17,,,,
33,5/23/2025 23:40,10.58,58.17,,,,
34,5/23/2025 23:45,10.58,58.21,,,,
35,5/23/2025 23:50,10.59,58.21,,,,
36,5/23/2025 23:55,10.59,58.21,,,,
37,5/24/2025 0:00,10.6,58.24,,,,
38,5/24/2025 0:05,10.6,58.24,,,,
39,5/24/2025 0:10,10.6,58.24,,,,
40,5/24/2025 0:15,10.6,58.24,,,,
41,5/24/2025 0:20,10.59,58.24,,,,
42,5/24/2025 0:25,10.6,58.24,,,,
43,5/24/2025 0:30,10.58,58.24,,,,
44,5/24/2025 0:35,10.59,58.24,,,,
45,5/24/2025 0:40,10.58,58.24,,,,
46,5/24/2025 0:45,10.57,58.21,,,,
47,5/24/2025 0:50,10.55,58.21,,,,
48,5/24/2025 0:55,10.54,58.21,,,,
49,5/24/2025 1:00,10.56,58.21,,,,
50,5/24/2025 1:05,10.54,58.21,,,,
51,5/24/2025 1:10,10.56,58.21,,,,
52,5/24/2025 1:15,10.57,58.21,,,,
53,5/24/2025 1:20,10.55,58.17,,,,
54,5/24/2025 1:25,10.54,58.17,,,,
55,5/24/2025 1:30,10.43,58.14,,,,
56,5/24/2025 1:35,10.44,58.1,,,,
57,5/24/2025 1:40,10.44,58.1,,,,
58,5/24/2025 1:45,10.42,58.06,,,,
59,5/24/2025 1:50,10.41,58.06,,,,
60,5/24/2025 1:55,10.43,58.06,,,,
61,5/24/2025 2:00,10.42,58.06,,,,
62,5/24/2025 2:05,10.45,58.06,,,,
63,5/24/2025 2:10,10.4,58.06,,,,
64,5/24/2025 2:15,10.39,58.06,,,,
65,5/24/2025 2:20,10.33,58.03,,,,
66,5/24/2025 2:25,10.37,57.99,,,,
67,5/24/2025 2:30,10.34,57.99,,,,
68,5/24/2025 2:35,10.44,58.03,,,,
69,5/24/2025 2:40,10.45,58.03,,,,
70,5/24/2025 2:45,10.44,58.03,,,,
71,5/24/2025 2:50,10.46,58.03,,,,
72,5/24/2025 2:55,10.47,58.03,,,,
73,5/24/2025 3:00,10.46,58.03,,,,
74,5/24/2025 3:05,10.43,58.03,,,,
75,5/24/2025 3:10,10.41,58.03,,,,
76,5/24/2025 3:15,10.39,57.99,,,,
77,5/24/2025 3:20,10.38,57.99,,,,
78,5/24/2025 3:25,10.38,57.99,,,,
79,5/24/2025 3:30,10.36,57.99,,,,
80,5/24/2025 3:35,10.33,57.96,,,,
81,5/24/2025 3:40,10.34,57.96,,,,
82,5/24/2025 3:45,10.34,57.96,,,,
83,5/24/2025 3:50,10.34,57.96,,,,
84,5/24/2025 3:55,10.35,57.96,,,,
85,5/24/2025 4:00,10.36,57.96,,,,
86,5/24/2025 4:05,10.37,57.99,,,,
87,5/24/2025 4:10,10.39,57.99,,,,
88,5/24/2025 4:15,10.39,57.99,,,,
89,5/24/2025 4:20,10.39,57.99,,,,
90,5/24/2025 4:25,10.4,57.99,,,,
91,5/24/2025 4:30,10.4,57.99,,,,
92,5/24/2025 4:35,10.43,57.99,,,,
93,5/24/2025 4:40,10.41,57.99,,,,
94,5/24/2025 4:45,10.41,57.99,,,,
95,5/24/2025 4:50,10.4,57.99,,,,
96,5/24/2025 4:55,10.39,57.99,,,,
97,5/24/2025 5:00,10.36,57.99,,,,
98,5/24/2025 5:05,10.36,57.99,,,,
99,5/24/2025 5:10,10.36,57.99,,,,
100,5/24/2025 5:15,10.36,57.99,,,,
101,5/24/2025 5:20,10.35,57.99,,,,
102,5/24/2025 5:25,10.32,57.99,,,,
103,5/24/2025 5:30,10.31,57.99,,,,
104,5/24/2025 5:35,10.27,57.99,,,,
105,5/24/2025 5:40,10.24,57.99,,,,
106,5/24/2025 5:45,10.2,57.99,,,,
107,5/24/2025 5:50,10.19,57.99,,,,
108,5/24/2025 5:55,10.17,57.99,,,,
109,5/24/2025 6:00,10.17,57.99,,,,
110,5/24/2025 6:05,10.16,57.99,,,,
111,5/24/2025 6:10,10.16,57.99,,,,
112,5/24/2025 6:15,10.15,57.99,,,,
113,5/24/2025 6:20,10.13,57.99,,,,
114,5/24/2025 6:25,10.12,57.99,,,,
115,5/24/2025 6:30,10.12,57.99,,,,
116,5/24/2025 6:35,10.16,57.99,,,,
117,5/24/2025 6:40,10.17,57.99,,,,
118,5/24/2025 6:45,10.19,57.99,,,,
119,5/24/2025 6:50,10.2,58.03,,,,
120,5/24/2025 6:55,10.21,58.03,,,,
121,5/24/2025 7:00,10.23,58.03,,,,
122,5/24/2025 7:05,10.21,58.06,,,,
123,5/24/2025 7:10,10.2,58.06,,,,
124,5/24/2025 7:15,10.19,58.06,,,,
125,5/24/2025 7:20,10.17,58.06,,,,
126,5/24/2025 7:25,10.17,58.1,,,,
127,5/24/2025 7:30,10.16,58.1,,,,
128,5/24/2025 7:35,10.13,58.1,,,,
129,5/24/2025 7:40,10.12,58.1,,,,
130,5/24/2025 7:45,10.15,58.1,,,,
131,5/24/2025 7:50,10.14,58.1,,,,
132,5/24/2025 7:55,10.14,58.1,,,,
133,5/24/2025 8:00,10.13,58.1,,,,
134,5/24/2025 8:05,10.13,58.1,,,,
135,5/24/2025 8:10,10.12,58.1,,,,
136,5/24/2025 8:15,10.14,58.1,,,,
137,5/24/2025 8:20,10.11,58.1,,,,
138,5/24/2025 8:25,10.1,58.1,,,,
139,5/24/2025 8:30,10.1,58.1,,,,
140,5/24/2025 8:35,10.09,58.14,,,,
141,5/24/2025 8:40,10.08,58.1,,,,
142,5/24/2025 8:45,10.08,58.14,,,,
143,5/24/2025 8:50,10.08,58.14,,,,
144,5/24/2025 8:55,10.06,58.14,,,,
145,5/24/2025 9:00,10.05,58.14,,,,
146,5/24/2025 9:05,10.05,58.1,,,,
147,5/24/2025 9:10,10.04,58.1,,,,
148,5/24/2025 9:15,10.04,58.1,,,,
149,5/24/2025 9:20,10.06,58.1,,,,
150,5/24/2025 9:25,10.04,58.1,,,,
151,5/24/2025 9:30,10.04,58.1,,,,
152,5/24/2025 9:35,10.02,58.1,,,,
153,5/24/2025 9:40,10.04,58.06,,,,
154,5/24/2025 9:45,10.03,58.06,,,,
155,5/24/2025 9:50,10.04,58.03,,,,
156,5/24/2025 9:55,10.03,58.03,,,,
157,5/24/2025 10:00,10.03,58.03,,,,
158,5/24/2025 10:05,10.02,57.99,,,,
159,5/24/2025 10:10,10.01,57.99,,,,
160,5/24/2025 10:15,10.02,57.99,,,,
161,5/24/2025 10:20,10.01,57.96,,,,
162,5/24/2025 10:25,10.03,57.96,,,,
163,5/24/2025 10:30,10.03,57.96,,,,
164,5/24/2025 10:35,10.03,57.96,,,,
165,5/24/2025 10:40,10.05,57.96,,,,
166,5/24/2025 10:45,10.06,57.92,,,,
167,5/24/2025 10:50,10.05,57.92,,,,
168,5/24/2025 10:55,10.04,57.88,,,,
169,5/24/2025 11:00,9.99,57.85,,,,
170,5/24/2025 11:05,9.98,57.81,,,,
171,5/24/2025 11:10,9.94,57.81,,,,
172,5/24/2025 11:15,9.97,57.81,,,,
173,5/24/2025 11:20,9.97,57.78,,,,
174,5/24/2025 11:25,9.98,57.78,,,,
175,5/24/2025 11:30,9.99,57.78,,,,
176,5/24/2025 11:35,9.98,57.74,,,,
177,5/24/2025 11:40,9.99,57.74,,,,
178,5/24/2025 11:45,9.99,57.74,,,,
179,5/24/2025 11:50,9.98,57.7,,,,
180,5/24/2025 11:55,9.99,57.7,,,,
181,5/24/2025 12:00,10.02,57.7,,,,
182,5/24/2025 12:05,10.03,57.7,,,,
183,5/24/2025 12:10,10.03,57.7,,,,
184,5/24/2025 12:15,10.04,57.7,,,,
185,5/24/2025 12:20,10.03,57.7,,,,
186,5/24/2025 12:25,10.02,57.7,,,,
187,5/24/2025 12:30,10.03,57.7,,,,
188,5/24/2025 12:35,10.02,57.7,,,,
189,5/24/2025 12:40,10.02,57.7,,,,
190,5/24/2025 12:45,10.02,57.7,,,,
191,5/24/2025 12:50,10.01,57.7,,,,
192,5/24/2025 12:55,10.02,57.7,,,,
193,5/24/2025 13:00,10.01,57.7,,,,
194,5/24/2025 13:05,9.98,57.7,,,,
195,5/24/2025 13:10,9.98,57.7,,,,
196,5/24/2025 13:15,9.96,57.67,,,,
197,5/24/2025 13:20,9.97,57.7,,,,
198,5/24/2025 13:25,9.96,57.7,,,,
199,5/24/2025 13:30,9.98,57.7,,,,
200,5/24/2025 13:35,9.96,57.7,,,,
201,5/24/2025 13:40,9.94,57.7,,,,
202,5/24/2025 13:45,9.94,57.7,,,,
203,5/24/2025 13:50,9.95,57.7,,,,
204,5/24/2025 13:55,9.95,57.7,,,,
205,5/24/2025 14:00,9.96,57.7,,,,
206,5/24/2025 14:05,9.97,57.74,,,,
207,5/24/2025 14:10,9.99,57.74,,,,
208,5/24/2025 14:15,9.99,57.74,,,,
209,5/24/2025 14:20,9.99,57.74,,,,
210,5/24/2025 14:25,10,57.78,,,,
211,5/24/2025 14:30,9.99,57.78,,,,
212,5/24/2025 14:35,10,57.78,,,,
213,5/24/2025 14:40,9.98,57.78,,,,
214,5/24/2025 14:45,9.96,57.78,,,,
215,5/24/2025 14:50,9.96,57.78,,,,
216,5/24/2025 14:55,9.95,57.78,,,,
217,5/24/2025 15:00,9.95,57.78,,,,
218,5/24/2025 15:05,9.94,57.78,,,,
219,5/24/2025 15:10,9.94,57.78,,,,
220,5/24/2025 15:15,9.94,57.78,,,,
221,5/24/2025 15:20,9.94,57.78,,,,
222,5/24/2025 15:25,9.95,57.78,,,,
223,5/24/2025 15:30,9.95,57.78,,,,
224,5/24/2025 15:35,9.96,57.78,,,,
225,5/24/2025 15:40,9.99,57.81,,,,
226,5/24/2025 15:45,9.99,57.81,,,,
227,5/24/2025 15:50,9.97,57.81,,,,
228,5/24/2025 15:55,9.95,57.81,,,,
229,5/24/2025 16:00,9.93,57.85,,,,
230,5/24/2025 16:05,9.92,57.85,,,,
231,5/24/2025 16:10,9.93,57.85,,,,
232,5/24/2025 16:15,9.9,57.85,,,,
233,5/24/2025 16:20,9.93,57.85,,,,
234,5/24/2025 16:25,9.92,57.85,,,,
235,5/24/2025 16:30,9.91,57.85,,,,
236,5/24/2025 16:35,9.91,57.88,,,,
237,5/24/2025 16:40,9.92,57.88,,,,
238,5/24/2025 16:45,9.92,57.88,,,,
239,5/24/2025 16:50,9.93,57.92,,,,
240,5/24/2025 16:55,9.92,57.92,,,,
241,5/24/2025 17:00,9.89,57.92,,,,
242,5/24/2025 17:05,9.9,57.92,,,,
243,5/24/2025 17:10,9.9,57.96,,,,
244,5/24/2025 17:15,9.87,57.96,,,,
245,5/24/2025 17:20,9.85,57.92,,,,
246,5/24/2025 17:25,9.87,57.92,,,,
247,5/24/2025 17:30,9.89,57.92,,,,
248,5/24/2025 17:35,9.91,57.96,,,,
249,5/24/2025 17:40,9.91,57.99,,,,
250,5/24/2025 17:45,9.93,57.99,,,,
251,5/24/2025 17:50,9.94,57.99,,,,
252,5/24/2025 17:55,9.96,57.99,,,,
253,5/24/2025 18:00,9.95,58.03,,,,
254,5/24/2025 18:05,9.94,58.03,,,,
255,5/24/2025 18:10,9.94,58.03,,,,
256,5/24/2025 18:15,9.93,58.03,,,,
257,5/24/2025 18:20,9.94,58.06,,,,
258,5/24/2025 18:25,9.96,58.1,,,,
259,5/24/2025 18:30,9.96,58.1,,,,
260,5/24/2025 18:35,9.99,58.14,,,,
261,5/24/2025 18:40,9.99,58.17,,,,
262,5/24/2025 18:45,10,58.21,,,,
263,5/24/2025 18:50,10.02,58.21,,,,
264,5/24/2025 18:55,10.01,58.21,,,,
265,5/24/2025 19:00,10,58.21,,,,
266,5/24/2025 19:05,10,58.21,,,,
267,5/24/2025 19:10,9.99,58.24,,,,
268,5/24/2025 19:15,9.97,58.24,,,,
269,5/24/2025 19:20,9.98,58.24,,,,
270,5/24/2025 19:25,9.97,58.24,,,,
271,5/24/2025 19:30,9.94,58.24,,,,
272,5/24/2025 19:35,9.94,58.24,,,,
273,5/24/2025 19:40,9.93,58.28,,,,
274,5/24/2025 19:45,9.93,58.28,,,,
275,5/24/2025 19:50,9.93,58.28,,,,
