#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Button Down,Started,Button Up,Host Connected,Stopped,End of File
1,05/23/2025 13:57:18,,,Logged,,,,,
2,05/23/2025 20:00:00,14.41,0.00,,Logged,,,,
3,05/23/2025 20:05:00,14.24,0.00,,,,,,
4,05/23/2025 20:10:00,14.33,0.00,,,,,,
5,05/23/2025 20:15:00,14.33,0.41,,,,,,
6,05/23/2025 20:20:00,14.37,0.00,,,,,,
7,05/23/2025 20:25:00,14.37,0.00,,,,,,
8,05/23/2025 20:30:00,14.37,0.00,,,,,,
9,05/23/2025 20:35:00,14.37,0.00,,,,,,
10,05/23/2025 20:40:00,14.33,0.00,,,,,,
11,05/23/2025 20:45:00,14.28,0.00,,,,,,
12,05/23/2025 20:50:00,14.28,0.00,,,,,,
13,05/23/2025 20:55:00,14.37,0.00,,,,,,
14,05/23/2025 21:00:00,14.33,0.00,,,,,,
15,05/23/2025 21:05:00,14.33,0.00,,,,,,
16,05/23/2025 21:10:00,14.33,0.00,,,,,,
17,05/23/2025 21:15:00,14.33,0.00,,,,,,
18,05/23/2025 21:20:00,14.33,0.00,,,,,,
19,05/23/2025 21:25:00,14.20,0.00,,,,,,
20,05/23/2025 21:30:00,14.15,0.00,,,,,,
21,05/23/2025 21:35:00,14.15,0.00,,,,,,
22,05/23/2025 21:40:00,14.20,0.00,,,,,,
23,05/23/2025 21:45:00,14.15,0.00,,,,,,
24,05/23/2025 21:50:00,14.15,0.00,,,,,,
25,05/23/2025 21:55:00,14.07,0.00,,,,,,
26,05/23/2025 22:00:00,14.11,0.00,,,,,,
27,05/23/2025 22:05:00,14.11,0.00,,,,,,
28,05/23/2025 22:10:00,14.15,0.00,,,,,,
29,05/23/2025 22:15:00,14.15,0.00,,,,,,
30,05/23/2025 22:20:00,14.24,0.00,,,,,,
31,05/23/2025 22:25:00,14.20,0.00,,,,,,
32,05/23/2025 22:30:00,14.24,0.00,,,,,,
33,05/23/2025 22:35:00,14.24,0.00,,,,,,
34,05/23/2025 22:40:00,14.20,0.00,,,,,,
35,05/23/2025 22:45:00,14.20,0.00,,,,,,
36,05/23/2025 22:50:00,14.20,0.00,,,,,,
37,05/23/2025 22:55:00,14.11,0.00,,,,,,
38,05/23/2025 23:00:00,14.15,0.00,,,,,,
39,05/23/2025 23:05:00,14.15,0.00,,,,,,
40,05/23/2025 23:10:00,14.11,0.00,,,,,,
41,05/23/2025 23:15:00,14.11,0.00,,,,,,
42,05/23/2025 23:20:00,14.11,0.00,,,,,,
43,05/23/2025 23:25:00,14.07,0.00,,,,,,
44,05/23/2025 23:30:00,14.11,0.00,,,,,,
45,05/23/2025 23:35:00,14.11,0.00,,,,,,
46,05/23/2025 23:40:00,14.03,0.00,,,,,,
47,05/23/2025 23:45:00,14.07,0.00,,,,,,
48,05/23/2025 23:50:00,14.07,0.00,,,,,,
49,05/23/2025 23:55:00,14.11,0.20,,,,,,
50,05/24/2025 00:00:00,14.07,0.00,,,,,,
51,05/24/2025 00:05:00,14.07,0.00,,,,,,
52,05/24/2025 00:10:00,14.07,0.00,,,,,,
53,05/24/2025 00:15:00,14.07,0.00,,,,,,
54,05/24/2025 00:20:00,14.03,0.00,,,,,,
