#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,05/23/2025 20:00:00,14.71,4154.88,Logged,,,,,
2,05/23/2025 20:05:00,14.84,6159.36,,,,,,
3,05/23/2025 20:10:00,14.93,7782.40,,,,,,
4,05/23/2025 20:15:00,14.84,2359.68,,,,,,
5,05/23/2025 20:20:00,14.80,3169.28,,,,,,
6,05/23/2025 20:25:00,14.84,2704.64,,,,,,
7,05/23/2025 20:30:00,14.80,2768.64,,,,,,
8,05/23/2025 20:35:00,14.75,1528.32,,,,,,
9,05/23/2025 20:40:00,14.84,1317.76,,,,,,
10,05/23/2025 20:45:00,14.84,2054.40,,,,,,
11,05/23/2025 20:50:00,14.84,1620.48,,,,,,
12,05/23/2025 20:55:00,14.93,2300.80,,,,,,
13,05/23/2025 21:00:00,14.93,837.12,,,,,,
14,05/23/2025 21:05:00,15.01,2259.84,,,,,,
15,05/23/2025 21:10:00,15.06,1904.64,,,,,,
16,05/23/2025 21:15:00,15.01,1878.40,,,,,,
17,05/23/2025 21:20:00,15.01,2057.60,,,,,,
18,05/23/2025 21:25:00,15.06,2200.32,,,,,,
19,05/23/2025 21:30:00,15.01,1583.36,,,,,,
20,05/23/2025 21:35:00,14.97,2451.84,,,,,,
21,05/23/2025 21:40:00,14.93,860.16,,,,,,
22,05/23/2025 21:45:00,14.93,881.28,,,,,,
23,05/23/2025 21:50:00,14.88,687.36,,,,,,
24,05/23/2025 21:55:00,14.80,543.52,,,,,,
25,05/23/2025 22:00:00,14.75,537.76,,,,,,
26,05/23/2025 22:05:00,14.75,603.20,,,,,,
27,05/23/2025 22:10:00,14.75,589.12,,,,,,
28,05/23/2025 22:15:00,14.75,638.40,,,,,,
29,05/23/2025 22:20:00,14.71,833.28,,,,,,
30,05/23/2025 22:25:00,14.71,574.40,,,,,,
31,05/23/2025 22:30:00,14.71,1059.84,,,,,,
32,05/23/2025 22:35:00,14.71,922.88,,,,,,
33,05/23/2025 22:40:00,14.67,640.16,,,,,,
34,05/23/2025 22:45:00,14.67,552.64,,,,,,
35,05/23/2025 22:50:00,14.58,459.36,,,,,,
36,05/23/2025 22:55:00,14.63,456.00,,,,,,
37,05/23/2025 23:00:00,14.58,323.36,,,,,,
38,05/23/2025 23:05:00,14.58,243.44,,,,,,
39,05/23/2025 23:10:00,14.58,211.20,,,,,,
40,05/23/2025 23:15:00,14.58,208.72,,,,,,
41,05/23/2025 23:20:00,14.58,235.84,,,,,,
42,05/23/2025 23:25:00,14.58,393.60,,,,,,
43,05/23/2025 23:30:00,14.58,354.72,,,,,,
44,05/23/2025 23:35:00,14.63,228.40,,,,,,
45,05/23/2025 23:40:00,14.58,157.56,,,,,,
46,05/23/2025 23:45:00,14.63,105.48,,,,,,
47,05/23/2025 23:50:00,14.58,57.26,,,,,,
48,05/23/2025 23:55:00,14.58,42.42,,,,,,
49,05/24/2025 00:00:00,14.58,28.40,,,,,,
50,05/24/2025 00:05:00,14.63,27.53,,,,,,
51,05/24/2025 00:10:00,14.58,15.81,,,,,,
52,05/24/2025 00:15:00,14.54,10.06,,,,,,
53,05/24/2025 00:20:00,14.63,4.93,,,,,,
54,05/24/2025 00:25:00,14.58,2.87,,,,,,
55,05/24/2025 00:30:00,14.58,0.61,,,,,,
56,05/24/2025 00:35:00,14.63,0.20,,,,,,
57,05/24/2025 00:40:00,14.58,0.00,,,,,,
58,05/24/2025 00:45:00,14.58,0.00,,,,,,
59,05/24/2025 00:50:00,14.58,0.00,,,,,,
60,05/24/2025 00:55:00,14.58,0.00,,,,,,
61,05/24/2025 01:00:00,14.63,0.00,,,,,,
62,05/24/2025 01:05:00,14.58,0.00,,,,,,
63,05/24/2025 01:10:00,14.58,0.00,,,,,,
64,05/24/2025 01:15:00,14.54,0.00,,,,,,
65,05/24/2025 01:20:00,14.54,0.00,,,,,,
66,05/24/2025 01:25:00,14.58,0.00,,,,,,
67,05/24/2025 01:30:00,14.54,0.00,,,,,,
68,05/24/2025 01:35:00,14.54,0.00,,,,,,
69,05/24/2025 01:40:00,14.58,0.00,,,,,,
70,05/24/2025 01:45:00,14.54,0.00,,,,,,
71,05/24/2025 01:50:00,14.50,0.00,,,,,,
72,05/24/2025 01:55:00,14.50,0.00,,,,,,
73,05/24/2025 02:00:00,14.58,0.00,,,,,,
74,05/24/2025 02:05:00,14.54,0.00,,,,,,
75,05/24/2025 02:10:00,14.50,0.00,,,,,,
76,05/24/2025 02:15:00,14.50,0.00,,,,,,
77,05/24/2025 02:20:00,14.54,0.00,,,,,,
78,05/24/2025 02:25:00,14.50,0.00,,,,,,
79,05/24/2025 02:30:00,14.54,0.00,,,,,,
80,05/24/2025 02:35:00,14.54,0.00,,,,,,
81,05/24/2025 02:40:00,14.54,0.00,,,,,,
82,05/24/2025 02:45:00,14.54,0.00,,,,,,
83,05/24/2025 02:50:00,14.50,0.00,,,,,,
84,05/24/2025 02:55:00,14.54,0.00,,,,,,
85,05/24/2025 03:00:00,14.45,0.00,,,,,,
86,05/24/2025 03:05:00,14.58,0.00,,,,,,
87,05/24/2025 03:10:00,14.45,0.00,,,,,,
88,05/24/2025 03:15:00,14.45,0.00,,,,,,
89,05/24/2025 03:20:00,14.45,0.00,,,,,,
90,05/24/2025 03:25:00,14.45,0.00,,,,,,
91,05/24/2025 03:30:00,14.41,0.00,,,,,,
92,05/24/2025 03:35:00,14.45,0.00,,,,,,
93,05/24/2025 03:40:00,14.41,0.00,,,,,,
94,05/24/2025 03:45:00,14.41,0.00,,,,,,
95,05/24/2025 03:50:00,14.37,0.00,,,,,,
96,05/24/2025 03:55:00,14.45,0.00,,,,,,
97,05/24/2025 04:00:00,14.45,0.00,,,,,,
98,05/24/2025 04:05:00,14.41,0.20,,,,,,
99,05/24/2025 04:10:00,14.45,0.00,,,,,,
100,05/24/2025 04:15:00,14.45,0.00,,,,,,
101,05/24/2025 04:20:00,14.45,0.00,,,,,,
102,05/24/2025 04:25:00,14.41,0.00,,,,,,
103,05/24/2025 04:30:00,14.41,0.00,,,,,,
104,05/24/2025 04:35:00,14.50,0.00,,,,,,
105,05/24/2025 04:40:00,14.41,0.00,,,,,,
