Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-05-22T22:00:00,2025-05-22T22:00:30,12.84,2,13.15,4,21.5
2025-05-23T04:00:00,2025-05-23T04:00:30,12.83,2,13.14,4,21.25
2025-05-23T10:00:00,2025-05-23T10:00:30,12.83,2,13.14,4,20
2025-05-23T16:00:00,2025-05-23T16:00:30,12.8,2,12.13,3539,14.5
2025-05-23T22:00:00,2025-05-23T22:00:30,12.8,2,12.15,3570,15.75
2025-05-24T04:00:00,2025-05-24T04:00:30,12.8,2,12.15,3554,14.75
2025-05-24T10:00:00,2025-05-24T10:00:30,12.79,2,12.15,3511,15.5
2025-05-24T16:00:00,2025-05-24T16:00:30,12.78,2,12.15,3515,14.75
2025-05-24T22:00:00,2025-05-24T22:00:30,12.78,2,12.15,3538,15.5
2025-05-25T04:00:00,2025-05-25T04:00:30,12.77,2,12.15,3473,14.75
2025-05-25T10:00:00,2025-05-25T10:00:30,12.76,2,12.14,3491,15.5
2025-05-25T16:00:00,2025-05-25T16:00:30,12.75,2,12.13,3497,14.75
2025-05-25T22:00:00,2025-05-25T22:00:30,12.75,2,12.13,3548,15.75
2025-05-26T04:00:00,2025-05-26T04:00:30,12.74,2,12.11,3490,14.75
2025-05-26T10:00:00,2025-05-26T10:00:30,12.73,2,12.12,3543,15.5
2025-05-26T16:00:00,2025-05-26T16:00:30,12.72,2,12.11,3559,14.75
2025-05-26T22:00:00,2025-05-26T22:00:30,12.71,2,12.11,3548,16.25
2025-05-27T04:00:00,2025-05-27T04:00:30,12.71,2,12.11,3526,15.75
2025-05-27T10:00:00,2025-05-27T10:00:30,12.69,2,12.1,3551,16.25
2025-05-27T16:00:00,2025-05-27T16:00:30,12.69,2,12.09,3549,15.5
2025-05-27T22:00:00,2025-05-27T22:00:30,12.68,2,12.09,3541,16.75
2025-05-28T04:00:00,2025-05-28T04:00:30,12.67,2,12.09,3529,15.75
2025-05-28T10:00:00,2025-05-28T10:00:30,12.66,2,12.07,3469,16.25
2025-05-28T16:00:00,2025-05-28T16:00:30,12.65,2,12.06,3538,15.75
2025-05-28T22:00:00,2025-05-28T22:00:30,12.64,2,12.06,3543,16.5
2025-05-29T04:00:00,2025-05-29T04:00:30,12.63,2,12.05,3536,15.5
2025-05-29T10:00:00,2025-05-29T10:00:30,12.62,2,12.04,3541,16
2025-05-29T16:00:00,2025-05-29T16:00:30,12.61,2,12.04,3505,15.75
2025-05-29T22:00:00,2025-05-29T22:00:30,12.6,2,12.03,3528,16
2025-05-30T04:00:00,2025-05-30T04:00:30,12.59,2,12.03,3498,16
2025-05-30T10:00:00,2025-05-30T10:00:30,12.58,2,12.02,3470,16.25
2025-05-30T16:00:00,2025-05-30T16:00:30,12.57,1,12.01,3544,16
2025-05-30T22:00:00,2025-05-30T22:00:30,12.56,2,12.01,3525,17
2025-05-31T04:00:00,2025-05-31T04:00:30,12.55,2,12.01,3505,16.5
2025-05-31T10:00:00,2025-05-31T10:00:30,12.54,2,12,3520,17
2025-05-31T16:00:00,2025-05-31T16:00:30,12.53,1,11.99,3469,16
2025-05-31T22:00:00,2025-05-31T22:00:30,12.52,1,11.98,3450,16.25
2025-06-01T04:00:00,2025-06-01T04:00:30,12.51,1,11.97,3515,15.75
2025-06-01T10:00:00,2025-06-01T10:00:30,12.5,1,11.96,3451,16
2025-06-01T16:00:00,2025-06-01T16:00:30,12.49,1,11.95,3480,15.5
2025-06-01T22:00:00,2025-06-01T22:00:30,12.48,1,11.94,3483,15.75
2025-06-02T04:00:00,2025-06-02T04:00:30,12.47,1,11.94,3514,15.75
2025-06-02T10:00:00,2025-06-02T10:00:30,12.46,1,11.93,3482,15.75
2025-06-02T16:00:00,2025-06-02T16:00:30,12.45,1,11.93,3475,15.75
2025-06-02T22:00:00,2025-06-02T22:00:30,12.45,1,11.92,3507,16.5
2025-06-03T04:00:00,2025-06-03T04:00:30,12.44,1,11.91,3512,16.25
2025-06-03T10:00:00,2025-06-03T10:00:30,12.43,1,11.9,3454,16.5
2025-06-03T16:00:00,2025-06-03T16:00:30,12.42,1,11.9,3480,16
2025-06-03T22:00:00,2025-06-03T22:00:30,12.41,1,11.89,3429,16.75
2025-06-04T04:00:00,2025-06-04T04:00:30,12.4,1,11.91,3512,17.5
2025-06-04T10:00:00,2025-06-04T10:00:30,12.39,1,11.89,3442,17.25
2025-06-04T16:00:00,2025-06-04T16:00:30,12.38,1,11.88,3425,16.75
2025-06-04T22:00:00,2025-06-04T22:00:30,12.37,1,11.88,3457,18.25
2025-06-05T04:00:00,2025-06-05T04:00:30,12.37,1,11.87,3498,17.75
2025-06-05T10:00:00,2025-06-05T10:00:30,12.35,1,11.86,3416,17.5
2025-06-05T16:00:00,2025-06-05T16:00:30,12.36,1,12.67,2,24
2025-06-05T22:00:00,2025-06-05T22:00:30,12.36,1,12.67,2,22.75
2025-06-06T04:00:00,2025-06-06T04:00:30,12.35,1,12.66,2,21.5
2025-06-06T10:00:00,2025-06-06T10:00:30,12.35,1,12.66,2,21.5
2025-06-06T16:00:00,2025-06-06T16:00:30,12.35,1,12.66,2,22
Logging halted by user,,,,,,
