Plot Title: 20819384,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819384, SEN S/N: 20819384)","Temp, °F (LGR S/N: 20819384, SEN S/N: 20819384)",Coupler Attached (LGR S/N: 20819384),Host Connected (LGR S/N: 20819384),Stopped (LGR S/N: 20819384),End Of File (LGR S/N: 20819384)
1,5/23/2025 21:00,10.42,58.64,,,,
2,5/23/2025 21:05,10.44,58.68,,,,
3,5/23/2025 21:10,10.44,58.75,,,,
4,5/23/2025 21:15,10.45,58.78,,,,
5,5/23/2025 21:20,10.46,58.78,,,,
6,5/23/2025 21:25,10.46,58.78,,,,
7,5/23/2025 21:30,10.46,58.78,,,,
8,5/23/2025 21:35,10.46,58.78,,,,
9,5/23/2025 21:40,10.45,58.78,,,,
10,5/23/2025 21:45,10.47,58.78,,,,
11,5/23/2025 21:50,10.42,58.75,,,,
12,5/23/2025 21:55,10.41,58.64,,,,
13,5/23/2025 22:00,10.41,58.57,,,,
14,5/23/2025 22:05,10.42,58.57,,,,
15,5/23/2025 22:10,10.42,58.53,,,,
16,5/23/2025 22:15,10.43,58.53,,,,
17,5/23/2025 22:20,10.42,58.53,,,,
18,5/23/2025 22:25,10.42,58.53,,,,
19,5/23/2025 22:30,10.41,58.46,,,,
20,5/23/2025 22:35,10.44,58.42,,,,
21,5/23/2025 22:40,10.43,58.35,,,,
22,5/23/2025 22:45,10.42,58.35,,,,
23,5/23/2025 22:50,10.42,58.32,,,,
24,5/23/2025 22:55,10.42,58.32,,,,
25,5/23/2025 23:00,10.44,58.28,,,,
26,5/23/2025 23:05,10.45,58.28,,,,
27,5/23/2025 23:10,10.44,58.28,,,,
28,5/23/2025 23:15,10.44,58.28,,,,
29,5/23/2025 23:20,10.43,58.28,,,,
30,5/23/2025 23:25,10.41,58.28,,,,
31,5/23/2025 23:30,10.41,58.32,,,,
32,5/23/2025 23:35,10.41,58.32,,,,
33,5/23/2025 23:40,10.43,58.32,,,,
34,5/23/2025 23:45,10.41,58.32,,,,
35,5/23/2025 23:50,10.41,58.32,,,,
36,5/23/2025 23:55,10.41,58.32,,,,
37,5/24/2025 0:00,10.4,58.35,,,,
38,5/24/2025 0:05,10.4,58.35,,,,
39,5/24/2025 0:10,10.39,58.35,,,,
40,5/24/2025 0:15,10.39,58.35,,,,
41,5/24/2025 0:20,10.38,58.35,,,,
42,5/24/2025 0:25,10.38,58.35,,,,
43,5/24/2025 0:30,10.36,58.35,,,,
