Plot Title: 22224701,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224701, SEN S/N: 22224701)","Temp, °F (LGR S/N: 22224701, SEN S/N: 22224701)",Coupler Attached (LGR S/N: 22224701),Host Connected (LGR S/N: 22224701),Stopped (LGR S/N: 22224701),End Of File (LGR S/N: 22224701)
1,4/24/2025 22:00,14.3,51.37,,,,
2,4/24/2025 22:05,14.12,51.51,,,,
3,4/24/2025 22:10,14.04,51.15,,,,
4,4/24/2025 22:15,13.45,50.94,,,,
5,4/24/2025 22:20,13.59,50.9,,,,
6,4/24/2025 22:25,13.61,51.12,,,,
7,4/24/2025 22:30,13.47,51.01,,,,
8,4/24/2025 22:35,13.41,51.01,,,,
9,4/24/2025 22:40,13.53,50.97,,,,
10,4/24/2025 22:45,13.57,51.15,,,,
11,4/24/2025 22:50,13.72,51.3,,,,
12,4/24/2025 22:55,13.61,51.3,,,,
13,4/24/2025 23:00,13.5,51.22,,,,
14,4/24/2025 23:05,13.88,51.44,,,,
15,4/24/2025 23:10,13.77,51.55,,,,
16,4/24/2025 23:15,13.56,51.48,,,,
17,4/24/2025 23:20,13.59,51.37,,,,
18,4/24/2025 23:25,13.51,51.37,,,,
19,4/24/2025 23:30,13.47,51.22,,,,
20,4/24/2025 23:35,13.52,51.22,,,,
21,4/24/2025 23:40,13.84,51.48,,,,
22,4/24/2025 23:45,14.03,51.8,,,,
23,4/24/2025 23:50,13.97,51.94,,,,
24,4/24/2025 23:55,14.01,52.02,,,,
25,4/25/2025 0:00,14.06,52.09,,,,
26,4/25/2025 0:05,14.02,52.16,,,,
27,4/25/2025 0:10,14.01,52.2,,,,
28,4/25/2025 0:15,14.07,52.2,,,,
29,4/25/2025 0:20,14.12,52.23,,,,
30,4/25/2025 0:25,14.08,52.3,,,,
31,4/25/2025 0:30,14.13,52.38,,,,
32,4/25/2025 0:35,14.12,52.45,,,,
33,4/25/2025 0:40,14.13,52.48,,,,
34,4/25/2025 0:45,14.12,52.56,,,,
35,4/25/2025 0:50,14.1,52.56,,,,
36,4/25/2025 0:55,14.07,52.56,,,,
37,4/25/2025 1:00,14.03,52.52,,,,
38,4/25/2025 1:05,14.04,52.52,,,,
39,4/25/2025 1:10,14.01,52.56,,,,
40,4/25/2025 1:15,14,52.56,,,,
41,4/25/2025 1:20,13.97,52.52,,,,
42,4/25/2025 1:25,13.96,52.52,,,,
43,4/25/2025 1:30,13.96,52.52,,,,
