Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-06-17T22:00:00,2025-06-17T22:00:30,12.95,3.00,13.26,4.00,20.50
2025-06-18T04:00:00,2025-06-18T04:00:30,12.95,3.00,13.26,4.00,21.00
2025-06-18T10:00:00,2025-06-18T10:00:30,12.94,3.00,13.25,4.00,20.50
2025-06-18T16:00:00,2025-06-18T16:00:30,12.94,3.00,12.25,3601.00,20.00
2025-06-18T22:00:00,2025-06-18T22:00:30,12.93,3.00,12.22,3604.00,18.00
2025-06-19T04:00:00,2025-06-19T04:00:30,12.92,3.00,12.22,3545.00,17.75
2025-06-19T10:00:00,2025-06-19T10:00:30,12.91,3.00,12.22,3548.00,18.00
2025-06-19T16:00:00,2025-06-19T16:00:30,12.90,3.00,12.23,3536.00,18.50
2025-06-19T22:00:00,2025-06-19T22:00:30,12.89,3.00,12.21,3527.00,18.00
2025-06-20T04:00:00,2025-06-20T04:00:30,12.89,3.00,12.23,3552.00,19.25
2025-06-20T10:00:00,2025-06-20T10:00:30,12.87,3.00,12.21,3557.00,19.00
2025-06-20T16:00:00,2025-06-20T16:00:30,12.86,3.00,12.20,3545.00,18.50
2025-06-20T22:00:00,2025-06-20T22:00:30,12.85,3.00,12.19,3540.00,18.75
2025-06-21T04:00:00,2025-06-21T04:00:30,12.84,3.00,12.19,3526.00,19.00
2025-06-21T10:00:00,2025-06-21T10:00:30,12.83,3.00,12.19,3566.00,19.00
2025-06-21T16:00:00,2025-06-21T16:00:30,12.82,2.00,12.18,3512.00,18.75
2025-06-21T22:00:00,2025-06-21T22:00:30,12.81,3.00,12.16,3522.00,18.75
2025-06-22T04:00:00,2025-06-22T04:00:30,12.80,2.00,12.16,3513.00,18.75
2025-06-22T10:00:00,2025-06-22T10:00:30,12.79,2.00,12.16,3507.00,19.25
2025-06-22T16:00:00,2025-06-22T16:00:30,12.77,2.00,12.15,3473.00,19.00
2025-06-22T22:00:00,2025-06-22T22:00:30,12.77,2.00,12.14,3495.00,19.50
2025-06-23T04:00:00,2025-06-23T04:00:30,12.75,2.00,12.13,3478.00,18.75
2025-06-23T10:00:00,2025-06-23T10:00:30,12.74,2.00,12.13,3544.00,19.50
2025-06-23T16:00:00,2025-06-23T16:00:30,12.73,2.00,12.11,3555.00,19.00
2025-06-23T22:00:00,2025-06-23T22:00:30,12.72,2.00,12.10,3486.00,19.25
2025-06-24T04:00:00,2025-06-24T04:00:30,12.71,2.00,12.09,3510.00,19.00
2025-06-24T10:00:00,2025-06-24T10:00:30,12.70,2.00,12.09,3534.00,19.75
2025-06-24T16:00:00,2025-06-24T16:00:30,12.69,2.00,12.08,3548.00,19.00
2025-06-24T22:00:00,2025-06-24T22:00:30,12.68,2.00,12.07,3529.00,19.50
2025-06-25T04:00:00,2025-06-25T04:00:30,12.66,2.00,12.05,3507.00,18.25
2025-06-25T10:00:00,2025-06-25T10:00:30,12.65,2.00,12.05,3507.00,19.00
2025-06-25T16:00:00,2025-06-25T16:00:30,12.64,2.00,12.04,3489.00,19.00
2025-06-25T22:00:00,2025-06-25T22:00:30,12.63,2.00,12.02,3515.00,18.50
2025-06-26T04:00:00,2025-06-26T04:00:30,12.62,2.00,12.02,3525.00,18.50
2025-06-26T10:00:00,2025-06-26T10:00:30,12.61,2.00,12.01,3512.00,19.00
2025-06-26T16:00:00,2025-06-26T16:00:30,12.60,2.00,12.02,3485.00,19.75
2025-06-26T22:00:00,2025-06-26T22:00:30,12.59,2.00,12.00,3508.00,19.50
2025-06-27T04:00:00,2025-06-27T04:00:30,12.57,2.00,11.99,3477.00,19.00
2025-06-27T10:00:00,2025-06-27T10:00:30,12.56,1.00,11.98,3456.00,19.50
2025-06-27T16:00:00,2025-06-27T16:00:30,12.55,2.00,11.97,3479.00,19.00
2025-06-27T22:00:00,2025-06-27T22:00:30,12.54,1.00,11.95,3449.00,19.25
2025-06-28T04:00:00,2025-06-28T04:00:30,12.53,1.00,11.95,3460.00,19.00
2025-06-28T10:00:00,2025-06-28T10:00:30,12.51,2.00,11.94,3453.00,19.25
2025-06-28T16:00:00,2025-06-28T16:00:30,12.51,1.00,11.93,3449.00,19.00
2025-06-28T22:00:00,2025-06-28T22:00:30,12.49,1.00,11.92,3437.00,19.50
2025-06-29T04:00:00,2025-06-29T04:00:30,12.48,1.00,11.91,3404.00,19.25
2025-06-29T10:00:00,2025-06-29T10:00:30,12.47,1.00,11.90,3413.00,20.00
2025-06-29T16:00:00,2025-06-29T16:00:30,12.46,1.00,11.89,3450.00,19.50
2025-06-29T22:00:00,2025-06-29T22:00:30,12.45,1.00,11.89,3424.00,20.00
2025-06-30T04:00:00,2025-06-30T04:00:30,12.44,1.00,11.88,3425.00,19.75
2025-06-30T10:00:00,2025-06-30T10:00:30,12.43,1.00,11.87,3413.00,20.00
2025-06-30T16:00:00,2025-06-30T16:00:30,12.42,1.00,11.87,3388.00,19.75
2025-06-30T22:00:00,2025-06-30T22:00:30,12.41,1.00,11.85,3410.00,20.00
2025-07-01T04:00:00,2025-07-01T04:00:30,12.40,1.00,11.85,3398.00,19.75
2025-07-01T10:00:00,2025-07-01T10:00:30,12.39,1.00,11.84,3397.00,20.25
2025-07-01T16:00:00,2025-07-01T16:00:30,12.39,1.00,11.83,3395.00,19.75
2025-07-01T22:00:00,2025-07-01T22:00:30,12.38,1.00,11.83,3333.00,20.75
2025-07-02T04:00:00,2025-07-02T04:00:30,12.37,1.00,11.82,3382.00,20.25
2025-07-02T10:00:00,2025-07-02T10:00:30,12.36,1.00,11.81,3372.00,20.50
2025-07-02T16:00:00,2025-07-02T16:00:30,12.36,1.00,12.67,2.00,24.00
2025-07-02T22:00:00,2025-07-02T22:00:30,12.37,1.00,12.69,2.00,26.25
2025-07-03T04:00:00,2025-07-03T04:00:30,12.35,1.00,12.66,2.00,21.75
2025-07-03T10:00:00,2025-07-03T10:00:30,12.35,1.00,12.66,2.00,21.50
Logging halted by user
