Plot Title: 22224706,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224706, SEN S/N: 22224706)","Temp, °F (LGR S/N: 22224706, SEN S/N: 22224706)",Coupler Attached (LGR S/N: 22224706),Host Connected (LGR S/N: 22224706),Stopped (LGR S/N: 22224706),End Of File (LGR S/N: 22224706)
1,5/23/2025 21:00,10.1,57.85,,,,
2,5/23/2025 21:05,10.18,57.88,,,,
3,5/23/2025 21:10,10.19,57.92,,,,
4,5/23/2025 21:15,10.3,57.96,,,,
5,5/23/2025 21:20,10.25,57.96,,,,
6,5/23/2025 21:25,10.2,57.96,,,,
7,5/23/2025 21:30,10.19,57.92,,,,
8,5/23/2025 21:35,10.15,57.88,,,,
9,5/23/2025 21:40,10.06,57.85,,,,
10,5/23/2025 21:45,9.95,57.81,,,,
11,5/23/2025 21:50,9.54,57.7,,,,
12,5/23/2025 21:55,9.51,57.6,,,,
13,5/23/2025 22:00,9.55,57.56,,,,
14,5/23/2025 22:05,9.6,57.6,,,,
15,5/23/2025 22:10,9.69,57.63,,,,
16,5/23/2025 22:15,9.67,57.63,,,,
17,5/23/2025 22:20,9.71,57.63,,,,
18,5/23/2025 22:25,9.93,57.67,,,,
19,5/23/2025 22:30,10.12,57.67,,,,
20,5/23/2025 22:35,10.21,57.7,,,,
21,5/23/2025 22:40,10.22,57.74,,,,
22,5/23/2025 22:45,10.27,57.74,,,,
23,5/23/2025 22:50,10.29,57.74,,,,
24,5/23/2025 22:55,10.33,57.74,,,,
25,5/23/2025 23:00,10.36,57.78,,,,
26,5/23/2025 23:05,10.35,57.74,,,,
27,5/23/2025 23:10,10.35,57.74,,,,
28,5/23/2025 23:15,10.35,57.74,,,,
29,5/23/2025 23:20,10.32,57.7,,,,
30,5/23/2025 23:25,10.28,57.63,,,,
31,5/23/2025 23:30,10.11,57.56,,,,
32,5/23/2025 23:35,10.02,57.45,,,,
33,5/23/2025 23:40,9.97,57.38,,,,
34,5/23/2025 23:45,9.92,57.34,,,,
35,5/23/2025 23:50,9.92,57.31,,,,
36,5/23/2025 23:55,9.9,57.27,,,,
37,5/24/2025 0:00,9.87,57.24,,,,
38,5/24/2025 0:05,9.84,57.24,,,,
39,5/24/2025 0:10,9.84,57.24,,,,
40,5/24/2025 0:15,9.83,57.2,,,,
41,5/24/2025 0:20,9.84,57.2,,,,
42,5/24/2025 0:25,9.81,57.2,,,,
43,5/24/2025 0:30,9.8,57.16,,,,
44,5/24/2025 0:35,9.8,57.16,,,,
45,5/24/2025 0:40,9.77,57.16,,,,
46,5/24/2025 0:45,9.75,57.16,,,,
47,5/24/2025 0:50,9.73,57.13,,,,
48,5/24/2025 0:55,9.73,57.13,,,,
49,5/24/2025 1:00,9.74,57.13,,,,
50,5/24/2025 1:05,9.73,57.13,,,,
51,5/24/2025 1:10,9.72,57.13,,,,
52,5/24/2025 1:15,9.7,57.13,,,,
53,5/24/2025 1:20,9.72,57.09,,,,
54,5/24/2025 1:25,9.72,57.09,,,,
55,5/24/2025 1:30,9.72,57.09,,,,
56,5/24/2025 1:35,9.7,57.09,,,,
57,5/24/2025 1:40,9.7,57.09,,,,
58,5/24/2025 1:45,9.72,57.09,,,,
59,5/24/2025 1:50,9.73,57.13,,,,
60,5/24/2025 1:55,9.75,57.13,,,,
