Plot Title: 22224699,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224699, SEN S/N: 22224699)","Temp, °F (LGR S/N: 22224699, SEN S/N: 22224699)",Coupler Attached (LGR S/N: 22224699),Host Connected (LGR S/N: 22224699),Stopped (LGR S/N: 22224699),End Of File (LGR S/N: 22224699)
1,4/24/2025 22:00,14.64,52.74,,,,
2,4/24/2025 22:05,14.59,52.84,,,,
3,4/24/2025 22:10,14.52,52.66,,,,
4,4/24/2025 22:15,14.4,52.45,,,,
5,4/24/2025 22:20,14.43,52.38,,,,
6,4/24/2025 22:25,14.25,52.34,,,,
7,4/24/2025 22:30,14.33,52.27,,,,
8,4/24/2025 22:35,14.27,52.3,,,,
9,4/24/2025 22:40,14.36,52.3,,,,
10,4/24/2025 22:45,14.28,52.3,,,,
11,4/24/2025 22:50,14.3,52.3,,,,
12,4/24/2025 22:55,14.28,52.27,,,,
13,4/24/2025 23:00,14.29,52.27,,,,
14,4/24/2025 23:05,14.35,52.3,,,,
15,4/24/2025 23:10,14.3,52.34,,,,
16,4/24/2025 23:15,14.24,52.34,,,,
17,4/24/2025 23:20,14.23,52.34,,,,
18,4/24/2025 23:25,14.22,52.34,,,,
19,4/24/2025 23:30,14.18,52.34,,,,
20,4/24/2025 23:35,14.15,52.3,,,,
21,4/24/2025 23:40,14.22,52.34,,,,
22,4/24/2025 23:45,14.23,52.38,,,,
23,4/24/2025 23:50,14.24,52.38,,,,
24,4/24/2025 23:55,14.24,52.38,,,,
25,4/25/2025 0:00,14.25,52.38,,,,
26,4/25/2025 0:05,14.23,52.41,,,,
27,4/25/2025 0:10,14.23,52.41,,,,
28,4/25/2025 0:15,14.25,52.45,,,,
29,4/25/2025 0:20,14.24,52.45,,,,
30,4/25/2025 0:25,14.23,52.52,,,,
31,4/25/2025 0:30,14.25,52.59,,,,
32,4/25/2025 0:35,14.21,52.63,,,,
33,4/25/2025 0:40,14.19,52.66,,,,
34,4/25/2025 0:45,14.21,52.7,,,,
35,4/25/2025 0:50,14.2,52.74,,,,
36,4/25/2025 0:55,14.18,52.74,,,,
37,4/25/2025 1:00,14.18,52.74,,,,
38,4/25/2025 1:05,14.16,52.74,,,,
39,4/25/2025 1:10,14.14,52.74,,,,
40,4/25/2025 1:15,14.15,52.7,,,,
41,4/25/2025 1:20,14.12,52.7,,,,
42,4/25/2025 1:25,14.1,52.7,,,,
43,4/25/2025 1:30,14.1,52.66,,,,
44,4/25/2025 1:35,14.1,52.66,,,,
45,4/25/2025 1:40,14.09,52.63,,,,
46,4/25/2025 1:45,14.08,52.63,,,,
47,4/25/2025 1:50,14.06,52.63,,,,
48,4/25/2025 1:55,14.05,52.63,,,,
49,4/25/2025 2:00,14.04,52.63,,,,
50,4/25/2025 2:05,14.02,52.59,,,,
51,4/25/2025 2:10,14.01,52.56,,,,
52,4/25/2025 2:15,13.98,52.52,,,,
53,4/25/2025 2:20,13.96,52.45,,,,
54,4/25/2025 2:25,13.95,52.41,,,,
55,4/25/2025 2:30,13.98,52.45,,,,
56,4/25/2025 2:35,13.93,52.41,,,,
57,4/25/2025 2:40,13.94,52.34,,,,
58,4/25/2025 2:45,13.92,52.41,,,,
59,4/25/2025 2:50,13.89,52.41,,,,
60,4/25/2025 2:55,13.88,52.38,,,,
61,4/25/2025 3:00,13.88,52.34,,,,
62,4/25/2025 3:05,13.84,52.3,,,,
63,4/25/2025 3:10,13.85,52.23,,,,
64,4/25/2025 3:15,13.85,52.09,,,,
65,4/25/2025 3:20,13.81,52.09,,,,
66,4/25/2025 3:25,13.76,52.12,,,,
67,4/25/2025 3:30,13.73,52.12,,,,
68,4/25/2025 3:35,13.71,52.05,,,,
69,4/25/2025 3:40,13.7,51.98,,,,
70,4/25/2025 3:45,13.72,51.87,,,,
71,4/25/2025 3:50,13.72,51.76,,,,
72,4/25/2025 3:55,13.7,51.73,,,,
73,4/25/2025 4:00,13.69,51.66,,,,
74,4/25/2025 4:05,13.69,51.62,,,,
75,4/25/2025 4:10,13.71,51.58,,,,
76,4/25/2025 4:15,13.74,51.51,,,,
77,4/25/2025 4:20,13.74,51.48,,,,
78,4/25/2025 4:25,13.76,51.44,,,,
79,4/25/2025 4:30,13.82,51.4,,,,
80,4/25/2025 4:35,13.89,51.48,,,,
81,4/25/2025 4:40,13.94,51.55,,,,
82,4/25/2025 4:45,13.95,51.62,,,,
83,4/25/2025 4:50,13.91,51.62,,,,
