Plot Title: 20819390,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819390, SEN S/N: 20819390)","Temp, °F (LGR S/N: 20819390, SEN S/N: 20819390)",Coupler Attached (LGR S/N: 20819390),Host Connected (LGR S/N: 20819390),Stopped (LGR S/N: 20819390),End Of File (LGR S/N: 20819390)
1,5/8/2025 22:00,12.1,58.14,,,,
2,5/8/2025 22:05,12,58.14,,,,
3,5/8/2025 22:10,11.99,58.03,,,,
4,5/8/2025 22:15,11.97,57.88,,,,
5,5/8/2025 22:20,11.99,57.85,,,,
6,5/8/2025 22:25,12,57.85,,,,
7,5/8/2025 22:30,11.97,57.81,,,,
8,5/8/2025 22:35,11.73,56.98,,,,
9,5/8/2025 22:40,11.92,57.06,,,,
10,5/8/2025 22:45,12,57.24,,,,
11,5/8/2025 22:50,11.98,57.38,,,,
12,5/8/2025 22:55,11.97,57.45,,,,
13,5/8/2025 23:00,11.95,57.49,,,,
14,5/8/2025 23:05,11.9,57.38,,,,
15,5/8/2025 23:10,11.87,57.24,,,,
16,5/8/2025 23:15,11.85,57.02,,,,
17,5/8/2025 23:20,11.85,56.88,,,,
18,5/8/2025 23:25,11.84,56.8,,,,
19,5/8/2025 23:30,11.88,56.73,,,,
20,5/8/2025 23:35,11.93,56.84,,,,
21,5/8/2025 23:40,11.95,56.98,,,,
22,5/8/2025 23:45,11.98,57.13,,,,
23,5/8/2025 23:50,11.99,57.27,,,,
24,5/8/2025 23:55,11.99,57.42,,,,
25,5/9/2025 0:00,11.95,57.56,,,,
26,5/9/2025 0:05,11.93,57.6,,,,
27,5/9/2025 0:10,11.9,57.67,,,,
28,5/9/2025 0:15,11.87,57.74,,,,
29,5/9/2025 0:20,11.85,57.85,,,,
30,5/9/2025 0:25,11.83,57.92,,,,
31,5/9/2025 0:30,11.8,57.99,,,,
32,5/9/2025 0:35,11.78,58.03,,,,
33,5/9/2025 0:40,11.74,58.03,,,,
34,5/9/2025 0:45,11.78,57.99,,,,
35,5/9/2025 0:50,11.78,58.03,,,,
36,5/9/2025 0:55,11.72,58.06,,,,
37,5/9/2025 1:00,11.69,58.1,,,,
38,5/9/2025 1:05,11.68,58.1,,,,
39,5/9/2025 1:10,11.7,58.03,,,,
40,5/9/2025 1:15,11.75,57.99,,,,
41,5/9/2025 1:20,11.75,57.96,,,,
42,5/9/2025 1:25,11.72,57.88,,,,
43,5/9/2025 1:30,11.7,57.81,,,,
44,5/9/2025 1:35,11.71,57.74,,,,
45,5/9/2025 1:40,11.71,57.67,,,,
46,5/9/2025 1:45,11.71,57.63,,,,
47,5/9/2025 1:50,11.7,57.56,,,,
48,5/9/2025 1:55,11.54,57.42,,,,
49,5/9/2025 2:00,11.57,57.13,,,,
50,5/9/2025 2:05,11.58,56.91,,,,
51,5/9/2025 2:10,11.59,56.98,,,,
52,5/9/2025 2:15,11.56,57.06,,,,
53,5/9/2025 2:20,11.55,57.06,,,,
54,5/9/2025 2:25,11.54,56.95,,,,
55,5/9/2025 2:30,11.58,56.66,,,,
56,5/9/2025 2:35,11.59,56.48,,,,
57,5/9/2025 2:40,11.63,56.23,,,,
58,5/9/2025 2:45,11.69,56.23,,,,
59,5/9/2025 2:50,11.69,56.26,,,,
60,5/9/2025 2:55,11.69,56.19,,,,
61,5/9/2025 3:00,11.72,56.19,,,,
62,5/9/2025 3:05,11.74,56.16,,,,
63,5/9/2025 3:10,11.72,56.23,,,,
64,5/9/2025 3:15,11.72,56.26,,,,
65,5/9/2025 3:20,11.7,56.37,,,,
66,5/9/2025 3:25,11.69,56.41,,,,
67,5/9/2025 3:30,11.65,56.44,,,,
68,5/9/2025 3:35,11.65,56.44,,,,
69,5/9/2025 3:40,11.64,56.48,,,,
70,5/9/2025 3:45,11.64,56.55,,,,
71,5/9/2025 3:50,11.62,56.88,,,,
72,5/9/2025 3:55,11.6,57.06,,,,
73,5/9/2025 4:00,11.57,57.2,,,,
74,5/9/2025 4:05,11.53,57.34,,,,
75,5/9/2025 4:10,11.54,57.45,,,,
76,5/9/2025 4:15,11.5,57.56,,,,
77,5/9/2025 4:20,11.54,57.56,,,,
78,5/9/2025 4:25,11.54,57.56,,,,
79,5/9/2025 4:30,11.53,57.56,,,,
80,5/9/2025 4:35,11.52,57.31,,,,
81,5/9/2025 4:40,11.55,57.27,,,,
82,5/9/2025 4:45,11.55,57.2,,,,
83,5/9/2025 4:50,11.52,57.16,,,,
84,5/9/2025 4:55,11.47,57.13,,,,
85,5/9/2025 5:00,11.47,57.13,,,,
86,5/9/2025 5:05,11.46,57.09,,,,
87,5/9/2025 5:10,11.46,57.02,,,,
88,5/9/2025 5:15,11.45,56.91,,,,
89,5/9/2025 5:20,11.47,56.8,,,,
90,5/9/2025 5:25,11.49,56.77,,,,
91,5/9/2025 5:30,11.52,56.77,,,,
92,5/9/2025 5:35,11.55,57.02,,,,
93,5/9/2025 5:40,11.63,57.34,,,,
94,5/9/2025 5:45,11.72,57.74,,,,
95,5/9/2025 5:50,11.72,57.96,,,,
96,5/9/2025 5:55,11.74,58.1,,,,
97,5/9/2025 6:00,11.75,58.17,,,,
98,5/9/2025 6:05,11.76,58.17,,,,
99,5/9/2025 6:10,11.78,58.17,,,,
100,5/9/2025 6:15,11.86,58.14,,,,
101,5/9/2025 6:20,11.83,58.06,,,,
102,5/9/2025 6:25,11.8,57.88,,,,
103,5/9/2025 6:30,11.74,57.63,,,,
104,5/9/2025 6:35,11.73,57.38,,,,
105,5/9/2025 6:40,11.71,57.16,,,,
106,5/9/2025 6:45,11.7,56.91,,,,
107,5/9/2025 6:50,11.68,56.73,,,,
108,5/9/2025 6:55,11.69,56.52,,,,
109,5/9/2025 7:00,11.71,56.48,,,,
110,5/9/2025 7:05,11.71,56.44,,,,
111,5/9/2025 7:10,11.73,56.37,,,,
112,5/9/2025 7:15,11.71,56.26,,,,
113,5/9/2025 7:20,11.67,56.12,,,,
114,5/9/2025 7:25,11.59,55.94,,,,
115,5/9/2025 7:30,11.55,55.76,,,,
116,5/9/2025 7:35,11.52,55.62,,,,
117,5/9/2025 7:40,11.5,55.54,,,,
118,5/9/2025 7:45,11.54,55.54,,,,
119,5/9/2025 7:50,11.56,55.58,,,,
120,5/9/2025 7:55,11.57,55.58,,,,
121,5/9/2025 8:00,11.6,55.69,,,,
122,5/9/2025 8:05,11.6,55.76,,,,
123,5/9/2025 8:10,11.57,55.76,,,,
124,5/9/2025 8:15,11.6,55.8,,,,
125,5/9/2025 8:20,11.62,55.83,,,,
126,5/9/2025 8:25,11.58,55.87,,,,
127,5/9/2025 8:30,11.59,55.83,,,,
128,5/9/2025 8:35,11.59,55.9,,,,
129,5/9/2025 8:40,11.57,55.94,,,,
130,5/9/2025 8:45,11.55,55.94,,,,
131,5/9/2025 8:50,11.53,56.01,,,,
132,5/9/2025 8:55,11.61,56.08,,,,
133,5/9/2025 9:00,11.69,56.3,,,,
134,5/9/2025 9:05,11.64,56.48,,,,
135,5/9/2025 9:10,11.62,56.59,,,,
136,5/9/2025 9:15,11.68,56.55,,,,
137,5/9/2025 9:20,11.59,56.55,,,,
138,5/9/2025 9:25,11.77,56.91,,,,
139,5/9/2025 9:30,11.8,57.24,,,,
140,5/9/2025 9:35,11.79,57.49,,,,
141,5/9/2025 9:40,11.8,57.6,,,,
142,5/9/2025 9:45,11.74,57.63,,,,
143,5/9/2025 9:50,11.72,57.6,,,,
144,5/9/2025 9:55,11.73,57.56,,,,
145,5/9/2025 10:00,11.74,57.45,,,,
146,5/9/2025 10:05,11.74,57.45,,,,
147,5/9/2025 10:10,11.74,57.38,,,,
148,5/9/2025 10:15,11.86,57.49,,,,
149,5/9/2025 10:20,11.9,57.56,,,,
150,5/9/2025 10:25,11.91,57.67,,,,
151,5/9/2025 10:30,11.82,57.63,,,,
152,5/9/2025 10:35,11.86,57.49,,,,
153,5/9/2025 10:40,11.87,57.45,,,,
154,5/9/2025 10:45,11.84,57.38,,,,
155,5/9/2025 10:50,11.91,57.34,,,,
156,5/9/2025 10:55,12,57.42,,,,
157,5/9/2025 11:00,12.02,57.56,,,,
158,5/9/2025 11:05,11.98,57.56,,,,
159,5/9/2025 11:10,11.92,57.42,,,,
160,5/9/2025 11:15,11.95,57.38,,,,
161,5/9/2025 11:20,11.93,57.34,,,,
162,5/9/2025 11:25,12,57.34,,,,
163,5/9/2025 11:30,12.01,57.42,,,,
164,5/9/2025 11:35,12,57.49,,,,
165,5/9/2025 11:40,11.98,57.49,,,,
166,5/9/2025 11:45,11.99,57.45,,,,
167,5/9/2025 11:50,12.04,57.49,,,,
168,5/9/2025 11:55,12.01,57.52,,,,
169,5/9/2025 12:00,12.03,57.52,,,,
170,5/9/2025 12:05,12.01,57.49,,,,
171,5/9/2025 12:10,11.98,57.42,,,,
172,5/9/2025 12:15,12,57.34,,,,
173,5/9/2025 12:20,12.03,57.34,,,,
174,5/9/2025 12:25,12,57.34,,,,
175,5/9/2025 12:30,11.98,57.27,,,,
176,5/9/2025 12:35,11.97,57.24,,,,
177,5/9/2025 12:40,11.98,57.24,,,,
178,5/9/2025 12:45,11.98,57.24,,,,
179,5/9/2025 12:50,11.93,57.27,,,,
180,5/9/2025 12:55,11.85,57.31,,,,
181,5/9/2025 13:00,11.84,57.34,,,,
182,5/9/2025 13:05,11.69,57.38,,,,
