Plot Title: 22224704,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224704, SEN S/N: 22224704)","Temp, °F (LGR S/N: 22224704, SEN S/N: 22224704)","DO Adj Conc, mg/L (LGR S/N: 22224704)","DO Percent Sat, % (LGR S/N: 22224704)",Coupler Detached (LGR S/N: 22224704),Coupler Attached (LGR S/N: 22224704),Host Connected (LGR S/N: 22224704),Stopped (LGR S/N: 22224704),End Of File (LGR S/N: 22224704)
1,6/4/2025 14:42,8.82,71.49,7.58,100.8,,,,,
2,6/4/2025 14:42,,,,,Logged,,,,
3,6/4/2025 14:47,8.79,71.74,7.56,100.7,,,,,
4,6/4/2025 14:52,8.5,71.85,7.31,97.5,,,,,
5,6/4/2025 14:57,8.41,71.89,7.23,96.5,,,,,
6,6/4/2025 15:02,8.41,71.85,7.23,96.4,,,,,
7,6/4/2025 15:07,8.63,71.78,7.42,98.9,,,,,
8,6/4/2025 15:12,8.46,71.74,7.27,96.9,,,,,
9,6/4/2025 15:17,8.36,71.71,7.19,95.7,,,,,
10,6/4/2025 15:22,8.33,71.67,7.16,95.3,,,,,
11,6/4/2025 15:27,8.81,71.38,7.57,100.5,,,,,
12,6/4/2025 15:32,8.84,71.28,7.6,100.8,,,,,
13,6/4/2025 15:37,8.85,71.24,7.61,100.8,,,,,
14,6/4/2025 15:42,8.86,71.17,7.62,100.9,,,,,
15,6/4/2025 15:47,8.87,71.13,7.62,100.9,,,,,
16,6/4/2025 15:52,8.89,71.06,7.64,101.1,,,,,
17,6/4/2025 15:57,8.9,70.99,7.65,101.1,,,,,
18,6/4/2025 16:02,8.9,70.95,7.65,101.1,,,,,
19,6/4/2025 16:07,8.91,70.88,7.66,101.1,,,,,
20,6/4/2025 16:12,8.92,70.84,7.67,101.2,,,,,
21,6/4/2025 16:17,8.93,70.84,7.67,101.3,,,,,
22,6/4/2025 16:22,8.93,70.81,7.67,101.3,,,,,
23,6/4/2025 16:27,8.93,70.81,7.67,101.3,,,,,
24,6/4/2025 16:32,8.93,70.77,7.67,101.2,,,,,
25,6/4/2025 16:37,8.92,70.74,7.67,101.1,,,,,
26,6/4/2025 16:42,8.94,70.74,7.68,101.3,,,,,
27,6/4/2025 16:47,8.94,70.7,7.68,101.3,,,,,
28,6/4/2025 16:52,8.94,70.7,7.68,101.3,,,,,
29,6/4/2025 16:57,8.94,70.66,7.68,101.2,,,,,
30,6/4/2025 17:02,8.94,70.66,7.68,101.2,,,,,
31,6/4/2025 17:07,8.94,70.66,7.68,101.2,,,,,
32,6/4/2025 17:12,8.95,70.66,7.69,101.3,,,,,
33,6/4/2025 17:17,8.95,70.63,7.69,101.3,,,,,
34,6/4/2025 17:22,8.95,70.59,7.69,101.3,,,,,
35,6/4/2025 17:27,8.94,70.59,7.68,101.1,,,,,
36,6/4/2025 17:32,8.95,70.59,7.69,101.3,,,,,
37,6/4/2025 17:37,8.94,70.59,7.68,101.1,,,,,
38,6/4/2025 17:42,8.95,70.63,7.69,101.3,,,,,
39,6/4/2025 17:47,8.94,70.63,7.68,101.2,,,,,
40,6/4/2025 17:52,8.94,70.59,7.68,101.1,,,,,
41,6/4/2025 17:57,8.95,70.56,7.69,101.2,,,,,
42,6/4/2025 18:02,8.95,70.52,7.69,101.2,,,,,
43,6/4/2025 18:07,8.96,70.48,7.7,101.3,,,,,
44,6/4/2025 18:12,8.96,70.45,7.7,101.2,,,,,
45,6/4/2025 18:17,8.96,70.45,7.7,101.2,,,,,
46,6/4/2025 18:22,8.95,70.45,7.69,101.1,,,,,
47,6/4/2025 18:27,8.95,70.45,7.69,101.1,,,,,
48,6/4/2025 18:32,8.96,70.45,7.7,101.2,,,,,
49,6/4/2025 18:37,8.95,70.45,7.69,101.1,,,,,
50,6/4/2025 18:42,8.95,70.41,7.69,101.1,,,,,
