Plot Title: 20819394,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819394, SEN S/N: 20819394)","Temp, °F (LGR S/N: 20819394, SEN S/N: 20819394)","DO Adj Conc, mg/L (LGR S/N: 20819394)","DO Percent Sat, % (LGR S/N: 20819394)",Coupler Detached (LGR S/N: 20819394),Coupler Attached (LGR S/N: 20819394),Host Connected (LGR S/N: 20819394),Stopped (LGR S/N: 20819394),End Of File (LGR S/N: 20819394)
1,7/1/2025 16:49,0,71.96,0,0,,,,,
2,7/1/2025 16:49,,,,,Logged,,,,
3,7/1/2025 16:54,8.05,71.28,6.92,91.8,,,,,
4,7/1/2025 16:59,8.18,70.7,7.03,92.7,,,,,
5,7/1/2025 17:04,8.22,70.45,7.06,92.9,,,,,
6,7/1/2025 17:09,8.23,70.3,7.07,92.8,,,,,
7,7/1/2025 17:14,8.24,70.27,7.08,92.9,,,,,
8,7/1/2025 17:19,8.24,70.23,7.08,92.9,,,,,
9,7/1/2025 17:24,8.24,70.23,7.08,92.9,,,,,
10,7/1/2025 17:29,8.24,70.2,7.08,92.8,,,,,
11,7/1/2025 17:34,8.24,70.16,7.08,92.8,,,,,
12,7/1/2025 17:39,8.24,70.16,7.08,92.8,,,,,
13,7/1/2025 17:44,8.23,70.16,7.07,92.7,,,,,
14,7/1/2025 17:49,8.24,70.16,7.08,92.8,,,,,
15,7/1/2025 17:54,8.22,70.16,7.06,92.6,,,,,
16,7/1/2025 17:59,8.23,70.12,7.07,92.6,,,,,
17,7/1/2025 18:04,8.84,69.69,7.59,99,,,,,
18,7/1/2025 18:09,8.84,69.76,7.59,99.1,,,,,
19,7/1/2025 18:14,8.84,69.91,7.59,99.3,,,,,
20,7/1/2025 18:19,8.85,70.09,7.6,99.6,,,,,
21,7/1/2025 18:24,8.83,70.3,7.59,99.6,,,,,
22,7/1/2025 18:29,8.82,70.56,7.58,99.8,,,,,
23,7/1/2025 18:34,8.8,70.77,7.56,99.8,,,,,
24,7/1/2025 18:39,8.79,71.02,7.56,99.9,,,,,
25,7/1/2025 18:44,8.77,71.24,7.54,99.9,,,,,
26,7/1/2025 18:49,8.75,71.42,7.52,99.9,,,,,
27,7/1/2025 18:54,8.72,71.64,7.5,99.8,,,,,
28,7/1/2025 18:59,8.72,71.82,7.5,100,,,,,
29,7/1/2025 19:04,8.7,71.96,7.48,99.9,,,,,
30,7/1/2025 19:09,8.68,72.1,7.47,99.8,,,,,
31,7/1/2025 19:14,8.66,72.25,7.45,99.7,,,,,
32,7/1/2025 19:19,8.65,72.36,7.44,99.7,,,,,
33,7/1/2025 19:24,8.63,72.43,7.42,99.6,,,,,
34,7/1/2025 19:29,8.63,72.54,7.42,99.7,,,,,
35,7/1/2025 19:34,8.61,72.64,7.41,99.6,,,,,
36,7/1/2025 19:39,8.61,72.72,7.41,99.7,,,,,
37,7/1/2025 19:44,8.6,72.82,7.4,99.7,,,,,
38,7/1/2025 19:49,8.59,72.86,7.39,99.6,,,,,
39,7/1/2025 19:54,8.58,72.9,7.38,99.5,,,,,
40,7/1/2025 19:59,8.58,72.97,7.38,99.6,,,,,
41,7/1/2025 20:04,8.57,73.04,7.38,99.5,,,,,
42,7/1/2025 20:09,8.57,73.08,7.38,99.6,,,,,
43,7/1/2025 20:14,8.57,73.11,7.38,99.6,,,,,
44,7/1/2025 20:19,8.56,73.15,7.37,99.5,,,,,
45,7/1/2025 20:24,8.55,73.18,7.36,99.5,,,,,
46,7/1/2025 20:29,8.55,73.18,7.36,99.5,,,,,
47,7/1/2025 20:34,8.55,73.18,7.36,99.5,,,,,
48,7/1/2025 20:39,8.55,73.18,7.36,99.5,,,,,
49,7/1/2025 20:44,8.54,73.22,7.35,99.4,,,,,
50,7/1/2025 20:49,8.54,73.26,7.35,99.4,,,,,
51,7/1/2025 20:54,8.54,73.26,7.35,99.4,,,,,
52,7/1/2025 20:59,8.54,73.29,7.35,99.4,,,,,
53,7/1/2025 21:04,8.54,73.33,7.35,99.5,,,,,
54,7/1/2025 21:09,8.53,73.36,7.34,99.4,,,,,
55,7/1/2025 21:14,8.53,73.4,7.34,99.4,,,,,
56,7/1/2025 21:19,8.53,73.44,7.34,99.5,,,,,
57,7/1/2025 21:24,8.53,73.47,7.34,99.5,,,,,
58,7/1/2025 21:29,8.52,73.51,7.33,99.4,,,,,
59,7/1/2025 21:34,8.51,73.54,7.33,99.4,,,,,
60,7/1/2025 21:39,8.52,73.58,7.33,99.5,,,,,
61,7/1/2025 21:44,8.51,73.62,7.33,99.4,,,,,
62,7/1/2025 21:49,8.51,73.65,7.33,99.5,,,,,
63,7/1/2025 21:54,8.51,73.69,7.33,99.5,,,,,
64,7/1/2025 21:59,8.5,73.72,7.32,99.4,,,,,
65,7/1/2025 22:04,8.5,73.76,7.32,99.5,,,,,
66,7/1/2025 22:09,8.5,73.8,7.32,99.5,,,,,
67,7/1/2025 22:14,8.49,73.87,7.31,99.5,,,,,
68,7/1/2025 22:19,8.5,73.87,7.32,99.6,,,,,
69,7/1/2025 22:24,8.49,73.94,7.31,99.5,,,,,
70,7/1/2025 22:29,8.49,73.98,7.31,99.6,,,,,
71,7/1/2025 22:34,8.48,74.01,7.3,99.5,,,,,
72,7/1/2025 22:39,8.48,74.05,7.3,99.5,,,,,
73,7/1/2025 22:44,8.48,74.08,7.3,99.6,,,,,
74,7/1/2025 22:49,8.47,74.08,7.29,99.5,,,,,
75,7/1/2025 22:54,8.47,74.12,7.29,99.5,,,,,
76,7/1/2025 22:59,8.46,74.16,7.29,99.4,,,,,
77,7/1/2025 23:04,8.46,74.19,7.29,99.5,,,,,
78,7/1/2025 23:09,8.46,74.23,7.29,99.5,,,,,
79,7/1/2025 23:14,8.46,74.26,7.29,99.5,,,,,
80,7/1/2025 23:19,8.45,74.3,7.28,99.4,,,,,
81,7/1/2025 23:24,8.45,74.34,7.28,99.5,,,,,
82,7/1/2025 23:29,8.45,74.37,7.28,99.5,,,,,
83,7/1/2025 23:34,8.45,74.41,7.28,99.6,,,,,
84,7/1/2025 23:39,8.45,74.44,7.28,99.6,,,,,
85,7/1/2025 23:44,8.45,74.48,7.28,99.6,,,,,
86,7/1/2025 23:49,8.45,74.52,7.28,99.7,,,,,
87,7/1/2025 23:54,8.43,74.55,7.26,99.5,,,,,
88,7/1/2025 23:59,8.44,74.59,7.27,99.6,,,,,
89,7/2/2025 0:04,8.43,74.62,7.26,99.5,,,,,
90,7/2/2025 0:09,8.43,74.7,7.26,99.6,,,,,
91,7/2/2025 0:14,8.43,74.77,7.26,99.7,,,,,
92,7/2/2025 0:19,8.42,74.84,7.25,99.7,,,,,
93,7/2/2025 0:24,8.42,74.91,7.25,99.7,,,,,
94,7/2/2025 0:29,8.41,74.98,7.25,99.7,,,,,
95,7/2/2025 0:34,8.41,75.06,7.25,99.8,,,,,
96,7/2/2025 0:39,8.41,75.13,7.25,99.8,,,,,
97,7/2/2025 0:44,8.39,75.16,7.23,99.6,,,,,
98,7/2/2025 0:49,8.4,75.24,7.24,99.8,,,,,
99,7/2/2025 0:54,8.39,75.31,7.23,99.8,,,,,
100,7/2/2025 0:59,8.38,75.34,7.22,99.7,,,,,
101,7/2/2025 1:04,8.38,75.42,7.22,99.8,,,,,
102,7/2/2025 1:09,8.38,75.45,7.22,99.8,,,,,
103,7/2/2025 1:14,8.37,75.52,7.21,99.8,,,,,
104,7/2/2025 1:19,8.37,75.6,7.21,99.8,,,,,
105,7/2/2025 1:24,8.37,75.63,7.21,99.9,,,,,
106,7/2/2025 1:29,8.36,75.7,7.21,99.8,,,,,
107,7/2/2025 1:34,8.36,75.74,7.21,99.9,,,,,
108,7/2/2025 1:39,8.36,75.78,7.21,99.9,,,,,
109,7/2/2025 1:44,8.35,75.81,7.2,99.8,,,,,
110,7/2/2025 1:49,8.35,75.85,7.2,99.9,,,,,
111,7/2/2025 1:54,8.35,75.88,7.2,99.9,,,,,
112,7/2/2025 1:59,8.34,75.88,7.19,99.8,,,,,
113,7/2/2025 2:04,8.34,75.92,7.19,99.8,,,,,
114,7/2/2025 2:09,8.32,75.92,7.17,99.6,,,,,
115,7/2/2025 2:14,8.33,75.96,7.18,99.7,,,,,
116,7/2/2025 2:19,8.33,75.96,7.18,99.7,,,,,
117,7/2/2025 2:24,8.32,75.96,7.17,99.6,,,,,
118,7/2/2025 2:29,8.33,75.96,7.18,99.7,,,,,
119,7/2/2025 2:34,8.32,75.96,7.17,99.6,,,,,
120,7/2/2025 2:39,8.32,75.96,7.17,99.6,,,,,
121,7/2/2025 2:44,8.32,75.96,7.17,99.6,,,,,
122,7/2/2025 2:49,8.32,75.96,7.17,99.6,,,,,
123,7/2/2025 2:54,8.33,75.96,7.18,99.7,,,,,
124,7/2/2025 2:59,8.32,75.96,7.17,99.6,,,,,
125,7/2/2025 3:04,8.33,75.96,7.18,99.7,,,,,
126,7/2/2025 3:09,8.32,75.96,7.17,99.6,,,,,
127,7/2/2025 3:14,8.32,75.96,7.17,99.6,,,,,
128,7/2/2025 3:19,8.33,75.96,7.18,99.7,,,,,
129,7/2/2025 3:24,8.32,75.92,7.17,99.6,,,,,
130,7/2/2025 3:29,8.32,75.92,7.17,99.6,,,,,
131,7/2/2025 3:34,8.32,75.92,7.17,99.6,,,,,
132,7/2/2025 3:39,8.33,75.92,7.18,99.7,,,,,
133,7/2/2025 3:44,8.32,75.88,7.17,99.5,,,,,
134,7/2/2025 3:49,8.33,75.88,7.18,99.7,,,,,
135,7/2/2025 3:54,8.33,75.88,7.18,99.7,,,,,
136,7/2/2025 3:59,8.33,75.85,7.18,99.6,,,,,
137,7/2/2025 4:04,8.32,75.85,7.17,99.5,,,,,
138,7/2/2025 4:09,8.32,75.85,7.17,99.5,,,,,
139,7/2/2025 4:14,8.32,75.81,7.17,99.5,,,,,
140,7/2/2025 4:19,8.32,75.81,7.17,99.5,,,,,
141,7/2/2025 4:24,8.33,75.78,7.18,99.6,,,,,
142,7/2/2025 4:29,8.32,75.78,7.17,99.4,,,,,
143,7/2/2025 4:34,8.33,75.78,7.18,99.6,,,,,
144,7/2/2025 4:39,8.33,75.74,7.18,99.5,,,,,
145,7/2/2025 4:44,8.33,75.74,7.18,99.5,,,,,
146,7/2/2025 4:49,8.33,75.7,7.18,99.5,,,,,
147,7/2/2025 4:54,8.33,75.7,7.18,99.5,,,,,
148,7/2/2025 4:59,8.33,75.7,7.18,99.5,,,,,
149,7/2/2025 5:04,8.34,75.67,7.19,99.6,,,,,
150,7/2/2025 5:09,8.34,75.63,7.19,99.5,,,,,
151,7/2/2025 5:14,8.34,75.63,7.19,99.5,,,,,
152,7/2/2025 5:19,8.34,75.63,7.19,99.5,,,,,
153,7/2/2025 5:24,8.34,75.6,7.19,99.5,,,,,
154,7/2/2025 5:29,8.34,75.6,7.19,99.5,,,,,
155,7/2/2025 5:34,8.35,75.56,7.2,99.6,,,,,
156,7/2/2025 5:39,8.34,75.56,7.19,99.4,,,,,
157,7/2/2025 5:44,8.35,75.52,7.2,99.5,,,,,
158,7/2/2025 5:49,8.35,75.52,7.2,99.5,,,,,
159,7/2/2025 5:54,8.35,75.52,7.2,99.5,,,,,
