Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-06-04T22:00:00,2025-06-04T22:00:30,12.61,1,12.92,2,22.25
2025-06-05T04:00:00,2025-06-05T04:00:30,12.59,1,12.9,2,16.75
2025-06-05T10:00:00,2025-06-05T10:00:30,12.57,1,12.88,2,14.5
2025-06-05T16:00:00,2025-06-05T16:00:30,12.58,1,11.98,4813,15.5
2025-06-05T22:00:00,2025-06-05T22:00:30,12.57,1,11.93,4743,14
2025-06-06T04:00:00,2025-06-06T04:00:30,12.56,1,11.93,4768,13.5
2025-06-06T10:00:00,2025-06-06T10:00:30,12.55,1,11.93,4665,14
2025-06-06T16:00:00,2025-06-06T16:00:30,12.55,1,11.93,4752,13.5
2025-06-06T22:00:00,2025-06-06T22:00:30,12.54,0,11.93,4681,14
2025-06-07T04:00:00,2025-06-07T04:00:30,12.53,0,11.94,4868,13.5
2025-06-07T10:00:00,2025-06-07T10:00:30,12.53,1,11.92,4878,14
2025-06-07T16:00:00,2025-06-07T16:00:30,12.52,1,11.93,4905,13.5
2025-06-07T22:00:00,2025-06-07T22:00:30,12.51,0,11.92,4768,14
2025-06-08T04:00:00,2025-06-08T04:00:30,12.5,0,11.92,4688,13.5
2025-06-08T10:00:00,2025-06-08T10:00:30,12.49,0,11.9,4810,14
2025-06-08T16:00:00,2025-06-08T16:00:30,12.48,0,11.91,4750,13.5
2025-06-08T22:00:00,2025-06-08T22:00:30,12.47,0,11.9,4863,14.25
2025-06-09T04:00:00,2025-06-09T04:00:30,12.47,0,11.89,4765,13.75
2025-06-09T10:00:00,2025-06-09T10:00:30,12.46,0,11.89,4856,14.5
2025-06-09T16:00:00,2025-06-09T16:00:30,12.45,1,11.88,4802,14
2025-06-09T22:00:00,2025-06-09T22:00:30,12.45,0,11.89,4780,15.25
2025-06-10T04:00:00,2025-06-10T04:00:30,12.44,0,11.89,4772,15
2025-06-10T10:00:00,2025-06-10T10:00:30,12.43,0,11.89,4824,17
2025-06-10T16:00:00,2025-06-10T16:00:30,12.42,0,11.87,4825,15
2025-06-10T22:00:00,2025-06-10T22:00:30,12.42,0,11.9,4823,17.75
2025-06-11T04:00:00,2025-06-11T04:00:30,12.41,0,11.88,4740,16
2025-06-11T10:00:00,2025-06-11T10:00:30,12.4,0,11.88,4819,18
2025-06-11T16:00:00,2025-06-11T16:00:30,12.39,0,11.87,4791,16.75
2025-06-11T22:00:00,2025-06-11T22:00:30,12.38,0,11.87,4843,18
2025-06-12T04:00:00,2025-06-12T04:00:30,12.37,0,11.85,4761,16.25
2025-06-12T10:00:00,2025-06-12T10:00:30,12.36,0,11.85,4776,17
2025-06-12T16:00:00,2025-06-12T16:00:30,12.35,0,11.85,4738,16.25
2025-06-12T22:00:00,2025-06-12T22:00:30,12.34,0,11.82,4717,16.25
2025-06-13T04:00:00,2025-06-13T04:00:30,12.33,0,11.82,4709,15.75
2025-06-13T10:00:00,2025-06-13T10:00:30,12.33,0,11.81,4820,16.25
2025-06-13T16:00:00,2025-06-13T16:00:30,12.31,0,11.8,4735,15.75
2025-06-13T22:00:00,2025-06-13T22:00:30,12.31,0,11.78,4745,16.25
2025-06-14T04:00:00,2025-06-14T04:00:30,12.3,0,11.79,4786,15.75
2025-06-14T10:00:00,2025-06-14T10:00:30,12.29,0,11.78,4780,16.5
2025-06-14T16:00:00,2025-06-14T16:00:30,12.28,0,11.77,4809,16
2025-06-14T22:00:00,2025-06-14T22:00:30,12.27,0,11.77,4727,17.5
2025-06-15T04:00:00,2025-06-15T04:00:30,12.27,0,11.78,4754,17.5
2025-06-15T10:00:00,2025-06-15T10:00:30,12.26,0,11.77,4762,18
2025-06-15T16:00:00,2025-06-15T16:00:30,12.25,0,11.76,4724,17.75
2025-06-15T22:00:00,2025-06-15T22:00:30,12.24,0,11.74,4700,17.75
2025-06-16T04:00:00,2025-06-16T04:00:30,12.23,0,11.75,4777,17.5
2025-06-16T10:00:00,2025-06-16T10:00:30,12.22,0,11.74,4683,17.5
2025-06-16T16:00:00,2025-06-16T16:00:30,12.22,0,11.74,4727,18.25
2025-06-16T22:00:00,2025-06-16T22:00:30,12.21,0,11.73,4740,18
2025-06-17T04:00:00,2025-06-17T04:00:30,12.2,0,11.72,4749,18.25
2025-06-17T10:00:00,2025-06-17T10:00:30,12.19,0,11.71,4730,18.25
2025-06-17T16:00:00,2025-06-17T16:00:30,12.18,0,11.71,4758,18.25
2025-06-17T22:00:00,2025-06-17T22:00:30,12.17,-1,11.69,4727,18.25
2025-06-18T04:00:00,2025-06-18T04:00:30,12.16,-1,11.69,4698,18
2025-06-18T10:00:00,2025-06-18T10:00:30,12.15,-1,11.68,4683,18.25
2025-06-18T16:00:00,2025-06-18T16:00:30,12.14,-1,12.41,0,18
2025-06-18T22:00:00,2025-06-18T22:00:30,12.17,-1,12.48,1,24.25
2025-06-19T04:00:00,2025-06-19T04:00:30,12.15,0,12.47,1,21.75
2025-06-19T10:00:00,2025-06-19T10:00:30,12.15,0,12.46,1,21.75
Logging halted by user,,,,,,
