"Plot Title: 22224703"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224703, SEN S/N: 22224703)","Temp, °F (LGR S/N: 22224703, SEN S/N: 22224703)","DO Adj Conc, mg/L (LGR S/N: 22224703)","DO Percent Sat, % (LGR S/N: 22224703)","Coupler Detached (LGR S/N: 22224703)","Coupler Attached (LGR S/N: 22224703)","Host Connected (LGR S/N: 22224703)","Stopped (LGR S/N: 22224703)","End Of File (LGR S/N: 22224703)"
1,08/07/25 12:39:49 PM,8.70,70.88,7.48,98.7,,,,,
2,08/07/25 12:40:48 PM,,,,,Logged,,,,
3,08/07/25 12:44:49 PM,8.20,70.34,7.05,92.5,,,,,
4,08/07/25 12:49:49 PM,8.22,69.98,7.06,92.4,,,,,
5,08/07/25 12:54:49 PM,8.25,69.84,7.09,92.6,,,,,
6,08/07/25 12:59:49 PM,8.25,69.76,7.09,92.5,,,,,
7,08/07/25 01:04:49 PM,8.25,69.73,7.09,92.5,,,,,
8,08/07/25 01:09:49 PM,8.26,69.73,7.09,92.6,,,,,
9,08/07/25 01:14:49 PM,8.25,69.76,7.09,92.5,,,,,
10,08/07/25 01:19:49 PM,8.25,69.76,7.09,92.5,,,,,
11,08/07/25 01:24:49 PM,8.25,69.76,7.09,92.5,,,,,
12,08/07/25 01:29:49 PM,8.24,69.76,7.08,92.4,,,,,
13,08/07/25 01:34:49 PM,8.24,69.76,7.08,92.4,,,,,
14,08/07/25 01:39:49 PM,8.24,69.73,7.08,92.4,,,,,
15,08/07/25 01:44:49 PM,8.24,69.76,7.08,92.4,,,,,
16,08/07/25 01:49:49 PM,8.23,69.76,7.07,92.3,,,,,
17,08/07/25 01:54:49 PM,8.22,69.80,7.06,92.2,,,,,
18,08/07/25 01:59:49 PM,8.22,69.80,7.06,92.2,,,,,
19,08/07/25 02:04:49 PM,8.22,69.80,7.06,92.2,,,,,
20,08/07/25 02:09:49 PM,8.22,69.80,7.06,92.2,,,,,
21,08/07/25 02:14:49 PM,8.21,69.80,7.05,92.1,,,,,
22,08/07/25 02:19:49 PM,8.22,69.80,7.06,92.2,,,,,
23,08/07/25 02:24:49 PM,8.20,69.84,7.04,92.0,,,,,
24,08/07/25 02:29:49 PM,8.20,69.84,7.04,92.0,,,,,
25,08/07/25 02:34:49 PM,8.20,69.84,7.04,92.0,,,,,
26,08/07/25 02:39:49 PM,8.19,69.84,7.03,91.9,,,,,
27,08/07/25 02:44:49 PM,8.18,69.84,7.03,91.8,,,,,
28,08/07/25 02:49:49 PM,8.18,69.87,7.03,91.8,,,,,
29,08/07/25 02:54:49 PM,8.17,69.91,7.02,91.8,,,,,
30,08/07/25 02:59:49 PM,8.21,69.94,7.05,92.2,,,,,
31,08/07/25 03:04:49 PM,8.16,69.94,7.01,91.7,,,,,
32,08/07/25 03:09:49 PM,8.15,69.94,7.00,91.6,,,,,
33,08/07/25 03:14:49 PM,8.12,69.94,6.97,91.2,,,,,
34,08/07/25 03:19:49 PM,8.14,69.94,6.99,91.5,,,,,
35,08/07/25 03:24:49 PM,8.11,69.94,6.97,91.1,,,,,
36,08/07/25 03:29:49 PM,8.13,69.98,6.98,91.4,,,,,
37,08/07/25 03:34:49 PM,8.11,70.02,6.97,91.2,,,,,
38,08/07/25 03:39:49 PM,8.12,70.02,6.97,91.3,,,,,
39,08/07/25 03:44:49 PM,8.12,70.02,6.97,91.3,,,,,
40,08/07/25 03:49:49 PM,8.11,70.02,6.97,91.2,,,,,
41,08/07/25 03:54:49 PM,8.10,70.02,6.96,91.1,,,,,
42,08/07/25 03:59:49 PM,8.11,70.02,6.97,91.2,,,,,
43,08/07/25 04:04:49 PM,9.06,75.70,7.81,108.2,,,,,
44,08/07/25 04:09:49 PM,8.27,76.96,7.13,100.0,,,,,
45,08/07/25 04:13:28 PM,,,,,,Logged,,,
46,08/07/25 04:13:31 PM,,,,,,,Logged,,
47,08/07/25 04:13:32 PM,,,,,,,,Logged,Logged
