Plot Title: 22224703,,,,,,,,,
#,"Date Time, GMT+00:00",do.mgl,"Temp, °F (LGR S/N: 22224703, SEN S/N: 22224703)","DO Adj Conc, mg/L (LGR S/N: 22224703)",Coupler Detached (LGR S/N: 22224703),Coupler Attached (LGR S/N: 22224703),Host Connected (LGR S/N: 22224703),Stopped (LGR S/N: 22224703),End Of File (LGR S/N: 22224703)
1,7/15/2025 18:22,,71.06,2.32,,,,,
2,7/15/2025 18:22,,,,Logged,,,,
3,7/15/2025 18:27,,70.23,7.11,,,,,
4,7/15/2025 18:32,,69.91,7.19,,,,,
5,7/15/2025 18:37,,69.76,7.22,,,,,
6,7/15/2025 18:42,,69.69,7.24,,,,,
7,7/15/2025 18:47,,69.62,7.21,,,,,
8,7/15/2025 18:52,,69.58,7.2,,,,,
9,7/15/2025 18:57,,69.55,7.2,,,,,
10,7/15/2025 19:02,,69.51,7.2,,,,,
11,7/15/2025 19:07,,69.44,7.18,,,,,
12,7/15/2025 19:12,,69.4,7.16,,,,,
13,7/15/2025 19:17,,69.37,7.17,,,,,
14,7/15/2025 19:22,,69.33,7.15,,,,,
15,7/15/2025 19:27,,69.3,7.15,,,,,
16,7/15/2025 19:32,,69.26,7.13,,,,,
17,7/15/2025 19:37,,69.22,7.13,,,,,
18,7/15/2025 19:42,,69.15,7.13,,,,,
19,7/15/2025 19:47,,69.12,7.13,,,,,
20,7/15/2025 19:52,,69.08,7.13,,,,,
21,7/15/2025 19:57,,69.04,7.12,,,,,
22,7/15/2025 20:02,,69.01,7.12,,,,,
23,7/15/2025 20:07,,68.97,7.11,,,,,
24,7/15/2025 20:12,,68.94,7.12,,,,,
25,7/15/2025 20:17,,68.9,7.11,,,,,
26,7/15/2025 20:22,,68.86,7.1,,,,,
27,7/15/2025 20:27,,68.79,7.1,,,,,
28,7/15/2025 20:32,,68.76,7.1,,,,,
29,7/15/2025 20:37,,69.91,7.46,,,,,
30,7/15/2025 20:42,,69.19,7.56,,,,,
31,7/15/2025 20:47,,68.97,7.62,,,,,
32,7/15/2025 20:52,,69.04,7.63,,,,,
33,7/15/2025 20:57,,69.22,7.65,,,,,
34,7/15/2025 21:02,,69.44,7.63,,,,,
35,7/15/2025 21:07,,69.66,7.63,,,,,
36,7/15/2025 21:12,,69.91,7.61,,,,,
