"Plot Title: 22224706"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 22224706, SEN S/N: 22224706)","Temp, °F (LGR S/N: 22224706, SEN S/N: 22224706)","DO Adj Conc, mg/L (LGR S/N: 22224706)","DO Percent Sat, % (LGR S/N: 22224706)","Coupler Detached (LGR S/N: 22224706)","Coupler Attached (LGR S/N: 22224706)","Host Connected (LGR S/N: 22224706)","Stopped (LGR S/N: 22224706)","End Of File (LGR S/N: 22224706)"
1,07/15/25 05:57:55 PM,0.00,71.64,0.00,0.0,,,,,
2,07/15/25 05:58:14 PM,,,,,Logged,,,,
3,07/15/25 06:02:55 PM,8.32,70.66,7.15,94.2,,,,,
4,07/15/25 06:07:55 PM,8.43,70.27,7.24,95.0,,,,,
5,07/15/25 06:12:55 PM,8.47,70.05,7.28,95.3,,,,,
6,07/15/25 06:17:55 PM,8.48,69.98,7.28,95.3,,,,,
7,07/15/25 06:22:55 PM,8.48,69.91,7.28,95.2,,,,,
8,07/15/25 06:27:55 PM,8.50,69.87,7.30,95.4,,,,,
9,07/15/25 06:32:55 PM,8.50,69.84,7.30,95.4,,,,,
10,07/15/25 06:37:55 PM,8.51,69.80,7.31,95.5,,,,,
11,07/15/25 06:42:55 PM,8.52,69.76,7.32,95.5,,,,,
12,07/15/25 06:47:55 PM,8.52,69.69,7.32,95.5,,,,,
13,07/15/25 06:52:55 PM,8.50,69.66,7.30,95.2,,,,,
14,07/15/25 06:57:55 PM,8.49,69.62,7.29,95.1,,,,,
15,07/15/25 07:02:55 PM,8.47,69.58,7.27,94.8,,,,,
16,07/15/25 07:07:55 PM,8.46,69.51,7.26,94.6,,,,,
17,07/15/25 07:12:55 PM,8.45,69.48,7.26,94.5,,,,,
18,07/15/25 07:17:55 PM,8.44,69.44,7.25,94.3,,,,,
19,07/15/25 07:22:55 PM,8.44,69.40,7.25,94.3,,,,,
20,07/15/25 07:27:55 PM,8.44,69.37,7.25,94.2,,,,,
21,07/15/25 07:32:55 PM,8.42,69.33,7.23,94.0,,,,,
22,07/15/25 07:37:55 PM,8.42,69.30,7.23,93.9,,,,,
23,07/15/25 07:42:55 PM,8.42,69.26,7.23,93.9,,,,,
24,07/15/25 07:47:55 PM,8.41,69.19,7.22,93.7,,,,,
25,07/15/25 07:52:55 PM,8.40,69.15,7.21,93.6,,,,,
26,07/15/25 07:57:55 PM,8.39,69.12,7.20,93.4,,,,,
27,07/15/25 08:02:55 PM,8.39,69.08,7.20,93.4,,,,,
28,07/15/25 08:07:55 PM,8.38,69.04,7.19,93.2,,,,,
29,07/15/25 08:12:55 PM,8.38,69.01,7.19,93.2,,,,,
30,07/15/25 08:17:55 PM,8.38,68.94,7.19,93.1,,,,,
31,07/15/25 08:22:55 PM,8.36,68.90,7.18,92.9,,,,,
32,07/15/25 08:27:55 PM,8.38,68.86,7.19,93.0,,,,,
33,07/15/25 08:32:55 PM,8.37,68.83,7.18,92.9,,,,,
34,07/15/25 08:37:55 PM,8.90,69.19,7.64,99.2,,,,,
35,07/15/25 08:42:55 PM,8.90,69.19,7.64,99.2,,,,,
36,07/15/25 08:47:55 PM,8.92,69.15,7.66,99.4,,,,,
37,07/15/25 08:52:55 PM,8.93,69.15,7.67,99.5,,,,,
38,07/15/25 08:57:55 PM,8.94,69.19,7.68,99.6,,,,,
39,07/15/25 09:02:55 PM,8.93,69.22,7.67,99.5,,,,,
40,07/15/25 09:07:55 PM,8.93,69.26,7.67,99.6,,,,,
41,07/15/25 09:12:55 PM,8.92,69.30,7.66,99.5,,,,,
42,07/15/25 09:17:55 PM,8.93,69.40,7.67,99.7,,,,,
43,07/15/25 09:22:55 PM,8.92,69.48,7.66,99.7,,,,,
44,07/15/25 09:27:55 PM,8.91,69.55,7.65,99.7,,,,,
45,07/15/25 09:32:55 PM,8.91,69.66,7.65,99.8,,,,,
46,07/15/25 09:37:55 PM,8.90,69.73,7.64,99.8,,,,,
47,07/15/25 09:42:55 PM,8.90,69.84,7.64,99.9,,,,,
48,07/15/25 09:47:55 PM,8.89,69.94,7.64,99.9,,,,,
49,07/15/25 09:52:55 PM,8.87,70.02,7.62,99.7,,,,,
50,07/15/25 09:57:55 PM,8.87,70.12,7.62,99.9,,,,,
51,07/15/25 10:02:55 PM,8.85,70.20,7.60,99.7,,,,,
52,07/15/25 10:07:55 PM,8.85,70.27,7.60,99.8,,,,,
53,07/15/25 10:12:55 PM,8.84,70.38,7.60,99.8,,,,,
54,07/15/25 10:17:55 PM,8.83,70.45,7.59,99.7,,,,,
55,07/15/25 10:22:55 PM,8.83,70.52,7.59,99.8,,,,,
56,07/15/25 10:27:55 PM,8.82,70.59,7.58,99.8,,,,,
57,07/15/25 10:32:55 PM,8.82,70.63,7.58,99.8,,,,,
58,07/15/25 10:37:55 PM,8.80,70.70,7.56,99.7,,,,,
59,07/15/25 10:42:55 PM,8.81,70.77,7.57,99.9,,,,,
60,07/15/25 10:47:55 PM,8.78,70.81,7.55,99.6,,,,,
61,07/15/25 10:52:55 PM,8.79,70.81,7.55,99.7,,,,,
62,07/15/25 10:57:55 PM,8.79,70.84,7.55,99.7,,,,,
63,07/15/25 11:02:55 PM,8.78,70.84,7.55,99.6,,,,,
64,07/15/25 11:07:55 PM,8.79,70.84,7.55,99.7,,,,,
65,07/15/25 11:12:55 PM,8.79,70.81,7.55,99.7,,,,,
66,07/15/25 11:17:55 PM,8.78,70.81,7.55,99.6,,,,,
67,07/15/25 11:22:55 PM,8.79,70.77,7.55,99.6,,,,,
68,07/15/25 11:27:55 PM,8.79,70.74,7.55,99.6,,,,,
69,07/15/25 11:32:55 PM,8.79,70.66,7.55,99.5,,,,,
70,07/15/25 11:37:55 PM,8.79,70.63,7.55,99.5,,,,,
71,07/15/25 11:42:55 PM,8.80,70.59,7.56,99.6,,,,,
72,07/15/25 11:47:55 PM,8.80,70.52,7.56,99.5,,,,,
73,07/15/25 11:52:55 PM,8.81,70.45,7.57,99.5,,,,,
74,07/15/25 11:57:55 PM,8.80,70.38,7.56,99.3,,,,,
75,07/16/25 12:02:55 AM,8.81,70.30,7.57,99.4,,,,,
76,07/16/25 12:07:55 AM,8.82,70.27,7.58,99.4,,,,,
77,07/16/25 12:12:55 AM,8.83,70.16,7.59,99.4,,,,,
78,07/16/25 12:17:55 AM,8.83,70.09,7.59,99.4,,,,,
79,07/16/25 12:22:55 AM,8.84,70.02,7.59,99.4,,,,,
80,07/16/25 12:27:55 AM,8.85,69.94,7.60,99.4,,,,,
81,07/16/25 12:32:55 AM,8.85,69.84,7.60,99.3,,,,,
82,07/16/25 12:37:55 AM,8.86,69.76,7.61,99.3,,,,,
83,07/16/25 12:42:55 AM,8.87,69.66,7.62,99.3,,,,,
84,07/16/25 12:47:55 AM,8.88,69.58,7.63,99.4,,,,,
85,07/16/25 12:52:55 AM,8.89,69.51,7.63,99.4,,,,,
86,07/16/25 12:57:55 AM,8.90,69.40,7.64,99.4,,,,,
87,07/16/25 01:02:55 AM,8.89,69.33,7.63,99.2,,,,,
88,07/16/25 01:07:55 AM,8.91,69.26,7.65,99.4,,,,,
89,07/16/25 01:12:55 AM,8.91,69.22,7.65,99.3,,,,,
90,07/16/25 01:17:55 AM,8.93,69.15,7.67,99.5,,,,,
91,07/16/25 01:22:55 AM,8.92,69.08,7.66,99.3,,,,,
92,07/16/25 01:27:55 AM,8.95,69.04,7.68,99.6,,,,,
93,07/16/25 01:32:55 AM,8.95,69.01,7.68,99.5,,,,,
94,07/16/25 01:37:55 AM,8.95,68.97,7.68,99.5,,,,,
95,07/16/25 01:42:55 AM,8.96,68.94,7.69,99.6,,,,,
96,07/16/25 01:47:55 AM,8.97,68.90,7.70,99.6,,,,,
97,07/16/25 01:52:55 AM,8.97,68.90,7.70,99.6,,,,,
98,07/16/25 01:57:55 AM,8.97,68.86,7.70,99.6,,,,,
99,07/16/25 02:02:55 AM,8.96,68.86,7.69,99.5,,,,,
100,07/16/25 02:07:55 AM,8.98,68.83,7.71,99.7,,,,,
101,07/16/25 02:12:55 AM,8.97,68.83,7.70,99.6,,,,,
102,07/16/25 02:17:55 AM,8.97,68.83,7.70,99.6,,,,,
103,07/16/25 02:22:55 AM,8.97,68.83,7.70,99.6,,,,,
104,07/16/25 02:27:55 AM,8.98,68.83,7.71,99.7,,,,,
105,07/16/25 02:32:55 AM,8.98,68.83,7.71,99.7,,,,,
106,07/16/25 02:37:55 AM,8.98,68.83,7.71,99.7,,,,,
107,07/16/25 02:42:55 AM,8.98,68.83,7.71,99.7,,,,,
108,07/16/25 02:47:55 AM,8.98,68.83,7.71,99.7,,,,,
109,07/16/25 02:52:55 AM,8.98,68.83,7.71,99.7,,,,,
110,07/16/25 02:57:55 AM,8.98,68.86,7.71,99.7,,,,,
111,07/16/25 03:02:55 AM,8.98,68.86,7.71,99.7,,,,,
112,07/16/25 03:07:55 AM,8.99,68.86,7.72,99.8,,,,,
113,07/16/25 03:12:55 AM,8.97,68.90,7.70,99.6,,,,,
114,07/16/25 03:17:55 AM,8.98,68.90,7.71,99.8,,,,,
115,07/16/25 03:22:55 AM,8.98,68.94,7.71,99.8,,,,,
116,07/16/25 03:27:55 AM,8.97,68.94,7.70,99.7,,,,,
117,07/16/25 03:32:55 AM,8.96,68.97,7.69,99.6,,,,,
118,07/16/25 03:37:55 AM,8.97,68.97,7.70,99.7,,,,,
119,07/16/25 03:42:55 AM,8.97,69.01,7.70,99.8,,,,,
120,07/16/25 03:47:55 AM,8.98,69.01,7.71,99.9,,,,,
121,07/16/25 03:52:55 AM,8.96,69.04,7.69,99.7,,,,,
122,07/16/25 03:57:55 AM,8.95,69.08,7.68,99.6,,,,,
123,07/16/25 04:02:55 AM,8.96,69.08,7.69,99.7,,,,,
124,07/16/25 04:07:55 AM,8.96,69.12,7.69,99.8,,,,,
125,07/16/25 04:12:55 AM,8.95,69.15,7.68,99.7,,,,,
126,07/16/25 04:17:55 AM,8.95,69.15,7.68,99.7,,,,,
127,07/16/25 04:22:55 AM,8.94,69.19,7.68,99.6,,,,,
128,07/16/25 04:27:55 AM,8.95,69.22,7.68,99.8,,,,,
129,07/16/25 04:32:55 AM,8.93,69.22,7.67,99.5,,,,,
130,07/16/25 04:37:55 AM,8.94,69.26,7.68,99.7,,,,,
131,07/16/25 04:42:55 AM,8.93,69.30,7.67,99.6,,,,,
132,07/16/25 04:47:55 AM,8.95,69.30,7.68,99.8,,,,,
133,07/16/25 04:52:55 AM,8.94,69.33,7.68,99.8,,,,,
134,07/16/25 04:57:55 AM,8.94,69.37,7.68,99.8,,,,,
135,07/16/25 05:02:55 AM,8.93,69.40,7.67,99.7,,,,,
136,07/16/25 05:07:55 AM,8.93,69.40,7.67,99.7,,,,,
137,07/16/25 05:12:55 AM,8.93,69.44,7.67,99.8,,,,,
138,07/16/25 05:17:55 AM,8.92,69.48,7.66,99.7,,,,,
139,07/16/25 05:22:55 AM,8.92,69.48,7.66,99.7,,,,,
140,07/16/25 05:27:55 AM,8.92,69.51,7.66,99.7,,,,,
141,07/16/25 05:32:55 AM,8.92,69.55,7.66,99.8,,,,,
142,07/16/25 05:37:55 AM,8.92,69.58,7.66,99.8,,,,,
143,07/16/25 05:42:55 AM,8.91,69.58,7.65,99.7,,,,,
144,07/16/25 05:47:55 AM,8.92,69.62,7.66,99.9,,,,,
145,07/16/25 05:52:55 AM,8.93,69.66,7.67,100.0,,,,,
146,07/16/25 05:57:55 AM,8.92,69.66,7.66,99.9,,,,,
147,07/16/25 06:02:55 AM,8.90,69.69,7.64,99.7,,,,,
148,07/16/25 06:07:55 AM,8.90,69.73,7.64,99.8,,,,,
149,07/16/25 06:12:55 AM,8.90,69.73,7.64,99.8,,,,,
150,07/16/25 06:17:55 AM,8.90,69.76,7.64,99.8,,,,,
151,07/16/25 06:22:55 AM,8.90,69.80,7.64,99.8,,,,,
152,07/16/25 06:27:55 AM,8.89,69.80,7.64,99.7,,,,,
153,07/16/25 06:32:55 AM,8.89,69.84,7.64,99.8,,,,,
154,07/16/25 06:37:55 AM,8.88,69.87,7.63,99.7,,,,,
155,07/16/25 06:42:55 AM,8.90,69.87,7.64,99.9,,,,,
156,07/16/25 06:47:55 AM,8.89,69.91,7.64,99.8,,,,,
157,07/16/25 06:52:55 AM,8.87,69.94,7.62,99.7,,,,,
158,07/16/25 06:57:55 AM,8.89,69.94,7.64,99.9,,,,,
159,07/16/25 07:02:55 AM,8.87,69.98,7.62,99.7,,,,,
160,07/16/25 07:07:55 AM,8.87,69.98,7.62,99.7,,,,,
161,07/16/25 07:12:55 AM,8.87,70.02,7.62,99.7,,,,,
162,07/16/25 07:17:55 AM,8.88,70.05,7.63,99.9,,,,,
163,07/16/25 07:22:55 AM,8.87,70.05,7.62,99.8,,,,,
164,07/16/25 07:27:55 AM,8.85,70.09,7.60,99.6,,,,,
165,07/16/25 07:32:55 AM,8.87,70.09,7.62,99.8,,,,,
166,07/16/25 07:37:55 AM,8.86,70.12,7.61,99.7,,,,,
167,07/16/25 07:42:55 AM,8.86,70.16,7.61,99.8,,,,,
168,07/16/25 07:47:55 AM,8.85,70.16,7.60,99.7,,,,,
169,07/16/25 07:52:55 AM,8.86,70.20,7.61,99.8,,,,,
170,07/16/25 07:57:55 AM,8.86,70.20,7.61,99.8,,,,,
171,07/16/25 08:02:55 AM,8.86,70.23,7.61,99.9,,,,,
172,07/16/25 08:07:55 AM,8.87,70.27,7.62,100.0,,,,,
173,07/16/25 08:12:55 AM,8.84,70.27,7.59,99.7,,,,,
174,07/16/25 08:17:55 AM,8.84,70.30,7.59,99.7,,,,,
175,07/16/25 08:22:55 AM,8.85,70.30,7.60,99.8,,,,,
176,07/16/25 08:27:55 AM,8.85,70.34,7.60,99.9,,,,,
177,07/16/25 08:32:55 AM,8.84,70.34,7.59,99.7,,,,,
178,07/16/25 08:37:55 AM,8.85,70.38,7.60,99.9,,,,,
179,07/16/25 08:42:55 AM,8.83,70.38,7.59,99.7,,,,,
180,07/16/25 08:47:55 AM,8.84,70.41,7.60,99.8,,,,,
181,07/16/25 08:52:55 AM,8.85,70.41,7.60,99.9,,,,,
182,07/16/25 08:57:55 AM,8.84,70.45,7.60,99.9,,,,,
183,07/16/25 09:02:55 AM,8.82,70.45,7.58,99.6,,,,,
184,07/16/25 09:07:55 AM,8.83,70.48,7.59,99.8,,,,,
185,07/16/25 09:12:55 AM,8.83,70.48,7.59,99.8,,,,,
186,07/16/25 09:17:55 AM,8.80,70.52,7.56,99.5,,,,,
187,07/16/25 09:22:55 AM,8.79,70.74,7.55,99.6,,,,,
188,07/16/25 09:27:55 AM,8.76,70.99,7.53,99.5,,,,,
189,07/16/25 09:32:55 AM,8.77,71.28,7.54,100.0,,,,,
190,07/16/25 09:37:55 AM,8.75,71.53,7.52,100.0,,,,,
191,07/16/25 09:42:55 AM,8.72,71.78,7.50,99.9,,,,,
192,07/16/25 09:47:55 AM,8.70,72.00,7.48,99.9,,,,,
193,07/16/25 09:52:55 AM,8.65,72.18,7.44,99.5,,,,,
194,07/16/25 09:57:55 AM,8.67,72.32,7.46,99.9,,,,,
195,07/16/25 10:02:55 AM,8.66,72.46,7.45,100.0,,,,,
196,07/16/25 10:07:55 AM,8.63,72.68,7.43,99.8,,,,,
197,07/16/25 10:12:55 AM,8.61,72.86,7.41,99.8,,,,,
198,07/16/25 10:17:55 AM,8.60,73.04,7.40,99.9,,,,,
199,07/16/25 10:22:55 AM,8.60,73.26,7.40,100.1,,,,,
200,07/16/25 10:27:55 AM,8.58,73.44,7.39,100.1,,,,,
201,07/16/25 10:32:55 AM,8.56,73.62,7.37,100.0,,,,,
202,07/16/25 10:37:55 AM,8.56,73.80,7.37,100.2,,,,,
203,07/16/25 10:42:55 AM,8.55,74.01,7.36,100.3,,,,,
204,07/16/25 10:47:55 AM,8.51,74.19,7.33,100.0,,,,,
205,07/16/25 10:52:55 AM,8.50,74.37,7.32,100.1,,,,,
206,07/16/25 10:57:55 AM,8.48,74.52,7.30,100.0,,,,,
207,07/16/25 11:02:55 AM,8.47,74.70,7.30,100.1,,,,,
208,07/16/25 11:07:55 AM,8.46,74.88,7.29,100.2,,,,,
209,07/16/25 11:12:55 AM,8.45,75.06,7.28,100.2,,,,,
