Plot Title: 21737477,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 21737477, SEN S/N: 21737477)","Temp, °F (LGR S/N: 21737477, SEN S/N: 21737477)","DO Adj Conc, mg/L (LGR S/N: 21737477)","DO Percent Sat, % (LGR S/N: 21737477)",Coupler Detached (LGR S/N: 21737477),Coupler Attached (LGR S/N: 21737477),Host Connected (LGR S/N: 21737477),Stopped (LGR S/N: 21737477),End Of File (LGR S/N: 21737477)
1,7/22/2025 14:31,0,72.75,0,0,,,,,
2,7/22/2025 14:32,,,,,Logged,,,,
3,7/22/2025 14:36,7.83,71.64,6.73,89.6,,,,,
4,7/22/2025 14:41,8.03,70.27,6.9,90.5,,,,,
5,7/22/2025 14:46,8.1,69.76,6.96,90.8,,,,,
6,7/22/2025 14:51,8.13,69.62,6.98,91,,,,,
7,7/22/2025 14:56,8.15,69.55,7,91.2,,,,,
8,7/22/2025 15:01,8.15,69.55,7,91.2,,,,,
9,7/22/2025 15:06,8.14,69.55,6.99,91.1,,,,,
10,7/22/2025 15:11,8.12,69.55,6.97,90.8,,,,,
11,7/22/2025 15:16,8.12,69.51,6.97,90.8,,,,,
12,7/22/2025 15:21,8.11,69.51,6.96,90.7,,,,,
13,7/22/2025 15:26,8.09,69.51,6.95,90.5,,,,,
14,7/22/2025 15:31,8.08,69.51,6.94,90.4,,,,,
15,7/22/2025 15:36,8.07,69.51,6.93,90.2,,,,,
16,7/22/2025 15:41,8.07,69.55,6.93,90.3,,,,,
17,7/22/2025 15:46,8.06,69.55,6.92,90.2,,,,,
18,7/22/2025 15:51,8.04,69.55,6.9,89.9,,,,,
19,7/22/2025 15:56,8.03,69.55,6.9,89.8,,,,,
20,7/22/2025 16:01,8.02,69.55,6.89,89.7,,,,,
21,7/22/2025 16:06,8.02,69.55,6.89,89.7,,,,,
22,7/22/2025 16:11,8.01,69.55,6.88,89.6,,,,,
23,7/22/2025 16:16,8,69.58,6.87,89.5,,,,,
24,7/22/2025 16:21,7.99,69.58,6.86,89.4,,,,,
25,7/22/2025 16:26,7.98,69.58,6.85,89.3,,,,,
26,7/22/2025 16:31,7.97,69.58,6.84,89.2,,,,,
27,7/22/2025 16:36,7.97,69.58,6.84,89.2,,,,,
28,7/22/2025 16:41,7.96,69.58,6.84,89.1,,,,,
29,7/22/2025 16:46,7.95,69.58,6.83,89,,,,,
30,7/22/2025 16:51,7.95,69.58,6.83,89,,,,,
31,7/22/2025 16:56,7.94,69.62,6.82,88.9,,,,,
32,7/22/2025 17:01,7.94,69.62,6.82,88.9,,,,,
33,7/22/2025 17:06,7.92,69.66,6.8,88.7,,,,,
34,7/22/2025 17:11,7.9,69.66,6.78,88.5,,,,,
35,7/22/2025 17:16,7.89,69.66,6.78,88.4,,,,,
36,7/22/2025 17:21,7.9,69.66,6.78,88.5,,,,,
37,7/22/2025 17:26,7.88,69.62,6.77,88.2,,,,,
38,7/22/2025 17:31,7.87,69.62,6.76,88.1,,,,,
39,7/22/2025 17:36,7.86,69.62,6.75,88,,,,,
40,7/22/2025 17:41,7.85,69.62,6.74,87.9,,,,,
41,7/22/2025 17:46,7.84,69.62,6.73,87.8,,,,,
42,7/22/2025 17:51,7.83,69.62,6.72,87.7,,,,,
43,7/22/2025 17:56,7.83,69.66,6.72,87.7,,,,,
44,7/22/2025 18:01,7.82,69.66,6.72,87.6,,,,,
45,7/22/2025 18:06,7.8,69.66,6.7,87.4,,,,,
46,7/22/2025 18:11,7.79,69.66,6.69,87.2,,,,,
47,7/22/2025 18:16,7.8,69.66,6.7,87.4,,,,,
48,7/22/2025 18:21,7.82,69.66,6.72,87.6,,,,,
49,7/22/2025 18:26,7.76,69.66,6.66,86.9,,,,,
50,7/22/2025 18:31,9,68.94,7.73,100,,,,,
51,7/22/2025 18:36,9.07,68.86,7.79,100.7,,,,,
52,7/22/2025 18:41,9.06,69.08,7.78,100.8,,,,,
53,7/22/2025 18:46,9.05,69.22,7.77,100.9,,,,,
54,7/22/2025 18:51,9.04,69.3,7.76,100.9,,,,,
55,7/22/2025 18:56,9.03,69.37,7.75,100.8,,,,,
56,7/22/2025 19:01,9.03,69.4,7.75,100.9,,,,,
57,7/22/2025 19:06,9.03,69.4,7.75,100.9,,,,,
58,7/22/2025 19:11,9.03,69.4,7.75,100.9,,,,,
59,7/22/2025 19:16,9.02,69.48,7.75,100.8,,,,,
60,7/22/2025 19:21,9.02,69.55,7.75,100.9,,,,,
61,7/22/2025 19:26,9.02,69.58,7.75,100.9,,,,,
62,7/22/2025 19:31,9.01,69.62,7.74,100.9,,,,,
63,7/22/2025 19:36,9.01,69.66,7.74,100.9,,,,,
64,7/22/2025 19:41,9,69.84,7.73,101,,,,,
65,7/22/2025 19:46,8.99,70.09,7.72,101.2,,,,,
66,7/22/2025 19:51,8.98,70.38,7.72,101.4,,,,,
67,7/22/2025 19:56,8.97,70.59,7.71,101.5,,,,,
68,7/22/2025 20:01,8.94,70.95,7.68,101.5,,,,,
69,7/22/2025 20:06,8.9,72.03,7.65,102.3,,,,,
70,7/22/2025 20:11,8.8,73.65,7.58,102.9,,,,,
71,7/22/2025 20:16,8.66,75.49,7.46,103.2,,,,,
72,7/22/2025 20:21,8.51,77.5,7.34,103.5,,,,,
73,7/22/2025 20:26,8.46,79.41,7.31,104.9,,,,,
74,7/22/2025 20:31,8.35,81.28,7.22,105.5,,,,,
75,7/22/2025 20:36,8.19,83.05,7.09,105.3,,,,,
76,7/22/2025 20:41,8.09,84.56,7.01,105.6,,,,,
77,7/22/2025 20:46,7.98,85.86,6.92,105.4,,,,,
78,7/22/2025 20:51,7.87,87.01,6.83,105.1,,,,,
79,7/22/2025 20:56,7.75,88.12,6.73,104.6,,,,,
80,7/22/2025 21:01,7.65,89.24,6.64,104.4,,,,,
81,7/22/2025 21:06,7.55,90.14,6.56,103.9,,,,,
82,7/22/2025 21:11,7.48,90.79,6.5,103.5,,,,,
83,7/22/2025 21:16,7.44,91.11,6.47,103.3,,,,,
84,7/22/2025 21:21,7.42,91.22,6.45,103.1,,,,,
85,7/22/2025 21:26,7.42,91.11,6.45,103,,,,,
86,7/22/2025 21:31,7.43,90.82,6.46,102.9,,,,,
87,7/22/2025 21:36,7.45,90.43,6.47,102.8,,,,,
88,7/22/2025 21:41,7.48,89.89,6.5,102.7,,,,,
89,7/22/2025 21:46,7.52,89.31,6.53,102.7,,,,,
90,7/22/2025 21:51,7.56,88.63,6.56,102.6,,,,,
91,7/22/2025 21:56,7.62,87.94,6.61,102.7,,,,,
92,7/22/2025 22:01,7.68,87.22,6.66,102.8,,,,,
93,7/22/2025 22:06,7.73,86.47,6.7,102.7,,,,,
94,7/22/2025 22:11,7.8,85.75,6.76,102.9,,,,,
95,7/22/2025 22:16,7.85,84.96,6.8,102.8,,,,,
96,7/22/2025 22:21,7.91,84.2,6.85,102.8,,,,,
97,7/22/2025 22:26,7.96,83.41,6.89,102.7,,,,,
98,7/22/2025 22:31,8.02,82.58,6.94,102.6,,,,,
99,7/22/2025 22:36,8.08,81.79,6.99,102.6,,,,,
100,7/22/2025 22:41,8.13,81.03,7.03,102.5,,,,,
101,7/22/2025 22:46,8.19,80.28,7.08,102.5,,,,,
102,7/22/2025 22:51,8.24,79.56,7.12,102.3,,,,,
103,7/22/2025 22:56,8.31,78.87,7.18,102.5,,,,,
104,7/22/2025 23:01,8.36,78.22,7.22,102.4,,,,,
105,7/22/2025 23:06,8.41,77.61,7.26,102.4,,,,,
106,7/22/2025 23:11,8.46,77.07,7.3,102.5,,,,,
107,7/22/2025 23:16,8.51,76.53,7.34,102.5,,,,,
108,7/22/2025 23:21,8.55,76.03,7.37,102.4,,,,,
109,7/22/2025 23:26,8.59,75.52,7.4,102.4,,,,,
110,7/22/2025 23:31,8.63,75.06,7.44,102.4,,,,,
111,7/22/2025 23:36,8.67,74.59,7.47,102.3,,,,,
112,7/22/2025 23:41,8.71,74.16,7.5,102.4,,,,,
113,7/22/2025 23:46,8.75,73.76,7.53,102.4,,,,,
114,7/22/2025 23:51,8.79,73.36,7.57,102.4,,,,,
