"Plot Title: 20819391"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819391, SEN S/N: 20819391)","Temp, °F (LGR S/N: 20819391, SEN S/N: 20819391)","DO Adj Conc, mg/L (LGR S/N: 20819391)","DO Percent Sat, % (LGR S/N: 20819391)","Coupler Detached (LGR S/N: 20819391)","Sensor Data Error (LGR S/N: 20819391)","Coupler Attached (LGR S/N: 20819391)","Host Connected (LGR S/N: 20819391)","Stopped (LGR S/N: 20819391)","End Of File (LGR S/N: 20819391)"
1,08/19/25 12:18:28 PM,9.09,71.02,7.81,103.3,,,,,,
2,08/19/25 12:18:30 PM,,,,,Logged,,,,,
3,08/19/25 12:23:28 PM,9.04,71.42,7.77,103.2,,,,,,
4,08/19/25 12:28:28 PM,9.03,71.56,7.76,103.2,,,,,,
5,08/19/25 12:33:28 PM,8.56,71.31,7.36,97.6,,,,,,
6,08/19/25 12:38:28 PM,8.55,70.63,7.35,96.8,,,,,,
7,08/19/25 12:43:28 PM,8.57,70.30,7.36,96.7,,,,,,
8,08/19/25 12:48:28 PM,8.56,70.16,7.35,96.4,,,,,,
9,08/19/25 12:53:28 PM,8.59,70.09,7.38,96.7,,,,,,
10,08/19/25 12:58:28 PM,8.59,70.05,7.38,96.6,,,,,,
11,08/19/25 01:03:28 PM,8.55,70.05,7.34,96.2,,,,,,
12,08/19/25 01:08:28 PM,8.55,70.05,7.34,96.2,,,,,,
13,08/19/25 01:13:28 PM,8.54,70.05,7.34,96.1,,,,,,
14,08/19/25 01:18:28 PM,8.53,70.05,7.33,95.9,,,,,,
15,08/19/25 01:23:28 PM,8.52,70.05,7.32,95.8,,,,,,
16,08/19/25 01:28:28 PM,8.52,70.05,7.32,95.8,,,,,,
17,08/19/25 01:33:28 PM,8.51,70.05,7.31,95.7,,,,,,
18,08/19/25 01:38:28 PM,8.48,70.09,7.28,95.4,,,,,,
19,08/19/25 01:43:28 PM,8.47,70.09,7.28,95.3,,,,,,
20,08/19/25 01:48:28 PM,8.47,70.09,7.28,95.3,,,,,,
21,08/19/25 01:53:28 PM,8.46,70.09,7.27,95.2,,,,,,
22,08/19/25 01:58:28 PM,8.45,70.09,7.26,95.1,,,,,,
23,08/19/25 02:03:28 PM,8.44,70.09,7.25,95.0,,,,,,
24,08/19/25 02:08:28 PM,8.42,70.12,7.23,94.8,,,,,,
25,08/19/25 02:13:28 PM,8.41,70.16,7.22,94.7,,,,,,
26,08/19/25 02:18:28 PM,8.39,70.16,7.21,94.5,,,,,,
27,08/19/25 02:23:28 PM,8.38,70.16,7.20,94.4,,,,,,
28,08/19/25 02:28:28 PM,8.38,70.16,7.20,94.4,,,,,,
29,08/19/25 02:33:28 PM,8.37,70.16,7.19,94.3,,,,,,
30,08/19/25 02:38:28 PM,8.35,70.20,7.17,94.1,,,,,,
31,08/19/25 02:43:28 PM,8.34,70.23,7.16,94.0,,,,,,
32,08/19/25 02:48:28 PM,8.33,70.23,7.16,93.9,,,,,,
33,08/19/25 02:53:28 PM,8.32,70.23,7.15,93.8,,,,,,
34,08/19/25 02:58:28 PM,8.30,70.23,7.13,93.5,,,,,,
35,08/19/25 03:03:28 PM,8.31,70.23,7.14,93.7,,,,,,
36,08/19/25 03:08:28 PM,8.28,70.27,7.11,93.4,,,,,,
