"Plot Title: 20819389"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819389, SEN S/N: 20819389)","Temp, °F (LGR S/N: 20819389, SEN S/N: 20819389)","DO Adj Conc, mg/L (LGR S/N: 20819389)","DO Percent Sat, % (LGR S/N: 20819389)","Coupler Detached (LGR S/N: 20819389)","Coupler Attached (LGR S/N: 20819389)","Host Connected (LGR S/N: 20819389)","Stopped (LGR S/N: 20819389)","End Of File (LGR S/N: 20819389)"
1,08/19/25 12:19:55 PM,9.08,70.99,7.80,103.2,,,,,
2,08/19/25 12:19:58 PM,,,,,Logged,,,,
3,08/19/25 12:24:55 PM,8.89,71.17,7.64,101.2,,,,,
4,08/19/25 12:29:55 PM,8.98,71.35,7.72,102.4,,,,,
5,08/19/25 12:34:55 PM,8.69,70.88,7.47,98.6,,,,,
6,08/19/25 12:39:55 PM,8.60,70.52,7.39,97.2,,,,,
7,08/19/25 12:44:55 PM,8.61,70.38,7.40,97.2,,,,,
8,08/19/25 12:49:55 PM,8.60,70.27,7.39,97.0,,,,,
9,08/19/25 12:54:55 PM,8.61,70.23,7.40,97.0,,,,,
10,08/19/25 12:59:55 PM,8.62,70.23,7.41,97.2,,,,,
11,08/19/25 01:04:55 PM,8.61,70.23,7.40,97.0,,,,,
12,08/19/25 01:09:55 PM,8.58,70.23,7.37,96.7,,,,,
13,08/19/25 01:14:55 PM,8.55,70.23,7.35,96.4,,,,,
14,08/19/25 01:19:55 PM,8.57,70.23,7.36,96.6,,,,,
15,08/19/25 01:24:55 PM,8.57,70.23,7.36,96.6,,,,,
16,08/19/25 01:29:55 PM,8.55,70.23,7.35,96.4,,,,,
17,08/19/25 01:34:55 PM,8.54,70.23,7.34,96.2,,,,,
18,08/19/25 01:39:55 PM,8.52,70.27,7.32,96.1,,,,,
19,08/19/25 01:44:55 PM,8.51,70.27,7.31,95.9,,,,,
20,08/19/25 01:49:55 PM,8.51,70.27,7.31,95.9,,,,,
21,08/19/25 01:54:55 PM,8.52,70.23,7.32,96.0,,,,,
22,08/19/25 01:59:55 PM,8.50,70.27,7.30,95.8,,,,,
23,08/19/25 02:04:55 PM,8.47,70.27,7.28,95.5,,,,,
24,08/19/25 02:09:55 PM,8.48,70.30,7.29,95.6,,,,,
25,08/19/25 02:14:55 PM,8.46,70.30,7.27,95.4,,,,,
26,08/19/25 02:19:55 PM,8.45,70.30,7.26,95.3,,,,,
27,08/19/25 02:24:55 PM,8.45,70.30,7.26,95.3,,,,,
28,08/19/25 02:29:55 PM,8.43,70.34,7.24,95.1,,,,,
29,08/19/25 02:34:55 PM,8.42,70.34,7.23,95.0,,,,,
30,08/19/25 02:39:55 PM,8.41,70.38,7.23,94.9,,,,,
31,08/19/25 02:44:55 PM,8.40,70.41,7.22,94.9,,,,,
32,08/19/25 02:49:55 PM,8.40,70.41,7.22,94.9,,,,,
33,08/19/25 02:54:55 PM,8.38,70.41,7.20,94.6,,,,,
34,08/19/25 02:59:55 PM,8.38,70.41,7.20,94.6,,,,,
35,08/19/25 03:04:55 PM,8.36,70.41,7.18,94.4,,,,,
36,08/19/25 03:09:55 PM,8.36,70.45,7.18,94.4,,,,,
37,08/19/25 03:14:55 PM,8.33,70.45,7.16,94.1,,,,,
38,08/19/25 03:19:55 PM,8.34,70.48,7.17,94.3,,,,,
39,08/19/25 03:24:55 PM,8.32,70.48,7.15,94.0,,,,,
40,08/19/25 03:29:55 PM,8.32,70.45,7.15,94.0,,,,,
41,08/19/25 03:34:55 PM,8.32,70.45,7.15,94.0,,,,,
42,08/19/25 03:39:55 PM,8.29,70.48,7.12,93.7,,,,,
43,08/19/25 03:44:55 PM,8.28,70.48,7.11,93.6,,,,,
44,08/19/25 03:49:55 PM,8.27,70.52,7.11,93.5,,,,,
45,08/19/25 03:54:55 PM,8.23,70.52,7.07,93.0,,,,,
46,08/19/25 03:59:55 PM,8.26,70.52,7.10,93.4,,,,,
47,08/19/25 04:04:55 PM,8.25,70.48,7.09,93.2,,,,,
48,08/19/25 04:09:55 PM,8.24,70.52,7.08,93.2,,,,,
49,08/19/25 04:14:55 PM,8.23,70.52,7.07,93.0,,,,,
50,08/19/25 04:19:55 PM,8.22,70.56,7.06,93.0,,,,,
51,08/19/25 04:24:55 PM,8.20,70.56,7.05,92.7,,,,,
52,08/19/25 04:29:55 PM,8.19,70.56,7.04,92.6,,,,,
53,08/19/25 04:34:55 PM,8.19,70.56,7.04,92.6,,,,,
54,08/19/25 04:39:55 PM,8.18,70.52,7.03,92.5,,,,,
55,08/19/25 04:44:55 PM,8.17,70.56,7.02,92.4,,,,,
56,08/19/25 04:49:55 PM,8.18,70.59,7.03,92.6,,,,,
57,08/19/25 04:54:55 PM,8.15,70.59,7.00,92.2,,,,,
58,08/19/25 04:59:55 PM,8.14,70.59,6.99,92.1,,,,,
59,08/19/25 05:04:55 PM,8.12,70.56,6.98,91.8,,,,,
60,08/19/25 05:09:55 PM,8.13,70.56,6.99,91.9,,,,,
61,08/19/25 05:14:55 PM,7.47,89.42,6.49,102.1,,,,,
62,08/19/25 05:19:55 PM,6.50,95.04,5.66,93.6,,,,,
63,08/19/25 05:24:55 PM,7.01,93.70,6.10,99.7,,,,,
64,08/19/25 05:29:55 PM,7.38,88.05,6.41,99.6,,,,,
65,08/19/25 05:34:55 PM,7.84,83.66,6.79,101.4,,,,,
66,08/19/25 05:39:55 PM,8.06,80.92,6.97,101.5,,,,,
67,08/19/25 05:44:55 PM,8.26,78.76,7.13,101.8,,,,,
68,08/19/25 05:49:55 PM,8.43,77.22,7.27,102.2,,,,,
69,08/19/25 05:54:55 PM,8.56,76.03,7.38,102.6,,,,,
70,08/19/25 05:59:55 PM,8.64,75.20,7.45,102.6,,,,,
71,08/19/25 06:04:55 PM,8.65,74.95,7.45,102.5,,,,,
72,08/19/25 06:09:55 PM,8.91,75.38,7.68,106.0,,,,,
73,08/19/25 06:14:55 PM,8.93,78.04,7.71,109.2,,,,,
74,08/19/25 06:19:55 PM,9.04,81.93,7.82,115.0,,,,,
75,08/19/25 06:24:55 PM,8.80,86.04,7.63,116.5,,,,,
