#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Started,Host Connected,Button Down,Button Up,End of File
1,08/19/2025 15:36:01,23.81,42.92,Logged,,,,
2,08/19/2025 15:36:42,,,,Logged,,,
3,08/19/2025 15:41:01,24.02,401.92,,,,,
4,08/19/2025 15:46:01,23.42,401.92,,,,,
5,08/19/2025 15:51:01,22.99,401.92,,,,,
6,08/19/2025 15:56:01,22.73,401.92,,,,,
7,08/19/2025 16:01:01,22.52,401.92,,,,,
8,08/19/2025 16:06:01,22.48,404.64,,,,,
9,08/19/2025 16:11:01,22.43,403.68,,,,,
10,08/19/2025 16:16:01,22.48,401.92,,,,,
11,08/19/2025 16:21:01,22.48,376.96,,,,,
12,08/19/2025 16:26:01,22.48,377.76,,,,,
13,08/19/2025 16:31:01,22.52,377.76,,,,,
14,08/19/2025 16:36:01,22.61,377.76,,,,,
15,08/19/2025 16:41:01,22.73,377.76,,,,,
16,08/19/2025 16:46:01,22.95,378.72,,,,,
17,08/19/2025 16:51:01,22.99,377.76,,,,,
18,08/19/2025 16:56:01,22.91,377.76,,,,,
19,08/19/2025 17:01:01,22.82,377.76,,,,,
20,08/19/2025 17:06:01,22.82,377.76,,,,,
21,08/19/2025 17:11:01,22.86,376.96,,,,,
22,08/19/2025 17:16:01,23.08,385.60,,,,,
23,08/19/2025 17:21:01,23.08,379.52,,,,,
24,08/19/2025 17:26:01,23.12,380.48,,,,,
25,08/19/2025 17:31:01,23.08,383.84,,,,,
26,08/19/2025 17:36:01,23.03,389.92,,,,,
27,08/19/2025 17:41:01,22.99,386.40,,,,,
28,08/19/2025 17:46:01,23.08,386.40,,,,,
29,08/19/2025 17:51:01,23.12,378.72,,,,,
30,08/19/2025 17:56:01,23.12,372.64,,,,,
31,08/19/2025 18:01:01,23.85,337.12,,,,,
32,08/19/2025 18:06:01,23.55,20.14,,,,,
33,08/19/2025 18:11:01,27.20,18764.80,,,,,
34,08/19/2025 18:16:01,32.22,31191.04,,,,,
35,08/19/2025 18:21:01,33.76,17807.36,,,,,
36,08/19/2025 18:26:01,35.73,22517.76,,,,,
37,08/19/2025 18:31:01,37.06,21278.72,,,,,
38,08/19/2025 18:36:01,40.24,39219.20,,,,,
39,08/19/2025 18:41:01,40.11,21176.32,,,,,
40,08/19/2025 18:46:01,43.07,39751.68,,,,,
41,08/19/2025 18:51:01,45.51,39577.60,,,,,
42,08/19/2025 18:56:01,46.33,35635.20,,,,,
43,08/19/2025 19:01:01,47.53,36290.56,,,,,
44,08/19/2025 19:06:01,48.39,35584.00,,,,,
45,08/19/2025 19:11:01,49.12,34713.60,,,,,
46,08/19/2025 19:16:01,49.50,32010.24,,,,,
47,08/19/2025 19:21:01,49.80,29962.24,,,,,
48,08/19/2025 19:26:01,49.80,30474.24,,,,,
49,08/19/2025 19:31:01,49.68,26419.20,,,,,
50,08/19/2025 19:36:01,49.59,28006.40,,,,,
51,08/19/2025 19:41:01,49.38,22425.60,,,,,
52,08/19/2025 19:46:01,48.82,21196.80,,,,,
53,08/19/2025 19:51:01,48.43,19788.80,,,,,
54,08/19/2025 19:56:01,47.75,21985.28,,,,,
55,08/19/2025 20:01:01,47.96,21411.84,,,,,
56,08/19/2025 20:06:01,48.09,19952.64,,,,,
57,08/19/2025 20:11:01,47.49,14673.92,,,,,
58,08/19/2025 20:16:01,46.63,21391.36,,,,,
59,08/19/2025 20:21:01,46.89,21432.32,,,,,
60,08/19/2025 20:26:01,46.93,23603.20,,,,,
61,08/19/2025 20:31:01,46.67,20899.84,,,,,
62,08/19/2025 20:36:01,45.47,16916.48,,,,,
63,08/19/2025 20:41:01,44.57,15994.88,,,,,
64,08/19/2025 20:46:01,43.03,16906.24,,,,,
65,08/19/2025 20:51:01,42.00,12672.00,,,,,
66,08/19/2025 20:56:01,41.18,21166.08,,,,,
67,08/19/2025 21:01:01,40.92,17597.44,,,,,
68,08/19/2025 21:06:01,39.34,14346.24,,,,,
69,08/19/2025 21:11:01,38.31,13158.40,,,,,
70,08/19/2025 21:16:01,36.98,10874.88,,,,,
71,08/19/2025 21:21:01,35.78,9428.48,,,,,
72,08/19/2025 21:26:01,34.32,5210.88,,,,,
