Plot Title: 21839982,,,,,,,,,,
#,"Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 21839982, SEN S/N: 21839982)","Temp, °F (LGR S/N: 21839982, SEN S/N: 21839982)","DO Adj Conc, mg/L (LGR S/N: 21839982)","DO Percent Sat, % (LGR S/N: 21839982)",Coupler Detached (LGR S/N: 21839982),Coupler Attached (LGR S/N: 21839982),Host Connected (LGR S/N: 21839982),Stopped (LGR S/N: 21839982),End Of File (LGR S/N: 21839982)
1,8/19/2025 12:16,9.2,71.1,7.91,104.7,,,,,
2,8/19/2025 12:16,,,,,Logged,,,,
3,8/19/2025 12:21,9.21,71.49,7.92,105.2,,,,,
4,8/19/2025 12:26,9.18,71.67,7.89,105.1,,,,,
5,8/19/2025 12:31,8.74,71.67,7.52,100,,,,,
6,8/19/2025 12:36,8.74,70.7,7.51,99,,,,,
7,8/19/2025 12:41,8.77,70.34,7.53,99,,,,,
8,8/19/2025 12:46,8.79,70.16,7.55,99,,,,,
9,8/19/2025 12:51,8.8,70.09,7.56,99,,,,,
10,8/19/2025 12:56,8.79,70.09,7.55,98.9,,,,,
11,8/19/2025 13:01,8.68,70.09,7.46,97.7,,,,,
12,8/19/2025 13:06,8.67,70.16,7.45,97.6,,,,,
13,8/19/2025 13:11,8.65,70.12,7.43,97.4,,,,,
14,8/19/2025 13:16,8.61,70.16,7.4,97,,,,,
15,8/19/2025 13:21,8.66,70.12,7.44,97.5,,,,,
16,8/19/2025 13:26,8.65,70.16,7.43,97.4,,,,,
17,8/19/2025 13:31,8.59,70.16,7.38,96.7,,,,,
18,8/19/2025 13:36,8.62,70.12,7.4,97,,,,,
19,8/19/2025 13:41,8.58,70.16,7.37,96.6,,,,,
20,8/19/2025 13:46,8.56,70.2,7.35,96.4,,,,,
21,8/19/2025 13:51,8.55,70.2,7.35,96.3,,,,,
22,8/19/2025 13:56,8.54,70.16,7.34,96.2,,,,,
23,8/19/2025 14:01,8.53,70.2,7.33,96.1,,,,,
24,8/19/2025 14:06,8.5,70.27,7.3,95.8,,,,,
25,8/19/2025 14:11,8.51,70.23,7.31,95.9,,,,,
26,8/19/2025 14:16,8.51,70.2,7.31,95.9,,,,,
27,8/19/2025 14:21,8.48,70.27,7.29,95.6,,,,,
28,8/19/2025 14:26,8.46,70.27,7.27,95.4,,,,,
29,8/19/2025 14:31,8.47,70.23,7.28,95.5,,,,,
30,8/19/2025 14:36,8.45,70.27,7.26,95.3,,,,,
31,8/19/2025 14:41,8.43,70.3,7.24,95.1,,,,,
32,8/19/2025 14:46,8.41,70.34,7.23,94.9,,,,,
33,8/19/2025 14:51,8.41,70.34,7.23,94.9,,,,,
34,8/19/2025 14:56,8.39,70.34,7.21,94.7,,,,,
35,8/19/2025 15:01,8.38,70.3,7.2,94.5,,,,,
36,8/19/2025 15:06,8.35,70.34,7.17,94.2,,,,,
37,8/19/2025 15:11,8.37,70.34,7.19,94.4,,,,,
38,8/19/2025 15:16,8.35,70.41,7.17,94.3,,,,,
39,8/19/2025 15:21,8.32,70.41,7.15,94,,,,,
40,8/19/2025 15:26,8.31,70.45,7.14,93.9,,,,,
41,8/19/2025 15:31,8.3,70.45,7.13,93.8,,,,,
42,8/19/2025 15:36,8.28,70.38,7.11,93.5,,,,,
