Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-08-19T22:30:00,2025-08-19T22:30:30,12.91,2,13.22,3,23.75
2025-08-20T04:30:00,2025-08-20T04:30:30,12.89,2,13.2,3,19.25
2025-08-20T10:30:00,2025-08-20T10:30:30,12.87,2,13.19,3,16.75
2025-08-20T16:30:00,2025-08-20T16:30:30,12.89,2,13.2,3,21
2025-08-20T22:30:00,2025-08-20T22:30:30,12.89,2,13.2,3,21.5
2025-08-21T04:30:00,2025-08-21T04:30:30,12.89,2,13.2,3,21.5
2025-08-21T10:30:00,2025-08-21T10:30:30,12.89,2,13.2,3,21.5
2025-08-21T16:30:00,2025-08-21T16:30:30,12.89,2,13.2,3,21.5
2025-08-21T22:30:00,2025-08-21T22:30:30,12.89,2,13.19,3,21.5
2025-08-22T04:30:00,2025-08-22T04:30:30,12.88,2,13.19,3,21.5
2025-08-22T10:30:00,2025-08-22T10:30:30,12.88,2,13.19,3,21.5
2025-08-22T16:30:00,2025-08-22T16:30:30,12.88,2,13.19,3,21.5
2025-08-22T22:30:00,2025-08-22T22:30:30,12.92,2,13.23,4,30.5
2025-08-23T04:30:00,2025-08-23T04:30:30,12.88,2,13.19,3,21.5
2025-08-23T10:30:00,2025-08-23T10:30:30,12.87,1,13.17,3,20.25
2025-08-23T16:30:00,2025-08-23T16:30:30,12.88,2,13.19,3,25.25
2025-08-23T22:30:00,2025-08-23T22:30:30,12.89,2,13.21,3,27
2025-08-24T04:30:00,2025-08-24T04:30:30,12.86,2,13.17,3,21
2025-08-24T10:30:00,2025-08-24T10:30:30,12.86,2,13.17,3,20.25
2025-08-24T16:30:00,2025-08-24T16:30:30,12.87,2,13.19,3,25.75
2025-08-24T22:30:00,2025-08-24T22:30:30,12.89,2,13.19,3,27.5
2025-08-25T04:30:00,2025-08-25T04:30:30,12.86,2,13.17,3,21.5
2025-08-25T10:30:00,2025-08-25T10:30:30,12.85,2,13.16,3,20.5
2025-08-25T16:30:00,2025-08-25T16:30:30,12.86,2,12.24,4895,23.5
2025-08-25T22:30:00,2025-08-25T22:30:30,12.86,2,12.23,4818,23.25
2025-08-26T04:30:00,2025-08-26T04:30:30,12.85,2,12.24,4746,23
2025-08-26T10:30:00,2025-08-26T10:30:30,12.84,1,12.23,4823,22.75
2025-08-26T16:30:00,2025-08-26T16:30:30,12.83,2,12.22,4640,22.75
2025-08-26T22:30:00,2025-08-26T22:30:30,12.82,2,12.21,4812,23
2025-08-27T04:30:00,2025-08-27T04:30:30,12.81,2,12.21,4868,23
2025-08-27T10:30:00,2025-08-27T10:30:30,12.81,2,12.19,4961,22.75
2025-08-27T16:30:00,2025-08-27T16:30:30,12.79,1,12.2,4735,22.75
2025-08-27T22:30:00,2025-08-27T22:30:30,12.79,1,12.19,4785,23
2025-08-28T04:30:00,2025-08-28T04:30:30,12.77,1,12.19,4820,22.75
2025-08-28T10:30:00,2025-08-28T10:30:30,12.77,1,12.17,4710,22.75
2025-08-28T16:30:00,2025-08-28T16:30:30,12.75,1,12.17,4806,22.5
2025-08-28T22:30:00,2025-08-28T22:30:30,12.75,1,12.15,4812,22.75
2025-08-29T04:30:00,2025-08-29T04:30:30,12.73,1,12.15,4803,22.5
2025-08-29T10:30:00,2025-08-29T10:30:30,12.73,1,12.14,4878,22.5
2025-08-29T16:30:00,2025-08-29T16:30:30,12.72,1,12.13,4721,22.5
