"Plot Title: 20819394"
"#","Date Time, GMT+00:00","DO conc, mg/L (LGR S/N: 20819394, SEN S/N: 20819394)","Temp, °F (LGR S/N: 20819394, SEN S/N: 20819394)","DO Adj Conc, mg/L (LGR S/N: 20819394)","DO Percent Sat, % (LGR S/N: 20819394)","Coupler Detached (LGR S/N: 20819394)","Coupler Attached (LGR S/N: 20819394)","Host Connected (LGR S/N: 20819394)","Stopped (LGR S/N: 20819394)","End Of File (LGR S/N: 20819394)"
1,08/19/25 12:29:29 PM,8.84,71.06,7.60,100.5,,,,,
2,08/19/25 12:29:30 PM,,,,,Logged,,,,
3,08/19/25 12:34:29 PM,8.47,70.59,7.28,95.8,,,,,
4,08/19/25 12:39:29 PM,8.47,70.30,7.28,95.5,,,,,
5,08/19/25 12:44:29 PM,8.46,70.16,7.27,95.3,,,,,
6,08/19/25 12:49:29 PM,8.46,70.09,7.27,95.2,,,,,
7,08/19/25 12:54:29 PM,8.41,70.05,7.22,94.6,,,,,
8,08/19/25 12:59:29 PM,8.37,70.09,7.19,94.2,,,,,
9,08/19/25 01:04:29 PM,8.39,70.09,7.21,94.4,,,,,
10,08/19/25 01:09:29 PM,8.36,70.12,7.18,94.1,,,,,
11,08/19/25 01:14:29 PM,8.37,70.09,7.19,94.2,,,,,
12,08/19/25 01:19:29 PM,8.33,70.09,7.16,93.7,,,,,
13,08/19/25 01:24:29 PM,8.34,70.09,7.16,93.8,,,,,
14,08/19/25 01:29:29 PM,8.30,70.09,7.13,93.4,,,,,
15,08/19/25 01:34:29 PM,8.32,70.12,7.15,93.7,,,,,
16,08/19/25 01:39:29 PM,8.31,70.16,7.14,93.6,,,,,
17,08/19/25 01:44:29 PM,8.29,70.16,7.12,93.4,,,,,
18,08/19/25 01:49:29 PM,8.28,70.16,7.11,93.2,,,,,
19,08/19/25 01:54:29 PM,8.27,70.16,7.10,93.1,,,,,
20,08/19/25 01:59:29 PM,8.27,70.16,7.10,93.1,,,,,
21,08/19/25 02:04:29 PM,8.24,70.20,7.08,92.8,,,,,
22,08/19/25 02:09:29 PM,8.18,70.20,7.03,92.2,,,,,
23,08/19/25 02:14:29 PM,8.20,70.23,7.04,92.4,,,,,
24,08/19/25 02:19:29 PM,8.19,70.23,7.04,92.3,,,,,
